embedding_level,embedding_index,start,end
0,0,L0/1,L0/0
1,0,L1/3,L1/0
1,1,L1/3,L1/1
1,2,L1/3,L1/2
2,0,L2/6,L2/0
2,1,L2/6,L2/0
2,1,L2/0,L2/1
2,2,L2/6,L2/4
2,2,L2/4,L2/2
2,3,L2/6,L2/0
2,3,L2/0,L2/3
2,4,L2/6,L2/4
2,5,L2/6,L2/4
2,5,L2/4,L2/5
2,7,L2/6,L2/7
3,0,L3/8,L3/7
3,0,L3/7,L3/3
3,0,L3/3,L3/0
3,1,L3/8,L3/7
3,1,L3/7,L3/3
3,1,L3/3,L3/1
3,2,L3/8,L3/7
3,2,L3/7,L3/3
3,2,L3/3,L3/2
3,3,L3/8,L3/7
3,3,L3/7,L3/3
3,4,L3/8,L3/7
3,4,L3/7,L3/4
3,5,L3/8,L3/7
3,5,L3/7,L3/4
3,5,L3/4,L3/5
3,6,L3/8,L3/7
3,6,L3/7,L3/6
3,7,L3/8,L3/7
3,9,L3/8,L3/9
3,10,L3/8,L3/9
3,10,L3/9,L3/11
3,10,L3/11,L3/10
3,11,L3/8,L3/9
3,11,L3/9,L3/11
3,12,L3/8,L3/12
3,13,L3/8,L3/12
3,13,L3/12,L3/13
3,14,L3/8,L3/12
3,14,L3/12,L3/14
3,15,L3/8,L3/12
3,15,L3/12,L3/15
4,0,L4/17,L4/15
4,0,L4/15,L4/14
4,0,L4/14,L4/6
4,0,L4/6,L4/0
4,1,L4/17,L4/15
4,1,L4/15,L4/7
4,1,L4/7,L4/3
4,1,L4/3,L4/1
4,2,L4/17,L4/15
4,2,L4/15,L4/7
4,2,L4/7,L4/3
4,2,L4/3,L4/2
4,3,L4/17,L4/15
4,3,L4/15,L4/7
4,3,L4/7,L4/3
4,4,L4/17,L4/15
4,4,L4/15,L4/14
4,4,L4/14,L4/6
4,4,L4/6,L4/4
4,5,L4/17,L4/15
4,5,L4/15,L4/14
4,5,L4/14,L4/6
4,5,L4/6,L4/5
