邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,FGF10_FGFR2,AGM,FGF10,FGFR2,1.151,0.0
AGM,发送,2,MPZL1_MPZL1,AGM,MPZL1,MPZL1,0.781,0.011
AGM,发送,3,PDGFC_PDGFRA,AGM,PDGFC,PDGFRA,0.618,0.0
AGM,发送,4,SLIT2_ROBO1,AGM,SLIT2,ROBO1,0.556,0.0
AGM,发送,5,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,atRetinoicAcid,byALDH1A2,0.547,0.0
AGM,发送,6,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,AGM,atRetinoicAcid,byALDH1A2,0.53,0.0
AGM,发送,7,GJC1_GJC1,AGM,GJC1,GJC1,0.525,0.0
AGM,发送,8,BMPR1B_BMPR2_BMPR1A,AGM,BMPR1B,BMPR2,0.509,0.0
AGM,发送,9,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.507,0.0
AGM,发送,10,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.507,0.0
AGM,接收,1,FGF10_FGFR2,AGM,FGFR2,FGF10,1.151,0.0
AGM,接收,2,MPZL1_MPZL1,AGM,MPZL1,MPZL1,0.781,0.011
AGM,接收,3,PDGFC_PDGFRA,AGM,PDGFRA,PDGFC,0.618,0.0
AGM,接收,4,SLIT2_ROBO1,AGM,ROBO1,SLIT2,0.556,0.0
AGM,接收,5,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,byALDH1A2,atRetinoicAcid,0.547,0.0
AGM,接收,6,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,AGM,byALDH1A2,atRetinoicAcid,0.53,0.0
AGM,接收,7,GJC1_GJC1,AGM,GJC1,GJC1,0.525,0.0
AGM,接收,8,BMPR1B_BMPR2_BMPR1A,AGM,BMPR2,BMPR1B,0.509,0.0
AGM,接收,9,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,AGM,byALDH1A2,atRetinoicAcid,0.507,0.0
AGM,接收,10,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,AGM,byALDH1A2,atRetinoicAcid,0.507,0.0
AGM_1_117_Target,发送,1,FGF10_FGFR2,AGM,FGF10,FGFR2,1.21,0.004
AGM_1_117_Target,发送,2,MPZL1_MPZL1,AGM,MPZL1,MPZL1,0.799,0.018
AGM_1_117_Target,发送,3,TENM3_ADGRL2,AGM,TENM3,ADGRL2,0.645,0.01
AGM_1_117_Target,发送,4,FLRT3_ADGRL2,AGM,FLRT3,ADGRL2,0.635,0.009
AGM_1_117_Target,发送,5,TENM4_ADGRL2,AGM,TENM4,ADGRL2,0.597,0.001
AGM_1_117_Target,发送,6,SLIT2_ROBO1,AGM,SLIT2,ROBO1,0.592,0.0
AGM_1_117_Target,发送,7,BMPR1B_BMPR2_BMPR1A,AGM,BMPR1B,BMPR2,0.58,0.0
AGM_1_117_Target,发送,8,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,atRetinoicAcid,byALDH1A2,0.546,0.0
AGM_1_117_Target,发送,9,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.546,0.0
AGM_1_117_Target,发送,10,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.532,0.0
AGM_1_117_Target,接收,1,FGF10_FGFR2,AGM,FGFR2,FGF10,1.154,0.019
AGM_1_117_Target,接收,2,COL3A1_ADGRG1,AGM,ADGRG1,COL3A1,0.885,0.044
AGM_1_117_Target,接收,3,COL3A1_integrin_a11b1_complex,AGM,integrin,COL3A1,0.885,0.045
AGM_1_117_Target,接收,4,MPZL1_MPZL1,AGM,MPZL1,MPZL1,0.799,0.018
AGM_1_117_Target,接收,5,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,byALDH1A2,atRetinoicAcid,0.692,0.0
AGM_1_117_Target,接收,6,SLIT2_ROBO1,AGM,ROBO1,SLIT2,0.691,0.0
AGM_1_117_Target,接收,7,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,AGM,byALDH1A2,atRetinoicAcid,0.675,0.0
AGM_1_117_Target,接收,8,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,AGM,byALDH1A2,atRetinoicAcid,0.652,0.0
AGM_1_117_Target,接收,9,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,AGM,byALDH1A2,atRetinoicAcid,0.652,0.0
AGM_1_117_Target,接收,10,TENM3_ADGRL2,AGM,ADGRL2,TENM3,0.62,0.028
Cavity,发送,1,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.485,0.0
Cavity,发送,2,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,atRetinoicAcid,byALDH1A2,0.484,0.0
Cavity,接收,1,COL1A1_integrin_a11b1_complex,AGM,integrin,COL1A1,0.614,0.013
Cavity,接收,2,TGM2_ADGRG1,AGM,ADGRG1,TGM2,0.172,0.014
Connective tissue,发送,1,PPIA_BSG,AGM,PPIA,BSG,1.22,0.002
Connective tissue,发送,2,FGF10_FGFR2,AGM,FGF10,FGFR2,1.162,0.0
Connective tissue,发送,3,MPZL1_MPZL1,AGM,MPZL1,MPZL1,0.775,0.0
