邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Connective tissue,157,61.294,0.39040764331210187,1.88,0.099
Neural crest,132,60.51200000000003,0.4584242424242426,2.087,0.108
Heart,132,57.43000000000001,0.4350757575757576,2.053,0.106
Sclerotome,116,51.001,0.4396637931034483,1.81,0.084
Branchial arch,112,41.83400000000001,0.37351785714285723,1.153,0.077
AGM,111,36.48099999999997,0.3286576576576574,1.132,0.094
Dermomyotome,86,32.49500000000001,0.37784883720930246,1.364,0.092
Mesenchyme,95,31.264999999999997,0.3291052631578947,1.34,0.122
Liver,73,29.950999999999993,0.4102876712328766,1.679,0.095
AGM_1_118_Target,80,26.715999999999987,0.33394999999999986,1.165,0.087
Brain,17,17.006,1.0003529411764707,1.43,0.448
Cavity,2,0.395,0.1975,0.223,0.172
