邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,106,132,238,48.401,60.51200000000003,108.91300000000004,0.45661320754716983,0.4584242424242426,0.4576176470588237
Sclerotome,149,116,265,54.27899999999998,51.001,105.27999999999997,0.36428859060402674,0.4396637931034483,0.39728301886792444
Heart,111,132,243,40.751000000000005,57.43000000000001,98.18100000000001,0.36712612612612616,0.4350757575757576,0.4040370370370371
Connective tissue,58,157,215,23.878,61.294,85.172,0.4116896551724138,0.39040764331210187,0.39614883720930233
Branchial arch,74,112,186,34.218,41.83400000000001,76.05200000000002,0.4624054054054055,0.37351785714285723,0.4088817204301076
AGM,111,111,222,36.48099999999997,36.48099999999997,72.96199999999995,0.3286576576576574,0.3286576576576574,0.3286576576576574
AGM_1_118_Target,118,80,198,41.63000000000002,26.715999999999987,68.346,0.35279661016949165,0.33394999999999986,0.3451818181818182
Dermomyotome,78,86,164,27.981999999999996,32.49500000000001,60.477000000000004,0.35874358974358966,0.37784883720930246,0.36876219512195124
Liver,74,73,147,23.708000000000006,29.950999999999993,53.659,0.32037837837837846,0.4102876712328766,0.36502721088435375
Mesenchyme,28,95,123,9.894,31.264999999999997,41.159,0.35335714285714287,0.3291052631578947,0.3346260162601626
Brain,21,17,38,15.594,17.006,32.6,0.7425714285714285,1.0003529411764707,0.8578947368421053
Cavity,8,2,10,2.788,0.395,3.183,0.3485,0.1975,0.31829999999999997
