邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,FGF10_FGFR2,AGM,FGF10,FGFR2,1.159,0.0
AGM,发送,2,MPZL1_MPZL1,AGM,MPZL1,MPZL1,0.829,0.0
AGM,发送,3,PDGFC_PDGFRA,AGM,PDGFC,PDGFRA,0.642,0.0
AGM,发送,4,SLIT2_ROBO1,AGM,SLIT2,ROBO1,0.622,0.0
AGM,发送,5,TENM3_ADGRL2,AGM,TENM3,ADGRL2,0.621,0.006
AGM,发送,6,FLRT3_ADGRL2,AGM,FLRT3,ADGRL2,0.573,0.001
AGM,发送,7,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,AGM,atRetinoicAcid,byALDH1A2,0.563,0.0
AGM,发送,8,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,atRetinoicAcid,byALDH1A2,0.556,0.0
AGM,发送,9,EFNA5_EPHA7,AGM,EFNA5,EPHA7,0.551,0.0
AGM,发送,10,GJC1_GJC1,AGM,GJC1,GJC1,0.55,0.0
AGM,接收,1,FGF10_FGFR2,AGM,FGFR2,FGF10,1.159,0.0
AGM,接收,2,MPZL1_MPZL1,AGM,MPZL1,MPZL1,0.829,0.0
AGM,接收,3,PDGFC_PDGFRA,AGM,PDGFRA,PDGFC,0.642,0.0
AGM,接收,4,SLIT2_ROBO1,AGM,ROBO1,SLIT2,0.622,0.0
AGM,接收,5,TENM3_ADGRL2,AGM,ADGRL2,TENM3,0.621,0.006
AGM,接收,6,FLRT3_ADGRL2,AGM,ADGRL2,FLRT3,0.573,0.001
AGM,接收,7,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,AGM,byALDH1A2,atRetinoicAcid,0.563,0.0
AGM,接收,8,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,byALDH1A2,atRetinoicAcid,0.556,0.0
AGM,接收,9,EFNA5_EPHA7,AGM,EPHA7,EFNA5,0.551,0.0
AGM,接收,10,GJC1_GJC1,AGM,GJC1,GJC1,0.55,0.0
AGM_1_123_Target,发送,1,2arachidonoylglycerol_byDAGLB_CNR2,AGM,2arachidonoylglycerol,byDAGLB,0.881,0.002
AGM_1_123_Target,发送,2,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,atRetinoicAcid,byALDH1A2,0.524,0.0
AGM_1_123_Target,发送,3,EFNA5_EPHA3,AGM,EFNA5,EPHA3,0.523,0.041
AGM_1_123_Target,发送,4,EFNA5_EPHA7,AGM,EFNA5,EPHA7,0.521,0.007
AGM_1_123_Target,发送,5,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.491,0.0
AGM_1_123_Target,发送,6,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.487,0.0
AGM_1_123_Target,发送,7,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,AGM,atRetinoicAcid,byALDH1A2,0.487,0.0
