cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,target,70,132.9,172.7,0.0,0.0
Brain,single_cluster,1,137.0,168.0,6.2,0.0
Branchial arch,single_cluster,29,130.6,187.3,14.8,4.16
Cavity,single_cluster,91,123.0,168.1,10.9,19.49
Connective tissue,single_cluster,74,105.7,163.4,28.7,8.53
Dermomyotome,single_cluster,197,124.1,156.5,18.3,20.54
Heart,single_cluster,119,122.2,179.1,12.5,7.15
Liver,single_cluster,97,124.9,171.1,8.1,7.75
Mesenchyme,single_cluster,35,122.7,155.1,20.3,24.26
Neural crest,single_cluster,99,139.3,186.3,15.1,5.5
Sclerotome,single_cluster,214,141.6,170.2,9.0,10.48
