邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,132,52.90500000000001,0.4007954545454546,1.242,0.113
Sclerotome,125,45.31399999999999,0.36251199999999995,1.138,0.122
Branchial arch,89,39.411,0.44282022471910115,1.942,0.111
Heart,72,28.679000000000006,0.3983194444444445,2.242,0.139
Dermomyotome,50,19.247000000000007,0.3849400000000001,1.144,0.097
AGM_1_99_Target,43,17.825000000000003,0.4145348837209303,0.827,0.119
Connective tissue,44,16.845000000000002,0.3828409090909091,0.739,0.117
Liver,42,16.316999999999997,0.3884999999999999,1.355,0.127
Brain,20,16.137999999999998,0.8069,1.442,0.435
AGM,38,13.306000000000001,0.3501578947368421,1.145,0.098
Mesenchyme,16,6.211,0.3881875,0.916,0.124
Cavity,7,2.236,0.31942857142857145,0.489,0.166
