邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,MDK_PTPRZ1,Brain,MDK,PTPRZ1,1.382,0.0
Brain,发送,2,PPIA_BSG,Brain,PPIA,BSG,1.143,0.0
Brain,发送,3,DLK1_NOTCH1,Brain,DLK1,NOTCH1,0.912,0.0
Brain,发送,4,CDH2_CDH2,Brain,CDH2,CDH2,0.888,0.0
Brain,发送,5,DLK1_NOTCH2,Brain,DLK1,NOTCH2,0.807,0.0
Brain,发送,6,WNT7B_SFRP1,Brain,WNT7B,SFRP1,0.795,0.0
Brain,发送,7,DLK1_NOTCH3,Brain,DLK1,NOTCH3,0.795,0.0
Brain,发送,8,TENM3_ADGRL2,Brain,TENM3,ADGRL2,0.712,0.028
Brain,发送,9,LRFN4_PTPRF,Brain,LRFN4,PTPRF,0.708,0.001
Brain,发送,10,CADM1_NECTIN3,Brain,CADM1,NECTIN3,0.698,0.003
Brain,接收,1,MDK_PTPRZ1,Brain,PTPRZ1,MDK,1.382,0.0
Brain,接收,2,PPIA_BSG,Brain,BSG,PPIA,1.143,0.0
Brain,接收,3,DLK1_NOTCH1,Brain,NOTCH1,DLK1,0.912,0.0
Brain,接收,4,CDH2_CDH2,Brain,CDH2,CDH2,0.888,0.0
Brain,接收,5,DLK1_NOTCH2,Brain,NOTCH2,DLK1,0.807,0.0
Brain,接收,6,WNT7B_SFRP1,Brain,SFRP1,WNT7B,0.795,0.0
Brain,接收,7,DLK1_NOTCH3,Brain,NOTCH3,DLK1,0.795,0.0
Brain,接收,8,TENM3_ADGRL2,Brain,ADGRL2,TENM3,0.712,0.028
Brain,接收,9,LRFN4_PTPRF,Brain,PTPRF,LRFN4,0.708,0.001
Brain,接收,10,CADM1_NECTIN3,Brain,NECTIN3,CADM1,0.698,0.003
Brain_1_0_Target,发送,1,LRFN4_PTPRF,Brain,LRFN4,PTPRF,0.85,0.043
Brain_1_0_Target,发送,2,LRRC4C_PTPRF,Brain,LRRC4C,PTPRF,0.828,0.037
Brain_1_0_Target,发送,3,JAM3_JAM3,Brain,JAM3,JAM3,0.701,0.036
Brain_1_0_Target,发送,4,WNT7B_FZD7_LRP5,Brain,WNT7B,FZD7,0.53,0.001
Brain_1_0_Target,发送,5,WNT7B_FZD2_LRP5,Brain,WNT7B,FZD2,0.53,0.019
Brain_1_0_Target,发送,6,WNT7B_FZD8_LRP5,Brain,WNT7B,FZD8,0.53,0.0
Brain_1_0_Target,发送,7,JAM2_JAM3,Brain,JAM2,JAM3,0.518,0.036
Brain_1_0_Target,发送,8,EFNB1_EPHB1,Brain,EFNB1,EPHB1,0.437,0.022
Brain_1_0_Target,发送,9,CDH6_CDH6,Brain,CDH6,CDH6,0.36,0.046
Brain_1_0_Target,发送,10,SEMA4D_PLXNB1,Brain,SEMA4D,PLXNB1,0.36,0.016
Brain_1_0_Target,接收,1,DLK1_NOTCH1,Brain,NOTCH1,DLK1,1.079,0.01
Brain_1_0_Target,接收,2,DLK1_NOTCH2,Brain,NOTCH2,DLK1,0.974,0.033
Brain_1_0_Target,接收,3,DLK1_NOTCH3,Brain,NOTCH3,DLK1,0.962,0.019
Brain_1_0_Target,接收,4,WNT5B_SFRP1,Brain,SFRP1,WNT5B,0.84,0.0
Brain_1_0_Target,接收,5,FN1_integrin_a3b1_complex,Brain,integrin,FN1,0.812,0.032
Brain_1_0_Target,接收,6,PTN_PTPRZ1,Brain,PTPRZ1,PTN,0.802,0.0
Brain_1_0_Target,接收,7,FN1_integrin_a4b1_complex,Brain,integrin,FN1,0.791,0.027
Brain_1_0_Target,接收,8,FN1_integrin_a11b1_complex,Brain,integrin,FN1,0.77,0.039
Brain_1_0_Target,接收,9,WNT7B_SFRP1,Brain,SFRP1,WNT7B,0.731,0.04
Brain_1_0_Target,接收,10,JAM3_JAM3,Brain,JAM3,JAM3,0.701,0.036
Branchial arch,发送,1,FTL_SCARA5,Brain,FTL,SCARA5,1.455,0.0
Branchial arch,发送,2,IGF2_IGF1R,Brain,IGF2,IGF1R,1.39,0.003
Branchial arch,发送,3,LRFN4_PTPRF,Brain,LRFN4,PTPRF,1.236,0.001
Branchial arch,发送,4,DLK1_NOTCH3,Brain,DLK1,NOTCH3,1.216,0.003
Branchial arch,发送,5,LRRC4C_PTPRF,Brain,LRRC4C,PTPRF,1.214,0.001
Branchial arch,发送,6,CADM1_NECTIN3,Brain,CADM1,NECTIN3,1.044,0.033
Branchial arch,发送,7,IGF1_IGF1R,Brain,IGF1,IGF1R,1.021,0.0
Branchial arch,发送,8,IGF1_IGF1R_enhancerComGPC3,Brain,IGF1,IGF1R,1.021,0.0
Branchial arch,发送,9,FN1_integrin_a3b1_complex,Brain,FN1,integrin,0.854,0.034
Branchial arch,发送,10,NECTIN2_NECTIN3,Brain,NECTIN2,NECTIN3,0.822,0.047
Branchial arch,接收,1,IGF2_IGF1R,Brain,IGF1R,IGF2,1.658,0.0
Branchial arch,接收,2,IGF2_IGF2R,Brain,IGF2R,IGF2,1.608,0.0
