邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,PPIA_BSG,Brain,PPIA,BSG,1.126,0.0
Brain,发送,2,MDK_PTPRZ1,Brain,MDK,PTPRZ1,1.122,0.0
Brain,发送,3,CDH2_CDH2,Brain,CDH2,CDH2,0.81,0.0
Brain,发送,4,CADM1_CADM1,Brain,CADM1,CADM1,0.722,0.014
Brain,发送,5,TENM3_ADGRL2,Brain,TENM3,ADGRL2,0.713,0.0
Brain,发送,6,LRFN4_PTPRF,Brain,LRFN4,PTPRF,0.708,0.0
Brain,发送,7,LRRC4C_PTPRF,Brain,LRRC4C,PTPRF,0.698,0.0
Brain,发送,8,CADM1_NECTIN3,Brain,CADM1,NECTIN3,0.685,0.0
Brain,发送,9,PTN_PTPRZ1,Brain,PTN,PTPRZ1,0.674,0.0
Brain,发送,10,TENM4_ADGRL2,Brain,TENM4,ADGRL2,0.623,0.0
Brain,接收,1,PPIA_BSG,Brain,BSG,PPIA,1.126,0.0
Brain,接收,2,MDK_PTPRZ1,Brain,PTPRZ1,MDK,1.122,0.0
Brain,接收,3,CDH2_CDH2,Brain,CDH2,CDH2,0.81,0.0
Brain,接收,4,CADM1_CADM1,Brain,CADM1,CADM1,0.722,0.014
Brain,接收,5,TENM3_ADGRL2,Brain,ADGRL2,TENM3,0.713,0.0
Brain,接收,6,LRFN4_PTPRF,Brain,PTPRF,LRFN4,0.708,0.0
Brain,接收,7,LRRC4C_PTPRF,Brain,PTPRF,LRRC4C,0.698,0.0
Brain,接收,8,CADM1_NECTIN3,Brain,NECTIN3,CADM1,0.685,0.0
Brain,接收,9,PTN_PTPRZ1,Brain,PTPRZ1,PTN,0.674,0.0
Brain,接收,10,TENM4_ADGRL2,Brain,ADGRL2,TENM4,0.623,0.0
Brain_1_6_Target,发送,1,COL2A1_integrin_a1b1_complex,Brain,COL2A1,integrin,0.595,0.047
Brain_1_6_Target,发送,2,CD44_TYROBP,Brain,CD44,TYROBP,0.585,0.032
Brain_1_6_Target,发送,3,FN1_integrin_a2Bb3_complex,Brain,FN1,integrin,0.548,0.006
Brain_1_6_Target,发送,4,APP_SORL1,Brain,APP,SORL1,0.451,0.016
Brain_1_6_Target,发送,5,WNT7B_FRZB,Brain,WNT7B,FRZB,0.393,0.002
Brain_1_6_Target,发送,6,JAM2_integrin_a4b1_complex,Brain,JAM2,integrin,0.387,0.033
Brain_1_6_Target,发送,7,WNT5A_FRZB,Brain,WNT5A,FRZB,0.378,0.008
Brain_1_6_Target,发送,8,ESAM_ESAM,Brain,ESAM,ESAM,0.365,0.037
Brain_1_6_Target,发送,9,WNT5B_FRZB,Brain,WNT5B,FRZB,0.34,0.01
Brain_1_6_Target,发送,10,VCAM1_integrin_a9b1_complex,Brain,VCAM1,integrin,0.304,0.046
Brain_1_6_Target,接收,1,IGF2_IGF1R,Brain,IGF1R,IGF2,1.295,0.0
Brain_1_6_Target,接收,2,IGF2_IGF2R,Brain,IGF2R,IGF2,1.213,0.001
Brain_1_6_Target,接收,3,COL3A1_ADGRG1,Brain,ADGRG1,COL3A1,1.006,0.0
Brain_1_6_Target,接收,4,COL3A1_integrin_a1b1_complex,Brain,integrin,COL3A1,0.857,0.005
Brain_1_6_Target,接收,5,FN1_integrin_aVb1_complex,Brain,integrin,FN1,0.781,0.041
