邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,PPIA_BSG,Branchial arch,PPIA,BSG,1.244,0.019
AGM,发送,2,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.129,0.0
AGM,发送,3,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.084,0.0
AGM,发送,4,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.08,0.0
AGM,发送,5,FN1_integrin_a8b1_complex,Branchial arch,FN1,integrin,1.032,0.0
AGM,发送,6,TENM3_ADGRL2,Branchial arch,TENM3,ADGRL2,0.766,0.0
AGM,发送,7,PDGFC_PDGFRA,Branchial arch,PDGFC,PDGFRA,0.719,0.0
AGM,发送,8,SLIT2_ROBO1,Branchial arch,SLIT2,ROBO1,0.713,0.0
AGM,发送,9,FLRT3_ADGRL2,Branchial arch,FLRT3,ADGRL2,0.67,0.0
AGM,发送,10,TENM4_ADGRL2,Branchial arch,TENM4,ADGRL2,0.666,0.0
AGM,接收,1,MDK_PTPRZ1,Branchial arch,PTPRZ1,MDK,1.444,0.0
AGM,接收,2,COL3A1_ADGRG1,Branchial arch,ADGRG1,COL3A1,0.852,0.018
AGM,接收,3,COL3A1_integrin_a11b1_complex,Branchial arch,integrin,COL3A1,0.835,0.007
AGM,接收,4,LRFN4_PTPRF,Branchial arch,PTPRF,LRFN4,0.835,0.046
AGM,接收,5,TENM3_ADGRL2,Branchial arch,ADGRL2,TENM3,0.769,0.001
AGM,接收,6,PDGFC_PDGFRA,Branchial arch,PDGFRA,PDGFC,0.728,0.0
AGM,接收,7,PTN_PTPRZ1,Branchial arch,PTPRZ1,PTN,0.706,0.0
AGM,接收,8,WNT5A_FRZB,Branchial arch,FRZB,WNT5A,0.685,0.0
AGM,接收,9,TENM4_ADGRL2,Branchial arch,ADGRL2,TENM4,0.664,0.0
AGM,接收,10,NTN1_UNC5C,Branchial arch,UNC5C,NTN1,0.627,0.002
