邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF2R,Branchial arch,IGF2,IGF2R,2.151,0.015
AGM,发送,2,PPIA_BSG,Branchial arch,PPIA,BSG,1.249,0.008
AGM,发送,3,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.142,0.0
AGM,发送,4,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.092,0.0
AGM,发送,5,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.048,0.0
AGM,发送,6,FN1_integrin_a8b1_complex,Branchial arch,FN1,integrin,1.044,0.0
AGM,发送,7,2arachidonoylglycerol_byDAGLB_CNR1,Branchial arch,2arachidonoylglycerol,byDAGLB,0.934,0.036
AGM,发送,8,PDGFC_PDGFRA,Branchial arch,PDGFC,PDGFRA,0.758,0.0
AGM,发送,9,TENM3_ADGRL2,Branchial arch,TENM3,ADGRL2,0.758,0.009
AGM,发送,10,SLIT2_ROBO1,Branchial arch,SLIT2,ROBO1,0.743,0.001
AGM,接收,1,MDK_PTPRZ1,Branchial arch,PTPRZ1,MDK,1.445,0.0
AGM,接收,2,COL3A1_integrin_a11b1_complex,Branchial arch,integrin,COL3A1,0.852,0.022
AGM,接收,3,TENM3_ADGRL2,Branchial arch,ADGRL2,TENM3,0.808,0.001
AGM,接收,4,PDGFC_PDGFRA,Branchial arch,PDGFRA,PDGFC,0.742,0.0
AGM,接收,5,WNT5A_FRZB,Branchial arch,FRZB,WNT5A,0.731,0.0
AGM,接收,6,PTN_PTPRZ1,Branchial arch,PTPRZ1,PTN,0.709,0.0
AGM,接收,7,WNT5A_SFRP1,Branchial arch,SFRP1,WNT5A,0.697,0.003
AGM,接收,8,TENM4_ADGRL2,Branchial arch,ADGRL2,TENM4,0.695,0.0
AGM,接收,9,WNT5A_FZD7_LRP6,Branchial arch,FZD7,WNT5A,0.675,0.0
AGM,接收,10,WNT5A_FZD2_LRP6,Branchial arch,FZD2,WNT5A,0.675,0.0
Brain,发送,1,IGF2_IGF1R,Branchial arch,IGF2,IGF1R,1.942,0.006
