邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,106,52.85699999999998,0.49865094339622623,1.951,0.128
Heart,98,51.181999999999995,0.5222653061224489,2.578,0.137
Branchial arch,86,43.27700000000001,0.5032209302325582,2.014,0.162
Branchial arch_1_67_Target,64,35.12200000000001,0.5487812500000001,2.252,0.197
Liver,43,27.955000000000002,0.6501162790697674,2.151,0.205
Brain,55,26.272000000000006,0.47767272727272736,1.814,0.148
Neural crest,51,22.398,0.4391764705882353,1.823,0.142
AGM,35,20.273,0.5792285714285714,2.221,0.247
Sclerotome,16,13.678000000000003,0.8548750000000002,1.626,0.471
Cavity,11,5.996999999999999,0.5451818181818181,1.039,0.214
