邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,174,73.76400000000001,0.42393103448275865,2.267,0.123
Notochord,153,57.46999999999998,0.3756209150326796,1.223,0.078
AGM,92,43.81099999999998,0.4762065217391302,1.511,0.126
Branchial arch,86,43.27700000000001,0.5032209302325582,2.014,0.162
Branchial arch_1_67_Target,65,42.18899999999999,0.6490615384615384,2.165,0.15
Sclerotome,51,36.67099999999999,0.7190392156862744,1.677,0.423
Neural crest,85,32.76200000000001,0.38543529411764715,0.936,0.104
Brain,60,23.386999999999997,0.38978333333333326,1.192,0.146
Liver,60,22.282999999999998,0.3713833333333333,1.529,0.091
Cavity,3,0.79,0.26333333333333336,0.357,0.187
