邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,98,174,272,51.181999999999995,73.76400000000001,124.946,0.5222653061224489,0.42393103448275865,0.45936029411764706
Notochord,106,153,259,52.85699999999998,57.46999999999998,110.32699999999996,0.49865094339622623,0.3756209150326796,0.4259729729729728
Branchial arch,86,86,172,43.27700000000001,43.27700000000001,86.55400000000002,0.5032209302325582,0.5032209302325582,0.5032209302325582
Branchial arch_1_67_Target,64,65,129,35.12200000000001,42.18899999999999,77.311,0.5487812500000001,0.6490615384615384,0.5993100775193799
AGM,35,92,127,20.273,43.81099999999998,64.08399999999997,0.5792285714285714,0.4762065217391302,0.5045984251968502
Neural crest,51,85,136,22.398,32.76200000000001,55.16000000000001,0.4391764705882353,0.38543529411764715,0.40558823529411775
Sclerotome,16,51,67,13.678000000000003,36.67099999999999,50.349,0.8548750000000002,0.7190392156862744,0.7514776119402985
Liver,43,60,103,27.955000000000002,22.282999999999998,50.238,0.6501162790697674,0.3713833333333333,0.487747572815534
Brain,55,60,115,26.272000000000006,23.386999999999997,49.659000000000006,0.47767272727272736,0.38978333333333326,0.4318173913043479
Cavity,11,3,14,5.996999999999999,0.79,6.786999999999999,0.5451818181818181,0.26333333333333336,0.4847857142857142
