邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,VEGFB_NRP1,Cavity,VEGFB,NRP1,0.669,0.006
AGM,发送,2,SEMA3A_NRP1,Cavity,SEMA3A,NRP1,0.627,0.005
AGM,发送,3,VEGFA_NRP1,Cavity,VEGFA,NRP1,0.618,0.007
AGM,发送,4,LAMC1_integrin_aVb3_complex,Cavity,LAMC1,integrin,0.5,0.007
AGM,发送,5,MMP2_integrin_aVb3_complex,Cavity,MMP2,integrin,0.392,0.006
AGM,发送,6,VTN_integrin_aVb3_complex,Cavity,VTN,integrin,0.379,0.003
AGM,发送,7,THBS1_integrin_aVb3_complex,Cavity,THBS1,integrin,0.375,0.004
AGM,接收,1,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.794,0.044
AGM,接收,2,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.736,0.049
AGM,接收,3,COL3A1_ADGRG1,Cavity,ADGRG1,COL3A1,1.261,0.032
AGM,接收,4,SEMA4G_PLXNB2,Cavity,PLXNB2,SEMA4G,0.359,0.046
AGM,接收,5,NGF_SORT1,Cavity,SORT1,NGF,0.263,0.006
AGM,接收,6,ANXA1_FPR2,Cavity,FPR2,ANXA1,0.262,0.016
Brain,发送,1,TGM2_ADGRG1,Cavity,TGM2,ADGRG1,0.288,0.0
Branchial arch,发送,1,IGF2_IGF2R,Cavity,IGF2,IGF2R,1.189,0.02
Branchial arch,发送,2,DAG1_NRXN3,Cavity,DAG1,NRXN3,0.58,0.003
Branchial arch,发送,3,BMP4_BMPR1A_BMPR2,Cavity,BMP4,BMPR1A,0.443,0.0
Branchial arch,发送,4,SLIT2_ROBO2,Cavity,SLIT2,ROBO2,0.434,0.042
Branchial arch,发送,5,NLGN1_NRXN3,Cavity,NLGN1,NRXN3,0.428,0.0
Branchial arch,发送,6,CLSTN1_NRXN3,Cavity,CLSTN1,NRXN3,0.423,0.0
Branchial arch,发送,7,NPPA_NPR1,Cavity,NPPA,NPR1,0.249,0.001
Branchial arch,接收,1,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.705,0.0
Branchial arch,接收,2,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.647,0.0
Branchial arch,接收,3,FN1_integrin_aVb1_complex,Cavity,integrin,FN1,0.911,0.001
Branchial arch,接收,4,FN1_integrin_aVb5_complex,Cavity,integrin,FN1,0.911,0.0
Branchial arch,接收,5,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,0.853,0.001
Branchial arch,接收,6,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,0.815,0.0
Branchial arch,接收,7,BMP4_BMR1A_AVR2B,Cavity,BMR1A,BMP4,0.454,0.0
Branchial arch,接收,8,NRXN3_ADGRL1,Cavity,ADGRL1,NRXN3,0.401,0.0
Heart,发送,1,IGF2_IGF2R,Cavity,IGF2,IGF2R,1.759,0.0
Heart,发送,2,PPIA_BSG,Cavity,PPIA,BSG,1.161,0.01
Heart,发送,3,COL18A1_integrin_a1b1_complex,Cavity,COL18A1,integrin,0.714,0.001
Heart,发送,4,COL3A1_integrin_a1b1_complex,Cavity,COL3A1,integrin,0.689,0.0
Heart,发送,5,LAMC1_integrin_a6b1_complex,Cavity,LAMC1,integrin,0.633,0.0
Heart,发送,6,COL4A1_integrin_a1b1_complex,Cavity,COL4A1,integrin,0.586,0.015
Heart,发送,7,COL1A2_integrin_a1b1_complex,Cavity,COL1A2,integrin,0.565,0.0
Heart,发送,8,COL19A1_integrin_a1b1_complex,Cavity,COL19A1,integrin,0.477,0.0
Heart,发送,9,COL1A1_integrin_a1b1_complex,Cavity,COL1A1,integrin,0.473,0.0
Heart,发送,10,COL4A2_integrin_a1b1_complex,Cavity,COL4A2,integrin,0.456,0.0
Heart,接收,1,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.935,0.0
Heart,接收,2,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.877,0.0
Heart,接收,3,FN1_integrin_aVb1_complex,Cavity,integrin,FN1,1.3,0.0
Heart,接收,4,FN1_integrin_aVb5_complex,Cavity,integrin,FN1,1.3,0.0
Heart,接收,5,APP_FPR2,Cavity,FPR2,APP,0.685,0.0
Heart,接收,6,TNC_integrin_a9b1_complex,Cavity,integrin,TNC,0.408,0.0
Heart,接收,7,TGM2_ADGRG1,Cavity,ADGRG1,TGM2,0.378,0.0
Heart,接收,8,BMP4_BMR1A_AVR2B,Cavity,BMR1A,BMP4,0.372,0.0
Heart,接收,9,BMP7_BMR1A_AVR2B,Cavity,BMR1A,BMP7,0.323,0.0
Heart,接收,10,NRXN3_ADGRL1,Cavity,ADGRL1,NRXN3,0.299,0.0
Neural crest,发送,1,PDGFC_PDGFRA,Cavity,PDGFC,PDGFRA,0.296,0.013
Neural crest,接收,1,COL3A1_ADGRG1,Cavity,ADGRG1,COL3A1,0.858,0.0
Neural crest,接收,2,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,0.749,0.01
Neural crest,接收,3,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,0.71,0.0
Neural crest,接收,4,APP_FPR2,Cavity,FPR2,APP,0.557,0.015
Neural crest,接收,5,FLRT2_ADGRL3,Cavity,ADGRL3,FLRT2,0.482,0.0
Neural crest,接收,6,FLRT2_ADGRL1,Cavity,ADGRL1,FLRT2,0.475,0.0
Notochord,发送,1,CADM1_NECTIN3,Cavity,CADM1,NECTIN3,0.886,0.0
Notochord,发送,2,COL3A1_ADGRG1,Cavity,COL3A1,ADGRG1,0.877,0.0
Notochord,发送,3,NECTIN2_NECTIN3,Cavity,NECTIN2,NECTIN3,0.85,0.0
Notochord,发送,4,DLK1_NOTCH2,Cavity,DLK1,NOTCH2,0.703,0.01
Notochord,发送,5,JAM3_JAM3,Cavity,JAM3,JAM3,0.607,0.011
Notochord,发送,6,EFNB3_EPHA4,Cavity,EFNB3,EPHA4,0.589,0.003
Notochord,发送,7,TGM2_ADGRG1,Cavity,TGM2,ADGRG1,0.555,0.0
Notochord,发送,8,EFNB1_EPHA4,Cavity,EFNB1,EPHA4,0.477,0.039
Notochord,发送,9,EFNA2_EPHA4,Cavity,EFNA2,EPHA4,0.451,0.002
Notochord,发送,10,VTN_integrin_aVb1_complex,Cavity,VTN,integrin,0.356,0.034
Notochord,接收,1,SLIT2_ROBO1,Cavity,ROBO1,SLIT2,0.925,0.0
Notochord,接收,2,EFNB3_EPHA4,Cavity,EPHA4,EFNB3,0.838,0.0
Notochord,接收,3,FN1_integrin_aVb5_complex,Cavity,integrin,FN1,0.836,0.011
Notochord,接收,4,NTN1_UNC5C,Cavity,UNC5C,NTN1,0.827,0.0
Notochord,接收,5,SHH_PTCH_CDON_transmembrane_receptor,Cavity,PTCH,SHH,0.818,0.0
Notochord,接收,6,SHH_PTCH_GAS1_transmembrane_receptor,Cavity,PTCH,SHH,0.818,0.0
Notochord,接收,7,EFNB3_EPHB2,Cavity,EPHB2,EFNB3,0.809,0.0
Notochord,接收,8,NTN1_DCC,Cavity,DCC,NTN1,0.766,0.0
Notochord,接收,9,JAM3_JAM3,Cavity,JAM3,JAM3,0.607,0.011
