邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,NTN1_DCC,Cavity,NTN1,DCC,0.599,0.0
Brain,发送,2,WNT5A_SFRP2,Cavity,WNT5A,SFRP2,0.488,0.0
Brain,发送,3,NTN1_UNC5C,Cavity,NTN1,UNC5C,0.469,0.0
Brain,发送,4,SLIT1_ROBO1,Cavity,SLIT1,ROBO1,0.356,0.001
Brain,发送,5,SHH_PTCH_BOC_transmembrane_receptor,Cavity,SHH,PTCH,0.295,0.0
Brain,发送,6,NTN1_UNC5B,Cavity,NTN1,UNC5B,0.259,0.033
Brain,接收,1,NLGN1_NRXN3,Cavity,NRXN3,NLGN1,0.256,0.026
Branchial arch,发送,1,FN1_integrin_a3b1_complex,Cavity,FN1,integrin,0.747,0.034
Branchial arch,发送,2,VTN_integrin_aVb1_complex,Cavity,VTN,integrin,0.561,0.031
Branchial arch,发送,3,FN1_integrin_a4b7_complex,Cavity,FN1,integrin,0.52,0.016
Branchial arch,发送,4,NTN1_UNC5B,Cavity,NTN1,UNC5B,0.469,0.019
Branchial arch,接收,1,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.463,0.003
Branchial arch,接收,2,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.391,0.003
Branchial arch,接收,3,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,1.269,0.0
Branchial arch,接收,4,DLK1_NOTCH3,Cavity,NOTCH3,DLK1,1.225,0.0
Branchial arch,接收,5,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,1.213,0.0
Branchial arch,接收,6,FN1_integrin_aVb1_complex,Cavity,integrin,FN1,1.021,0.033
Branchial arch,接收,7,FN1_integrin_aVb5_complex,Cavity,integrin,FN1,0.992,0.033
Branchial arch,接收,8,LAMC1_integrin_a6b1_complex,Cavity,integrin,LAMC1,0.853,0.004
Branchial arch,接收,9,VTN_integrin_aVb1_complex,Cavity,integrin,VTN,0.604,0.035
Branchial arch,接收,10,FLRT2_ADGRL3,Cavity,ADGRL3,FLRT2,0.581,0.045
Mesenchyme,发送,1,NTN1_UNC5C,Cavity,NTN1,UNC5C,0.563,0.02
Mesenchyme,发送,2,VEGFA_KDR,Cavity,VEGFA,KDR,0.412,0.012
Mesenchyme,发送,3,LAMC1_integrin_aVb3_complex,Cavity,LAMC1,integrin,0.345,0.03
Mesenchyme,发送,4,VTN_integrin_aVb3_complex,Cavity,VTN,integrin,0.328,0.0
Mesenchyme,发送,5,NTN1_UNC5B,Cavity,NTN1,UNC5B,0.308,0.044
Mesenchyme,发送,6,COL4A2_integrin_a11b1_complex,Cavity,COL4A2,integrin,0.307,0.049
Mesenchyme,发送,7,MMP2_integrin_aVb3_complex,Cavity,MMP2,integrin,0.284,0.0
Mesenchyme,发送,8,VEGFB_NRP1,Cavity,VEGFB,NRP1,0.284,0.036
Mesenchyme,发送,9,VTN_integrin_a2Bb3_complex,Cavity,VTN,integrin,0.263,0.0
Mesenchyme,发送,10,COL4A2_ADGRG6,Cavity,COL4A2,ADGRG6,0.261,0.043
Mesenchyme,接收,1,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.26,0.001
Mesenchyme,接收,2,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.187,0.001
Mesenchyme,接收,3,COL3A1_ADGRG1,Cavity,ADGRG1,COL3A1,0.898,0.009
Mesenchyme,接收,4,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,0.763,0.031
Mesenchyme,接收,5,DLK1_NOTCH3,Cavity,NOTCH3,DLK1,0.719,0.003
Mesenchyme,接收,6,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,0.707,0.01
Mesenchyme,接收,7,APP_FPR2,Cavity,FPR2,APP,0.674,0.016
Mesenchyme,接收,8,FLRT2_ADGRL3,Cavity,ADGRL3,FLRT2,0.454,0.03
