cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,12,97.6,157.6,38.7,4.41
Brain,single_cluster,563,120.6,227.0,34.7,35.94
Branchial arch,single_cluster,13,114.0,196.8,3.9,2.58
Cavity,target,18,112.7,193.2,0.0,0.0
Connective tissue,single_cluster,185,92.7,161.1,37.9,9.61
Dermomyotome,single_cluster,185,122.6,157.1,37.5,23.43
Heart,single_cluster,138,110.6,185.9,7.6,7.41
Mesenchyme,single_cluster,258,137.0,162.2,39.4,25.58
Neural crest,single_cluster,242,95.0,203.3,20.3,14.22
Sclerotome,single_cluster,76,147.8,175.2,39.5,7.22
