邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,19,10.831000000000001,0.5700526315789475,1.814,0.251
Liver,5,3.034,0.6068,0.95,0.244
Brain,8,2.835,0.354375,0.574,0.236
Sclerotome,6,2.102,0.35033333333333333,0.422,0.183
Dermomyotome,6,2.067,0.34450000000000003,0.513,0.213
AGM,4,1.3639999999999999,0.34099999999999997,0.488,0.128
Mesenchyme,3,0.7130000000000001,0.2376666666666667,0.262,0.189
Cavity_1_82_Target,1,0.713,0.713,0.713,0.713
Connective tissue,2,0.5489999999999999,0.27449999999999997,0.293,0.256
Neural crest,1,0.315,0.315,0.315,0.315
