邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,21,14,35,11.356000000000002,10.223,21.579,0.5407619047619049,0.7302142857142858,0.6165428571428572
Sclerotome,11,4,15,7.757000000000001,2.757,10.514000000000001,0.7051818181818182,0.68925,0.7009333333333334
Connective tissue,6,7,13,2.553,4.757,7.31,0.4255,0.6795714285714285,0.5623076923076923
Liver,8,4,12,5.128,1.827,6.955,0.641,0.45675,0.5795833333333333
Dermomyotome,3,6,9,1.5799999999999998,4.7620000000000005,6.3420000000000005,0.5266666666666666,0.7936666666666667,0.7046666666666668
Branchial arch,6,8,14,2.101,3.4930000000000003,5.594,0.3501666666666667,0.43662500000000004,0.3995714285714286
Neural crest,3,7,10,1.23,3.4369999999999994,4.667,0.41,0.49099999999999994,0.4667
Mesenchyme,1,2,3,0.614,2.5860000000000003,3.2,0.614,1.2930000000000001,1.0666666666666667
AGM,6,1,7,1.9100000000000001,0.569,2.479,0.31833333333333336,0.569,0.35414285714285715
Cavity_1_86_Target,1,5,6,0.693,1.616,2.309,0.693,0.32320000000000004,0.38483333333333336
