邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,25,14.050999999999998,0.56204,2.047,0.197
Neural crest,14,7.229,0.5163571428571428,1.219,0.249
Branchial arch,11,6.0809999999999995,0.5528181818181818,1.248,0.279
Dermomyotome,9,5.6370000000000005,0.6263333333333334,1.255,0.209
Connective tissue,5,3.893,0.7786,1.301,0.349
Mesenchyme,5,3.627,0.7253999999999999,1.211,0.326
Sclerotome,6,2.7840000000000003,0.464,0.526,0.342
Cavity_1_87_Target,6,2.016,0.336,0.437,0.234
Liver,4,1.807,0.45175,0.657,0.253
AGM,4,1.7120000000000002,0.42800000000000005,0.504,0.327
