邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF2R,Connective tissue,IGF2,IGF2R,1.957,0.0
AGM,发送,2,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.798,0.0
AGM,发送,3,DLK1_NOTCH2,Connective tissue,DLK1,NOTCH2,1.47,0.001
AGM,发送,4,DLK1_NOTCH1,Connective tissue,DLK1,NOTCH1,1.385,0.0
AGM,发送,5,DLK1_NOTCH3,Connective tissue,DLK1,NOTCH3,1.371,0.0
AGM,发送,6,COL3A1_ADGRG1,Connective tissue,COL3A1,ADGRG1,1.242,0.0
AGM,发送,7,COL3A1_integrin_a11b1_complex,Connective tissue,COL3A1,integrin,1.238,0.0
AGM,发送,8,COL1A1_integrin_a11b1_complex,Connective tissue,COL1A1,integrin,1.129,0.0
AGM,发送,9,COL1A2_integrin_a11b1_complex,Connective tissue,COL1A2,integrin,1.064,0.0
AGM,发送,10,FN1_integrin_aVb1_complex,Connective tissue,FN1,integrin,1.04,0.0
AGM,接收,1,PPIA_BSG,Connective tissue,BSG,PPIA,1.262,0.0
AGM,接收,2,FGF2_FGFR2,Connective tissue,FGFR2,FGF2,1.142,0.001
AGM,接收,3,MPZL1_MPZL1,Connective tissue,MPZL1,MPZL1,0.735,0.004
AGM,接收,4,LRFN4_PTPRF,Connective tissue,PTPRF,LRFN4,0.68,0.005
AGM,接收,5,IL1RAP_PTPRF,Connective tissue,PTPRF,IL1RAP,0.651,0.0
AGM,接收,6,PDGFC_PDGFRA,Connective tissue,PDGFRA,PDGFC,0.625,0.002
AGM,接收,7,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Connective tissue,byALDH1A2,atRetinoicAcid,0.62,0.0
AGM,接收,8,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Connective tissue,byALDH1A2,atRetinoicAcid,0.606,0.0
AGM,接收,9,EFNA5_EPHA3,Connective tissue,EPHA3,EFNA5,0.573,0.008
AGM,接收,10,TENM3_ADGRL2,Connective tissue,ADGRL2,TENM3,0.571,0.021
Cavity,发送,1,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.666,0.029
Cavity,发送,2,COL3A1_ADGRG1,Connective tissue,COL3A1,ADGRG1,1.262,0.0
Cavity,发送,3,FN1_integrin_aVb1_complex,Connective tissue,FN1,integrin,0.952,0.0
Cavity,发送,4,FN1_integrin_aVb5_complex,Connective tissue,FN1,integrin,0.952,0.0
