邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF2R,Connective tissue,IGF2,IGF2R,1.819,0.0
AGM,发送,2,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.728,0.0
AGM,发送,3,DLK1_NOTCH2,Connective tissue,DLK1,NOTCH2,1.422,0.0
AGM,发送,4,DLK1_NOTCH3,Connective tissue,DLK1,NOTCH3,1.37,0.0
AGM,发送,5,DLK1_NOTCH1,Connective tissue,DLK1,NOTCH1,1.363,0.0
AGM,发送,6,COL3A1_integrin_a11b1_complex,Connective tissue,COL3A1,integrin,1.127,0.0
AGM,发送,7,FN1_integrin_aVb1_complex,Connective tissue,FN1,integrin,0.918,0.0
AGM,发送,8,COL1A1_integrin_a11b1_complex,Connective tissue,COL1A1,integrin,0.883,0.0
AGM,发送,9,FN1_integrin_aVb5_complex,Connective tissue,FN1,integrin,0.877,0.0
AGM,发送,10,FN1_integrin_a3b1_complex,Connective tissue,FN1,integrin,0.868,0.0
AGM,接收,1,IGF2_IGF2R,Connective tissue,IGF2R,IGF2,1.735,0.012
AGM,接收,2,PPIA_BSG,Connective tissue,BSG,PPIA,1.173,0.0
AGM,接收,3,MPZL1_MPZL1,Connective tissue,MPZL1,MPZL1,0.775,0.0
AGM,接收,4,PDGFC_PDGFRA,Connective tissue,PDGFRA,PDGFC,0.684,0.0
AGM,接收,5,EFNA5_EPHA3,Connective tissue,EPHA3,EFNA5,0.632,0.0
AGM,接收,6,LRFN4_PTPRF,Connective tissue,PTPRF,LRFN4,0.623,0.001
AGM,接收,7,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Connective tissue,byALDH1A2,atRetinoicAcid,0.586,0.0
AGM,接收,8,TENM3_ADGRL2,Connective tissue,ADGRL2,TENM3,0.562,0.001
AGM,接收,9,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Connective tissue,byALDH1A2,atRetinoicAcid,0.547,0.0
AGM,接收,10,WNT5A_SFRP1,Connective tissue,SFRP1,WNT5A,0.547,0.0
Cavity,发送,1,IGF2_IGF2R,Connective tissue,IGF2,IGF2R,1.723,0.036
Cavity,发送,2,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.604,0.017
