邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Dermomyotome,IGF2,IGF1R,1.704,0.0
AGM,发送,2,DLK1_NOTCH2,Dermomyotome,DLK1,NOTCH2,1.353,0.027
AGM,发送,3,DLK1_NOTCH3,Dermomyotome,DLK1,NOTCH3,1.333,0.001
AGM,发送,4,DLK1_NOTCH1,Dermomyotome,DLK1,NOTCH1,1.308,0.014
AGM,发送,5,PPIA_BSG,Dermomyotome,PPIA,BSG,1.136,0.049
AGM,发送,6,CADM1_CADM1,Dermomyotome,CADM1,CADM1,0.946,0.0
AGM,发送,7,CADM1_NECTIN3,Dermomyotome,CADM1,NECTIN3,0.806,0.0
AGM,发送,8,MPZL1_MPZL1,Dermomyotome,MPZL1,MPZL1,0.777,0.023
AGM,发送,9,PDGFC_PDGFRA,Dermomyotome,PDGFC,PDGFRA,0.672,0.002
AGM,发送,10,TENM3_ADGRL2,Dermomyotome,TENM3,ADGRL2,0.617,0.012
AGM,接收,1,FGF10_FGFR2,Dermomyotome,FGFR2,FGF10,1.219,0.0
AGM,接收,2,CADM1_CADM1,Dermomyotome,CADM1,CADM1,0.946,0.0
AGM,接收,3,MPZL1_MPZL1,Dermomyotome,MPZL1,MPZL1,0.777,0.023
AGM,接收,4,TENM3_ADGRL2,Dermomyotome,ADGRL2,TENM3,0.662,0.001
AGM,接收,5,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Dermomyotome,byALDH1A2,atRetinoicAcid,0.638,0.0
AGM,接收,6,FLRT3_ADGRL2,Dermomyotome,ADGRL2,FLRT3,0.63,0.0
AGM,接收,7,EFNA5_EPHA3,Dermomyotome,EPHA3,EFNA5,0.626,0.0
AGM,接收,8,TENM4_ADGRL2,Dermomyotome,ADGRL2,TENM4,0.615,0.0
AGM,接收,9,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Dermomyotome,byALDH1A2,atRetinoicAcid,0.598,0.0
AGM,接收,10,AGRN_PTPRS,Dermomyotome,PTPRS,AGRN,0.59,0.001
Connective tissue,发送,1,IGF2_IGF2R,Dermomyotome,IGF2,IGF2R,1.862,0.0
Connective tissue,发送,2,IGF2_IGF1R,Dermomyotome,IGF2,IGF1R,1.663,0.002
Connective tissue,发送,3,DLK1_NOTCH2,Dermomyotome,DLK1,NOTCH2,1.438,0.0
Connective tissue,发送,4,DLK1_NOTCH1,Dermomyotome,DLK1,NOTCH1,1.334,0.002
Connective tissue,发送,5,DLK1_NOTCH3,Dermomyotome,DLK1,NOTCH3,1.309,0.008
Connective tissue,发送,6,PPIA_BSG,Dermomyotome,PPIA,BSG,1.255,0.0
Connective tissue,发送,7,CADM1_CADM1,Dermomyotome,CADM1,CADM1,0.892,0.011
Connective tissue,发送,8,CADM1_NECTIN3,Dermomyotome,CADM1,NECTIN3,0.853,0.0
Connective tissue,发送,9,MPZL1_MPZL1,Dermomyotome,MPZL1,MPZL1,0.807,0.005
Connective tissue,发送,10,PDGFC_PDGFRA,Dermomyotome,PDGFC,PDGFRA,0.781,0.0
Connective tissue,接收,1,IGF2_IGF2R,Dermomyotome,IGF2R,IGF2,1.799,0.0
Connective tissue,接收,2,IGF2_IGF1R,Dermomyotome,IGF1R,IGF2,1.789,0.0
Connective tissue,接收,3,DLK1_NOTCH2,Dermomyotome,NOTCH2,DLK1,1.535,0.0
Connective tissue,接收,4,DLK1_NOTCH3,Dermomyotome,NOTCH3,DLK1,1.492,0.0
Connective tissue,接收,5,DLK1_NOTCH1,Dermomyotome,NOTCH1,DLK1,1.45,0.0
Connective tissue,接收,6,COL3A1_integrin_a11b1_complex,Dermomyotome,integrin,COL3A1,1.11,0.0
Connective tissue,接收,7,COL1A1_integrin_a11b1_complex,Dermomyotome,integrin,COL1A1,0.914,0.0
Connective tissue,接收,8,FN1_integrin_aVb1_complex,Dermomyotome,integrin,FN1,0.892,0.0
Connective tissue,接收,9,FN1_integrin_aVb5_complex,Dermomyotome,integrin,FN1,0.892,0.0
Connective tissue,接收,10,CADM1_CADM1,Dermomyotome,CADM1,CADM1,0.892,0.011
Dermomyotome,发送,1,IGF2_IGF1R,Dermomyotome,IGF2,IGF1R,1.653,0.027
Dermomyotome,发送,2,DLK1_NOTCH2,Dermomyotome,DLK1,NOTCH2,1.419,0.001
Dermomyotome,发送,3,DLK1_NOTCH3,Dermomyotome,DLK1,NOTCH3,1.375,0.001
Dermomyotome,发送,4,DLK1_NOTCH1,Dermomyotome,DLK1,NOTCH1,1.333,0.004
Dermomyotome,发送,5,CADM1_CADM1,Dermomyotome,CADM1,CADM1,1.191,0.0
Dermomyotome,发送,6,PPIA_BSG,Dermomyotome,PPIA,BSG,1.151,0.038
Dermomyotome,发送,7,CADM1_NECTIN3,Dermomyotome,CADM1,NECTIN3,0.918,0.0
Dermomyotome,发送,8,TENM3_ADGRL2,Dermomyotome,TENM3,ADGRL2,0.696,0.0
Dermomyotome,发送,9,PDGFC_PDGFRA,Dermomyotome,PDGFC,PDGFRA,0.645,0.018
Dermomyotome,发送,10,EFNA5_EPHA3,Dermomyotome,EFNA5,EPHA3,0.635,0.0
Dermomyotome,接收,1,IGF2_IGF1R,Dermomyotome,IGF1R,IGF2,1.653,0.027
Dermomyotome,接收,2,DLK1_NOTCH2,Dermomyotome,NOTCH2,DLK1,1.419,0.001
Dermomyotome,接收,3,DLK1_NOTCH3,Dermomyotome,NOTCH3,DLK1,1.375,0.001
Dermomyotome,接收,4,DLK1_NOTCH1,Dermomyotome,NOTCH1,DLK1,1.333,0.004
Dermomyotome,接收,5,CADM1_CADM1,Dermomyotome,CADM1,CADM1,1.191,0.0
Dermomyotome,接收,6,PPIA_BSG,Dermomyotome,BSG,PPIA,1.151,0.038
Dermomyotome,接收,7,CADM1_NECTIN3,Dermomyotome,NECTIN3,CADM1,0.918,0.0
Dermomyotome,接收,8,TENM3_ADGRL2,Dermomyotome,ADGRL2,TENM3,0.696,0.0
Dermomyotome,接收,9,PDGFC_PDGFRA,Dermomyotome,PDGFRA,PDGFC,0.645,0.018
Dermomyotome,接收,10,EFNA5_EPHA3,Dermomyotome,EPHA3,EFNA5,0.635,0.0
Dermomyotome_1_114_Target,发送,1,DLK1_NOTCH2,Dermomyotome,DLK1,NOTCH2,1.438,0.0
Dermomyotome_1_114_Target,发送,2,DLK1_NOTCH1,Dermomyotome,DLK1,NOTCH1,1.393,0.0
Dermomyotome_1_114_Target,发送,3,DLK1_NOTCH3,Dermomyotome,DLK1,NOTCH3,1.354,0.0
Dermomyotome_1_114_Target,发送,4,CADM1_CADM1,Dermomyotome,CADM1,CADM1,1.204,0.0
Dermomyotome_1_114_Target,发送,5,PPIA_BSG,Dermomyotome,PPIA,BSG,1.173,0.012
Dermomyotome_1_114_Target,发送,6,CADM1_NECTIN3,Dermomyotome,CADM1,NECTIN3,0.989,0.0
Dermomyotome_1_114_Target,发送,7,TENM3_ADGRL2,Dermomyotome,TENM3,ADGRL2,0.699,0.0
Dermomyotome_1_114_Target,发送,8,TENM4_ADGRL2,Dermomyotome,TENM4,ADGRL2,0.594,0.001
Dermomyotome_1_114_Target,发送,9,NECTIN1_NECTIN3,Dermomyotome,NECTIN1,NECTIN3,0.576,0.0
Dermomyotome_1_114_Target,发送,10,EFNA5_EPHA3,Dermomyotome,EFNA5,EPHA3,0.565,0.002
Dermomyotome_1_114_Target,接收,1,DLK1_NOTCH2,Dermomyotome,NOTCH2,DLK1,1.436,0.0
Dermomyotome_1_114_Target,接收,2,DLK1_NOTCH3,Dermomyotome,NOTCH3,DLK1,1.393,0.0
Dermomyotome_1_114_Target,接收,3,DLK1_NOTCH1,Dermomyotome,NOTCH1,DLK1,1.351,0.001
Dermomyotome_1_114_Target,接收,4,CADM1_CADM1,Dermomyotome,CADM1,CADM1,1.204,0.0
Dermomyotome_1_114_Target,接收,5,PPIA_BSG,Dermomyotome,BSG,PPIA,1.173,0.015
Dermomyotome_1_114_Target,接收,6,CADM1_NECTIN3,Dermomyotome,NECTIN3,CADM1,0.931,0.0
Dermomyotome_1_114_Target,接收,7,PDGFC_PDGFRA,Dermomyotome,PDGFRA,PDGFC,0.689,0.0
Dermomyotome_1_114_Target,接收,8,TENM3_ADGRL2,Dermomyotome,ADGRL2,TENM3,0.628,0.025
Dermomyotome_1_114_Target,接收,9,TENM4_ADGRL2,Dermomyotome,ADGRL2,TENM4,0.579,0.005
Dermomyotome_1_114_Target,接收,10,EFNA5_EPHA3,Dermomyotome,EPHA3,EFNA5,0.562,0.0
Liver,发送,1,DLK1_NOTCH1,Dermomyotome,DLK1,NOTCH1,1.975,0.001
Liver,发送,2,DLK1_NOTCH2,Dermomyotome,DLK1,NOTCH2,1.743,0.03
Liver,发送,3,PPIA_BSG,Dermomyotome,PPIA,BSG,1.701,0.005
Liver,发送,4,2arachidonoylglycerol_byDAGLB_CNR1,Dermomyotome,2arachidonoylglycerol,byDAGLB,1.161,0.008
Liver,发送,5,TENM3_ADGRL2,Dermomyotome,TENM3,ADGRL2,1.13,0.01
Liver,发送,6,TENM4_ADGRL2,Dermomyotome,TENM4,ADGRL2,1.025,0.016
Liver,发送,7,FLRT3_ADGRL2,Dermomyotome,FLRT3,ADGRL2,0.981,0.038
Liver,发送,8,NCAM1_FGFR1,Dermomyotome,NCAM1,FGFR1,0.957,0.019
Liver,发送,9,TENM1_ADGRL2,Dermomyotome,TENM1,ADGRL2,0.845,0.021
Liver,发送,10,PTPRS_NTRK3,Dermomyotome,PTPRS,NTRK3,0.818,0.0
Liver,接收,1,KITLG_KIT,Dermomyotome,KIT,KITLG,1.011,0.0
Liver,接收,2,TENM4_ADGRL2,Dermomyotome,ADGRL2,TENM4,0.893,0.041
Liver,接收,3,JAM3_JAM3,Dermomyotome,JAM3,JAM3,0.816,0.029
Liver,接收,4,LRRC4C_PTPRF,Dermomyotome,PTPRF,LRRC4C,0.814,0.044
Liver,接收,5,BMP7_BMPR1A_BMPR2,Dermomyotome,BMPR1A,BMP7,0.759,0.005
Liver,接收,6,BMP7_BMR1A_AVR2B,Dermomyotome,BMR1A,BMP7,0.759,0.004
Liver,接收,7,LRFN4_PTPRD,Dermomyotome,PTPRD,LRFN4,0.737,0.027
Liver,接收,8,LRFN4_PTPRS,Dermomyotome,PTPRS,LRFN4,0.717,0.013
Liver,接收,9,BMP7_BMR1B_AVR2B,Dermomyotome,BMR1B,BMP7,0.71,0.003
