邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Dermomyotome,IGF2,IGF1R,1.675,0.0
AGM,发送,2,IGF2_IGF2R,Dermomyotome,IGF2,IGF2R,1.659,0.034
AGM,发送,3,DLK1_NOTCH2,Dermomyotome,DLK1,NOTCH2,1.334,0.0
AGM,发送,4,DLK1_NOTCH3,Dermomyotome,DLK1,NOTCH3,1.316,0.0
AGM,发送,5,DLK1_NOTCH1,Dermomyotome,DLK1,NOTCH1,1.292,0.001
AGM,发送,6,PPIA_BSG,Dermomyotome,PPIA,BSG,1.158,0.014
AGM,发送,7,CADM1_CADM1,Dermomyotome,CADM1,CADM1,0.954,0.0
AGM,发送,8,CADM1_NECTIN3,Dermomyotome,CADM1,NECTIN3,0.81,0.0
AGM,发送,9,MPZL1_MPZL1,Dermomyotome,MPZL1,MPZL1,0.768,0.036
AGM,发送,10,PDGFC_PDGFRA,Dermomyotome,PDGFC,PDGFRA,0.725,0.0
AGM,接收,1,FGF10_FGFR2,Dermomyotome,FGFR2,FGF10,1.167,0.0
AGM,接收,2,PPIA_BSG,Dermomyotome,BSG,PPIA,1.148,0.029
AGM,接收,3,CADM1_CADM1,Dermomyotome,CADM1,CADM1,0.954,0.0
AGM,接收,4,MPZL1_MPZL1,Dermomyotome,MPZL1,MPZL1,0.768,0.036
AGM,接收,5,CADM1_NECTIN3,Dermomyotome,NECTIN3,CADM1,0.741,0.021
AGM,接收,6,TENM3_ADGRL2,Dermomyotome,ADGRL2,TENM3,0.667,0.0
AGM,接收,7,FLRT3_ADGRL2,Dermomyotome,ADGRL2,FLRT3,0.647,0.0
AGM,接收,8,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Dermomyotome,byALDH1A2,atRetinoicAcid,0.625,0.0
AGM,接收,9,TENM4_ADGRL2,Dermomyotome,ADGRL2,TENM4,0.625,0.0
AGM,接收,10,NECTIN2_NECTIN3,Dermomyotome,NECTIN3,NECTIN2,0.592,0.0
Brain,发送,1,CADM1_CADM1,Dermomyotome,CADM1,CADM1,1.702,0.006
Brain,发送,2,2arachidonoylglycerol_byDAGLB_CNR1,Dermomyotome,2arachidonoylglycerol,byDAGLB,1.461,0.004
Brain,发送,3,SLIT2_ROBO2,Dermomyotome,SLIT2,ROBO2,1.262,0.006
Brain,发送,4,APLP2_PLXNA4,Dermomyotome,APLP2,PLXNA4,1.045,0.01
Brain,发送,5,APP_PLXNA4,Dermomyotome,APP,PLXNA4,1.018,0.011
Brain,发送,6,CDH2_CDH2,Dermomyotome,CDH2,CDH2,0.993,0.044
Brain,发送,7,CDH6_CDH6,Dermomyotome,CDH6,CDH6,0.8,0.034
Brain,发送,8,Glutamate_byGLS_and_SLC1A3_GRIK2,Dermomyotome,Glutamate,byGLS,0.661,0.043
Brain,发送,9,WNT16_FZD4_LRP5,Dermomyotome,WNT16,FZD4,0.517,0.012
Brain,发送,10,WNT16_FZD3_LRP5,Dermomyotome,WNT16,FZD3,0.517,0.036
Brain,接收,1,CADM1_CADM1,Dermomyotome,CADM1,CADM1,1.702,0.006
Brain,接收,2,CADM1_NECTIN3,Dermomyotome,NECTIN3,CADM1,1.489,0.008
Brain,接收,3,DLL3_NOTCH2,Dermomyotome,NOTCH2,DLL3,1.326,0.002
Brain,接收,4,APP_FPR2,Dermomyotome,FPR2,APP,1.284,0.031
Brain,接收,5,DLL3_NOTCH3,Dermomyotome,NOTCH3,DLL3,1.252,0.002
Brain,接收,6,DLL3_NOTCH1,Dermomyotome,NOTCH1,DLL3,1.252,0.002
Brain,接收,7,APP_TNFRSF21,Dermomyotome,TNFRSF21,APP,1.182,0.032
Brain,接收,8,SLIT2_ROBO1,Dermomyotome,ROBO1,SLIT2,1.131,0.036
Brain,接收,9,CDH2_CDH2,Dermomyotome,CDH2,CDH2,0.993,0.044
Brain,接收,10,SLIT2_ROBO2,Dermomyotome,ROBO2,SLIT2,0.916,0.047
Cavity,发送,1,DLK1_NOTCH1,Dermomyotome,DLK1,NOTCH1,1.298,0.006
