邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Heart,IGF2,IGF1R,1.984,0.0
AGM,发送,2,FN1_integrin_a8b1_complex,Heart,FN1,integrin,1.3,0.0
AGM,发送,3,FN1_integrin_aVb1_complex,Heart,FN1,integrin,1.236,0.0
AGM,发送,4,FN1_integrin_aVb5_complex,Heart,FN1,integrin,1.203,0.0
AGM,发送,5,FN1_integrin_a3b1_complex,Heart,FN1,integrin,1.167,0.0
AGM,发送,6,FN1_integrin_a4b1_complex,Heart,FN1,integrin,1.162,0.0
AGM,发送,7,COL4A1_integrin_a1b1_complex,Heart,COL4A1,integrin,0.718,0.003
AGM,发送,8,SLIT2_ROBO1,Heart,SLIT2,ROBO1,0.709,0.0
AGM,发送,9,TENM3_ADGRL2,Heart,TENM3,ADGRL2,0.654,0.0
AGM,发送,10,DAG1_NRXN3,Heart,DAG1,NRXN3,0.63,0.018
AGM,接收,1,IGF2_IGF2R,Heart,IGF2R,IGF2,2.296,0.0
AGM,接收,2,PPIA_BSG,Heart,BSG,PPIA,1.308,0.0
AGM,接收,3,COL3A1_integrin_a1b1_complex,Heart,integrin,COL3A1,1.11,0.0
AGM,接收,4,COL3A1_ADGRG1,Heart,ADGRG1,COL3A1,0.925,0.0
AGM,接收,5,LAMC1_integrin_a6b1_complex,Heart,integrin,LAMC1,0.717,0.0
AGM,接收,6,COL4A1_integrin_a1b1_complex,Heart,integrin,COL4A1,0.689,0.032
AGM,接收,7,COL4A1_ADGRG6,Heart,ADGRG6,COL4A1,0.659,0.009
AGM,接收,8,NRG3_ERBB4,Heart,ERBB4,NRG3,0.639,0.0
AGM,接收,9,COL1A2_integrin_a1b1_complex,Heart,integrin,COL1A2,0.622,0.003
AGM,接收,10,NRG2_ERBB4,Heart,ERBB4,NRG2,0.6,0.0
Branchial arch,发送,1,IGF2_IGF1R,Heart,IGF2,IGF1R,2.047,0.0
Branchial arch,发送,2,FN1_integrin_aVb1_complex,Heart,FN1,integrin,1.306,0.0
Branchial arch,发送,3,FN1_integrin_aVb5_complex,Heart,FN1,integrin,1.306,0.0
Branchial arch,发送,4,FN1_integrin_a3b1_complex,Heart,FN1,integrin,1.283,0.0
Branchial arch,发送,5,FN1_integrin_a8b1_complex,Heart,FN1,integrin,1.167,0.0
Branchial arch,发送,6,FN1_integrin_a11b1_complex,Heart,FN1,integrin,1.159,0.0
Branchial arch,发送,7,FN1_integrin_a4b1_complex,Heart,FN1,integrin,1.147,0.0
Branchial arch,发送,8,NPPA_NPR1,Heart,NPPA,NPR1,1.092,0.0
Branchial arch,发送,9,LRFN4_PTPRF,Heart,LRFN4,PTPRF,0.801,0.0
