邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.377,0.025
AGM,发送,2,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.357,0.028
AGM,发送,3,FTL_SCARA5,Mesenchyme,FTL,SCARA5,1.264,0.011
AGM,发送,4,FN1_integrin_a2Bb3_complex,Mesenchyme,FN1,integrin,0.654,0.029
AGM,发送,5,WNT6_FZD2_LRP6,Mesenchyme,WNT6,FZD2,0.463,0.006
AGM,发送,6,WNT6_FZD3_LRP6,Mesenchyme,WNT6,FZD3,0.463,0.002
AGM,发送,7,WNT5A_FZD2_LRP6,Mesenchyme,WNT5A,FZD2,0.462,0.02
AGM,发送,8,WNT5A_FZD3_LRP6,Mesenchyme,WNT5A,FZD3,0.462,0.012
AGM,发送,9,SEMA6A_PlexinA2_complex1,Mesenchyme,SEMA6A,PlexinA2,0.428,0.035
AGM,发送,10,NRG3_ERBB4,Mesenchyme,NRG3,ERBB4,0.387,0.033
AGM,接收,1,COL5A2_integrin_a11b1_complex,Mesenchyme,integrin,COL5A2,0.456,0.043
AGM,接收,2,BMP2_BMPR1A_BMPR2,Mesenchyme,BMPR1A,BMP2,0.423,0.012
AGM,接收,3,BMP2_BMR1A_ACR2A,Mesenchyme,BMR1A,BMP2,0.416,0.007
AGM,接收,4,BMP2_BMR1A_AVR2B,Mesenchyme,BMR1A,BMP2,0.385,0.011
AGM,接收,5,BMP2_BMR1B_AVR2B,Mesenchyme,BMR1B,BMP2,0.354,0.017
AGM,接收,6,BMP2_BMR1B_AVR2A,Mesenchyme,BMR1B,BMP2,0.354,0.012
AGM,接收,7,BMP2_BMPR1B_BMPR2,Mesenchyme,BMPR1B,BMP2,0.354,0.022
AGM,接收,8,COL12A1_integrin_a11b1_complex,Mesenchyme,integrin,COL12A1,0.256,0.029
AGM,接收,9,Glutamate_byGLS_and_SLC17A8_GRM7,Mesenchyme,byGLS,Glutamate,0.185,0.02
AGM,接收,10,Glutamate_byGLS_and_SLC17A8_GRIK3,Mesenchyme,byGLS,Glutamate,0.152,0.01
Brain,发送,1,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.387,0.0
Brain,发送,2,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.241,0.0
Brain,发送,3,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.217,0.0
Brain,发送,4,COL3A1_ADGRG1,Mesenchyme,COL3A1,ADGRG1,1.026,0.009
Brain,发送,5,COL18A1_integrin_a1b1_complex,Mesenchyme,COL18A1,integrin,0.809,0.007
Brain,发送,6,LRFN4_PTPRF,Mesenchyme,LRFN4,PTPRF,0.72,0.016
Brain,发送,7,NTN1_DCC,Mesenchyme,NTN1,DCC,0.612,0.0
Brain,发送,8,NCAM1_AGRN,Mesenchyme,NCAM1,AGRN,0.517,0.026
Brain,发送,9,WNT6_SFRP1,Mesenchyme,WNT6,SFRP1,0.455,0.0
Brain,发送,10,WNT5A_SFRP1,Mesenchyme,WNT5A,SFRP1,0.454,0.0
Brain,接收,1,AGRN_PTPRS,Mesenchyme,PTPRS,AGRN,0.614,0.039
Brain,接收,2,EFNB3_EPHB4,Mesenchyme,EPHB4,EFNB3,0.451,0.01
Brain,接收,3,EFNB3_EPHB3,Mesenchyme,EPHB3,EFNB3,0.428,0.014
Brain,接收,4,NRXN2_DAG1,Mesenchyme,DAG1,NRXN2,0.42,0.048
Brain,接收,5,DLL3_NOTCH2,Mesenchyme,NOTCH2,DLL3,0.399,0.0
Brain,接收,6,DLL1_NOTCH2,Mesenchyme,NOTCH2,DLL1,0.363,0.017
Brain,接收,7,DLL3_NOTCH1,Mesenchyme,NOTCH1,DLL3,0.347,0.005
Brain,接收,8,VTN_integrin_aVb1_complex,Mesenchyme,integrin,VTN,0.344,0.009
Brain,接收,9,DLL3_NOTCH3,Mesenchyme,NOTCH3,DLL3,0.326,0.0
Brain,接收,10,JAM2_JAM3,Mesenchyme,JAM3,JAM2,0.321,0.038
Cavity,发送,1,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.162,0.023
Cavity,发送,2,TGFB2_TGFBR3,Mesenchyme,TGFB2,TGFBR3,0.287,0.029
Dermomyotome,发送,1,IGF2_IGF1R,Mesenchyme,IGF2,IGF1R,1.571,0.013
Dermomyotome,发送,2,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.316,0.0
Dermomyotome,发送,3,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.198,0.0
Dermomyotome,发送,4,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.195,0.0
Dermomyotome,发送,5,PPIA_BSG,Mesenchyme,PPIA,BSG,1.132,0.02
Dermomyotome,发送,6,CADM1_CADM1,Mesenchyme,CADM1,CADM1,0.992,0.0
Dermomyotome,发送,7,COL18A1_integrin_a11b1_complex,Mesenchyme,COL18A1,integrin,0.755,0.044
