邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Mesenchyme,IGF2,IGF1R,1.712,0.0
AGM,发送,2,AGRP_MC2R,Mesenchyme,AGRP,MC2R,0.806,0.0
AGM,发送,3,COL3A1_ADGRG1,Mesenchyme,COL3A1,ADGRG1,0.757,0.006
AGM,发送,4,IGF1_IGF1R,Mesenchyme,IGF1,IGF1R,0.595,0.001
AGM,发送,5,IGF1_IGF1R_enhancerComGPC3,Mesenchyme,IGF1,IGF1R,0.595,0.001
AGM,发送,6,CDH2_CDH2,Mesenchyme,CDH2,CDH2,0.521,0.046
AGM,发送,7,CDH3_CDH3,Mesenchyme,CDH3,CDH3,0.413,0.002
AGM,发送,8,WNT5A_SFRP1,Mesenchyme,WNT5A,SFRP1,0.383,0.04
AGM,发送,9,BMP7_BMPR1A_BMPR2,Mesenchyme,BMP7,BMPR1A,0.38,0.0
AGM,发送,10,MSTN_TGFR_AVR2B,Mesenchyme,MSTN,TGFR,0.369,0.013
AGM,接收,1,IGF2_IGF2R,Mesenchyme,IGF2R,IGF2,1.681,0.045
AGM,接收,2,FN1_integrin_aVb1_complex,Mesenchyme,integrin,FN1,0.838,0.023
AGM,接收,3,FN1_integrin_aVb5_complex,Mesenchyme,integrin,FN1,0.838,0.023
AGM,接收,4,FN1_integrin_a3b1_complex,Mesenchyme,integrin,FN1,0.805,0.018
AGM,接收,5,FN1_integrin_a11b1_complex,Mesenchyme,integrin,FN1,0.771,0.014
AGM,接收,6,FN1_integrin_a8b1_complex,Mesenchyme,integrin,FN1,0.766,0.027
AGM,接收,7,LRFN4_PTPRF,Mesenchyme,PTPRF,LRFN4,0.681,0.014
AGM,接收,8,FLRT3_ADGRL2,Mesenchyme,ADGRL2,FLRT3,0.647,0.002
AGM,接收,9,APP_FPR2,Mesenchyme,FPR2,APP,0.621,0.004
AGM,接收,10,AGRN_PTPRS,Mesenchyme,PTPRS,AGRN,0.599,0.011
Dermomyotome,发送,1,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.325,0.004
Dermomyotome,发送,2,PPIA_BSG,Mesenchyme,PPIA,BSG,1.125,0.015
Dermomyotome,发送,3,CADM1_CADM1,Mesenchyme,CADM1,CADM1,1.035,0.0
Dermomyotome,发送,4,CADM1_NECTIN3,Mesenchyme,CADM1,NECTIN3,0.82,0.005
Dermomyotome,发送,5,COL18A1_integrin_a11b1_complex,Mesenchyme,COL18A1,integrin,0.772,0.0
Dermomyotome,发送,6,COL3A1_integrin_a11b1_complex,Mesenchyme,COL3A1,integrin,0.735,0.033
Dermomyotome,发送,7,NECTIN2_NECTIN3,Mesenchyme,NECTIN2,NECTIN3,0.62,0.0
Dermomyotome,发送,8,Cholesterol_byDHCR24_RORA,Mesenchyme,Cholesterol,byDHCR24,0.581,0.046
Dermomyotome,发送,9,COL1A2_integrin_a11b1_complex,Mesenchyme,COL1A2,integrin,0.561,0.001
Dermomyotome,发送,10,AGRN_PTPRS,Mesenchyme,AGRN,PTPRS,0.534,0.014
Dermomyotome,接收,1,IGF2_IGF2R,Mesenchyme,IGF2R,IGF2,1.668,0.0
Dermomyotome,接收,2,IGF2_IGF1R,Mesenchyme,IGF1R,IGF2,1.557,0.025
Dermomyotome,接收,3,DLK1_NOTCH2,Mesenchyme,NOTCH2,DLK1,1.352,0.001
Dermomyotome,接收,4,DLK1_NOTCH3,Mesenchyme,NOTCH3,DLK1,1.317,0.0
Dermomyotome,接收,5,DLK1_NOTCH1,Mesenchyme,NOTCH1,DLK1,1.286,0.002
Dermomyotome,接收,6,PPIA_BSG,Mesenchyme,BSG,PPIA,1.17,0.001
Dermomyotome,接收,7,CADM1_CADM1,Mesenchyme,CADM1,CADM1,1.035,0.0
Dermomyotome,接收,8,CADM1_NECTIN3,Mesenchyme,NECTIN3,CADM1,0.859,0.0
Dermomyotome,接收,9,LRFN4_PTPRF,Mesenchyme,PTPRF,LRFN4,0.682,0.0
Dermomyotome,接收,10,PDGFC_PDGFRA,Mesenchyme,PDGFRA,PDGFC,0.645,0.004
Mesenchyme,发送,1,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.255,0.027
Mesenchyme,发送,2,PPIA_BSG,Mesenchyme,PPIA,BSG,1.147,0.0
Mesenchyme,发送,3,COL18A1_integrin_a11b1_complex,Mesenchyme,COL18A1,integrin,0.779,0.0
Mesenchyme,发送,4,COL3A1_integrin_a11b1_complex,Mesenchyme,COL3A1,integrin,0.743,0.023
Mesenchyme,发送,5,LRFN4_PTPRF,Mesenchyme,LRFN4,PTPRF,0.675,0.0
Mesenchyme,发送,6,LRRC4C_PTPRF,Mesenchyme,LRRC4C,PTPRF,0.653,0.0
Mesenchyme,发送,7,COL1A2_integrin_a11b1_complex,Mesenchyme,COL1A2,integrin,0.569,0.001
Mesenchyme,发送,8,AGRN_PTPRS,Mesenchyme,AGRN,PTPRS,0.547,0.002
Mesenchyme,发送,9,APP_FPR2,Mesenchyme,APP,FPR2,0.535,0.003
Mesenchyme,发送,10,PDGFA_PDGFRA,Mesenchyme,PDGFA,PDGFRA,0.444,0.047
Mesenchyme,接收,1,DLK1_NOTCH3,Mesenchyme,NOTCH3,DLK1,1.255,0.027
Mesenchyme,接收,2,PPIA_BSG,Mesenchyme,BSG,PPIA,1.147,0.0
Mesenchyme,接收,3,COL18A1_integrin_a11b1_complex,Mesenchyme,integrin,COL18A1,0.779,0.0
Mesenchyme,接收,4,COL3A1_integrin_a11b1_complex,Mesenchyme,integrin,COL3A1,0.743,0.023
Mesenchyme,接收,5,LRFN4_PTPRF,Mesenchyme,PTPRF,LRFN4,0.675,0.0
Mesenchyme,接收,6,LRRC4C_PTPRF,Mesenchyme,PTPRF,LRRC4C,0.653,0.0
Mesenchyme,接收,7,COL1A2_integrin_a11b1_complex,Mesenchyme,integrin,COL1A2,0.569,0.001
Mesenchyme,接收,8,AGRN_PTPRS,Mesenchyme,PTPRS,AGRN,0.547,0.002
Mesenchyme,接收,9,APP_FPR2,Mesenchyme,FPR2,APP,0.535,0.003
Mesenchyme,接收,10,PDGFA_PDGFRA,Mesenchyme,PDGFRA,PDGFA,0.444,0.047
Mesenchyme_1_95_Target,发送,1,AGRN_PTPRS,Mesenchyme,AGRN,PTPRS,0.758,0.024
Mesenchyme_1_95_Target,发送,2,DAG1_NRXN3,Mesenchyme,DAG1,NRXN3,0.726,0.002
Mesenchyme_1_95_Target,发送,3,LRFN4_PTPRS,Mesenchyme,LRFN4,PTPRS,0.609,0.042
Mesenchyme_1_95_Target,发送,4,NTN1_UNC5B,Mesenchyme,NTN1,UNC5B,0.534,0.013
Mesenchyme_1_95_Target,发送,5,LRPAP1_SORT1,Mesenchyme,LRPAP1,SORT1,0.501,0.016
Mesenchyme_1_95_Target,发送,6,CLSTN1_NRXN3,Mesenchyme,CLSTN1,NRXN3,0.496,0.002
Mesenchyme_1_95_Target,发送,7,CDH3_CDH3,Mesenchyme,CDH3,CDH3,0.487,0.047
Mesenchyme_1_95_Target,发送,8,NLGN1_NRXN3,Mesenchyme,NLGN1,NRXN3,0.479,0.004
Mesenchyme_1_95_Target,发送,9,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Mesenchyme,atRetinoicAcid,byALDH1A2,0.476,0.02
Mesenchyme_1_95_Target,发送,10,CLSTN2_NRXN3,Mesenchyme,CLSTN2,NRXN3,0.421,0.016
Mesenchyme_1_95_Target,接收,1,DLK1_NOTCH2,Mesenchyme,NOTCH2,DLK1,1.525,0.04
Mesenchyme_1_95_Target,接收,2,DLK1_NOTCH3,Mesenchyme,NOTCH3,DLK1,1.49,0.027
Mesenchyme_1_95_Target,接收,3,DLK1_NOTCH1,Mesenchyme,NOTCH1,DLK1,1.459,0.05
Mesenchyme_1_95_Target,接收,4,COL2A1_integrin_a11b1_complex,Mesenchyme,integrin,COL2A1,0.968,0.003
Mesenchyme_1_95_Target,接收,5,COL26A1_integrin_a11b1_complex,Mesenchyme,integrin,COL26A1,0.736,0.008
Mesenchyme_1_95_Target,接收,6,WNT16_SFRP1,Mesenchyme,SFRP1,WNT16,0.507,0.01
Mesenchyme_1_95_Target,接收,7,CDH3_CDH3,Mesenchyme,CDH3,CDH3,0.487,0.047
Mesenchyme_1_95_Target,接收,8,WNT16_SFRP2,Mesenchyme,SFRP2,WNT16,0.45,0.008
Mesenchyme_1_95_Target,接收,9,NRXN3_ADGRL1,Mesenchyme,ADGRL1,NRXN3,0.446,0.003
Mesenchyme_1_95_Target,接收,10,WNT16_FZD2_LRP5,Mesenchyme,FZD2,WNT16,0.432,0.014
Sclerotome,发送,1,IGF2_IGF2R,Mesenchyme,IGF2,IGF2R,1.692,0.0
Sclerotome,发送,2,IGF2_IGF1R,Mesenchyme,IGF2,IGF1R,1.618,0.001
Sclerotome,发送,3,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.337,0.011
