邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest_1_103_Target,155,73.686,0.4753935483870968,1.904,0.127
Neural crest,157,72.87400000000001,0.46416560509554144,1.912,0.119
Branchial arch,118,58.85299999999998,0.49875423728813545,2.113,0.13
Notochord,94,55.85099999999998,0.5941595744680849,1.977,0.115
Heart,74,47.805,0.6460135135135135,2.597,0.245
Brain,96,46.036,0.4795416666666667,1.762,0.107
Sclerotome,94,45.61999999999999,0.4853191489361701,1.878,0.122
AGM,67,40.635,0.6064925373134328,1.94,0.172
Liver,31,20.553000000000004,0.6630000000000001,2.003,0.205
Mesenchyme,36,18.600999999999996,0.5166944444444443,1.808,0.141
Dermomyotome,12,10.241,0.8534166666666666,2.142,0.363
Cavity,11,7.872000000000001,0.7156363636363637,1.135,0.417
