邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,93,74.975,0.8061827956989247,2.053,0.22
Neural crest,157,72.87400000000001,0.46416560509554144,1.912,0.119
Neural crest_1_103_Target,130,61.43400000000002,0.4725692307692309,1.786,0.102
Branchial arch,117,55.888999999999974,0.47768376068376045,1.964,0.1
Sclerotome,109,55.405,0.508302752293578,1.182,0.122
AGM,107,48.559000000000005,0.4538224299065421,1.112,0.134
Notochord,78,43.15400000000002,0.5532564102564105,1.218,0.161
Mesenchyme,83,37.416000000000004,0.4507951807228916,1.095,0.172
Brain,98,36.020999999999994,0.36756122448979583,1.149,0.107
Liver,58,24.831,0.4281206896551724,1.36,0.146
Dermomyotome,26,24.656999999999996,0.9483461538461537,1.451,0.5
Cavity,2,0.9269999999999999,0.46349999999999997,0.563,0.364
