邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,MDK_PTPRZ1,Neural crest,MDK,PTPRZ1,1.183,0.0
Brain,发送,2,IGF2_IGF1R,Neural crest,IGF2,IGF1R,1.132,0.0
Brain,发送,3,IGF2_IGF2R,Neural crest,IGF2,IGF2R,1.062,0.0
Brain,发送,4,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,1.018,0.0
Brain,发送,5,COL3A1_integrin_a1b1_complex,Neural crest,COL3A1,integrin,0.871,0.0
Brain,发送,6,COL3A1_integrin_a11b1_complex,Neural crest,COL3A1,integrin,0.871,0.0
Brain,发送,7,DLK1_NOTCH1,Neural crest,DLK1,NOTCH1,0.775,0.0
Brain,发送,8,COL4A1_integrin_a11b1_complex,Neural crest,COL4A1,integrin,0.758,0.0
Brain,发送,9,COL4A1_integrin_a1b1_complex,Neural crest,COL4A1,integrin,0.757,0.0
Brain,发送,10,CADM1_CADM1,Neural crest,CADM1,CADM1,0.734,0.0
Brain,接收,1,PPIA_BSG,Neural crest,BSG,PPIA,1.157,0.0
Brain,接收,2,DLK1_NOTCH2,Neural crest,NOTCH2,DLK1,0.748,0.001
Brain,接收,3,CADM1_CADM1,Neural crest,CADM1,CADM1,0.734,0.0
Brain,接收,4,DLK1_NOTCH3,Neural crest,NOTCH3,DLK1,0.661,0.03
Brain,接收,5,Cholesterol_byDHCR24_RORA,Neural crest,byDHCR24,Cholesterol,0.634,0.001
Brain,接收,6,CDH2_CDH2,Neural crest,CDH2,CDH2,0.627,0.001
Brain,接收,7,EFNA5_EPHA7,Neural crest,EPHA7,EFNA5,0.521,0.019
Brain,接收,8,JAM3_JAM3,Neural crest,JAM3,JAM3,0.511,0.002
Brain,接收,9,WNT7B_SFRP1,Neural crest,SFRP1,WNT7B,0.473,0.0
Brain,接收,10,GJC1_GJC1,Neural crest,GJC1,GJC1,0.457,0.033
Branchial arch,发送,1,IGF2_IGF1R,Neural crest,IGF2,IGF1R,1.491,0.0
Branchial arch,发送,2,IGF2_IGF2R,Neural crest,IGF2,IGF2R,1.328,0.0
Branchial arch,发送,3,FTL_SCARA5,Neural crest,FTL,SCARA5,1.234,0.005
Branchial arch,发送,4,LRFN4_PTPRF,Neural crest,LRFN4,PTPRF,1.181,0.0
Branchial arch,发送,5,LRRC4C_PTPRF,Neural crest,LRRC4C,PTPRF,1.155,0.0
Branchial arch,发送,6,COL3A1_integrin_a11b1_complex,Neural crest,COL3A1,integrin,0.942,0.0
Branchial arch,发送,7,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,0.938,0.044
Branchial arch,发送,8,DLK1_NOTCH3,Neural crest,DLK1,NOTCH3,0.929,0.0
Branchial arch,发送,9,COL4A1_integrin_a11b1_complex,Neural crest,COL4A1,integrin,0.828,0.002
Branchial arch,发送,10,FN1_integrin_aVb1_complex,Neural crest,FN1,integrin,0.822,0.043
Branchial arch,接收,1,IGF2_IGF1R,Neural crest,IGF1R,IGF2,1.707,0.0
Branchial arch,接收,2,IGF2_IGF2R,Neural crest,IGF2R,IGF2,1.698,0.0
Branchial arch,接收,3,DLK1_NOTCH2,Neural crest,NOTCH2,DLK1,1.193,0.0
Branchial arch,接收,4,DLK1_NOTCH1,Neural crest,NOTCH1,DLK1,1.155,0.001
Branchial arch,接收,5,COL2A1_integrin_a1b1_complex,Neural crest,integrin,COL2A1,1.153,0.0
Branchial arch,接收,6,COL2A1_integrin_a11b1_complex,Neural crest,integrin,COL2A1,1.136,0.0
Branchial arch,接收,7,DLK1_NOTCH3,Neural crest,NOTCH3,DLK1,1.107,0.0
Branchial arch,接收,8,COL18A1_integrin_a1b1_complex,Neural crest,integrin,COL18A1,1.103,0.0
Branchial arch,接收,9,COL18A1_integrin_a11b1_complex,Neural crest,integrin,COL18A1,1.086,0.0
Branchial arch,接收,10,FGF1_FGFR2,Neural crest,FGFR2,FGF1,1.082,0.028
Cavity,发送,1,IGF2_IGF2R,Neural crest,IGF2,IGF2R,1.0,0.01
Cavity,发送,2,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,0.92,0.0
Cavity,发送,3,FN1_integrin_a3b1_complex,Neural crest,FN1,integrin,0.634,0.036
Cavity,发送,4,APP_TNFRSF21,Neural crest,APP,TNFRSF21,0.523,0.007
Cavity,发送,5,SEMA3C_NRP2,Neural crest,SEMA3C,NRP2,0.205,0.044
Neural crest,发送,1,IGF2_IGF1R,Neural crest,IGF2,IGF1R,1.152,0.0
Neural crest,发送,2,IGF2_IGF2R,Neural crest,IGF2,IGF2R,1.143,0.0
Neural crest,发送,3,COL3A1_integrin_a1b1_complex,Neural crest,COL3A1,integrin,0.908,0.0
Neural crest,发送,4,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,0.903,0.0
Neural crest,发送,5,COL3A1_integrin_a11b1_complex,Neural crest,COL3A1,integrin,0.891,0.0
Neural crest,发送,6,COL4A1_integrin_a1b1_complex,Neural crest,COL4A1,integrin,0.794,0.0
Neural crest,发送,7,COL4A1_integrin_a11b1_complex,Neural crest,COL4A1,integrin,0.777,0.0
Neural crest,发送,8,CADM1_CADM1,Neural crest,CADM1,CADM1,0.766,0.007
Neural crest,发送,9,MPZL1_MPZL1,Neural crest,MPZL1,MPZL1,0.741,0.0
Neural crest,发送,10,FN1_integrin_aVb1_complex,Neural crest,FN1,integrin,0.74,0.0
Neural crest,接收,1,IGF2_IGF1R,Neural crest,IGF1R,IGF2,1.152,0.0
Neural crest,接收,2,IGF2_IGF2R,Neural crest,IGF2R,IGF2,1.143,0.0
Neural crest,接收,3,COL3A1_integrin_a1b1_complex,Neural crest,integrin,COL3A1,0.908,0.0
Neural crest,接收,4,COL3A1_ADGRG1,Neural crest,ADGRG1,COL3A1,0.903,0.0
Neural crest,接收,5,COL3A1_integrin_a11b1_complex,Neural crest,integrin,COL3A1,0.891,0.0
Neural crest,接收,6,COL4A1_integrin_a1b1_complex,Neural crest,integrin,COL4A1,0.794,0.0
Neural crest,接收,7,COL4A1_integrin_a11b1_complex,Neural crest,integrin,COL4A1,0.777,0.0
Neural crest,接收,8,CADM1_CADM1,Neural crest,CADM1,CADM1,0.766,0.007
Neural crest,接收,9,MPZL1_MPZL1,Neural crest,MPZL1,MPZL1,0.741,0.0
Neural crest,接收,10,FN1_integrin_aVb1_complex,Neural crest,integrin,FN1,0.74,0.0
Neural crest_1_28_Target,发送,1,IGF2_IGF2R,Neural crest,IGF2,IGF2R,1.17,0.0
Neural crest_1_28_Target,发送,2,IGF2_IGF1R,Neural crest,IGF2,IGF1R,1.076,0.001
Neural crest_1_28_Target,发送,3,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,0.935,0.0
Neural crest_1_28_Target,发送,4,COL3A1_integrin_a1b1_complex,Neural crest,COL3A1,integrin,0.908,0.0
Neural crest_1_28_Target,发送,5,COL3A1_integrin_a11b1_complex,Neural crest,COL3A1,integrin,0.902,0.0
Neural crest_1_28_Target,发送,6,COL3A1_integrin_a2b1_complex,Neural crest,COL3A1,integrin,0.861,0.0
Neural crest_1_28_Target,发送,7,MPZL1_MPZL1,Neural crest,MPZL1,MPZL1,0.828,0.0
Neural crest_1_28_Target,发送,8,COL4A1_integrin_a1b1_complex,Neural crest,COL4A1,integrin,0.794,0.0
Neural crest_1_28_Target,发送,9,COL4A1_integrin_a11b1_complex,Neural crest,COL4A1,integrin,0.788,0.0
Neural crest_1_28_Target,发送,10,EFNA5_EPHA7,Neural crest,EFNA5,EPHA7,0.784,0.0
Neural crest_1_28_Target,接收,1,IGF2_IGF1R,Neural crest,IGF1R,IGF2,1.203,0.0
Neural crest_1_28_Target,接收,2,IGF2_IGF2R,Neural crest,IGF2R,IGF2,1.194,0.0
Neural crest_1_28_Target,接收,3,COL3A1_integrin_a1b1_complex,Neural crest,integrin,COL3A1,1.077,0.0
Neural crest_1_28_Target,接收,4,COL3A1_ADGRG1,Neural crest,ADGRG1,COL3A1,1.072,0.0
Neural crest_1_28_Target,接收,5,COL3A1_integrin_a11b1_complex,Neural crest,integrin,COL3A1,1.06,0.0
Neural crest_1_28_Target,接收,6,COL4A1_integrin_a1b1_complex,Neural crest,integrin,COL4A1,1.025,0.0
Neural crest_1_28_Target,接收,7,COL4A1_integrin_a11b1_complex,Neural crest,integrin,COL4A1,1.008,0.0
Neural crest_1_28_Target,接收,8,MPZL1_MPZL1,Neural crest,MPZL1,MPZL1,0.828,0.0
Neural crest_1_28_Target,接收,9,COL18A1_integrin_a1b1_complex,Neural crest,integrin,COL18A1,0.663,0.025
Neural crest_1_28_Target,接收,10,Cholesterol_byDHCR24_RORA,Neural crest,byDHCR24,Cholesterol,0.66,0.043
Notochord,发送,1,IGF2_IGF1R,Neural crest,IGF2,IGF1R,1.38,0.0
Notochord,发送,2,CADM1_NECTIN3,Neural crest,CADM1,NECTIN3,1.074,0.0
Notochord,发送,3,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,1.01,0.0
Notochord,发送,4,COL3A1_integrin_a1b1_complex,Neural crest,COL3A1,integrin,0.944,0.0
Notochord,发送,5,NECTIN2_NECTIN3,Neural crest,NECTIN2,NECTIN3,0.929,0.0
Notochord,发送,6,FN1_integrin_aVb1_complex,Neural crest,FN1,integrin,0.917,0.0
Notochord,发送,7,COL3A1_integrin_a11b1_complex,Neural crest,COL3A1,integrin,0.898,0.0
Notochord,发送,8,DLK1_NOTCH2,Neural crest,DLK1,NOTCH2,0.86,0.0
Notochord,发送,9,COL4A1_integrin_a1b1_complex,Neural crest,COL4A1,integrin,0.83,0.0
Notochord,发送,10,FLRT2_ADGRL3,Neural crest,FLRT2,ADGRL3,0.798,0.0
Notochord,接收,1,SLIT2_ROBO1,Neural crest,ROBO1,SLIT2,1.404,0.0
Notochord,接收,2,SLIT2_ROBO2,Neural crest,ROBO2,SLIT2,1.363,0.0
Notochord,接收,3,SHH_PTCH_GAS1_transmembrane_receptor,Neural crest,PTCH,SHH,1.184,0.0
Notochord,接收,4,SHH_PTCH_CDON_transmembrane_receptor,Neural crest,PTCH,SHH,1.064,0.0
Notochord,接收,5,SHH_PTCH_BOC_transmembrane_receptor,Neural crest,PTCH,SHH,0.947,0.0
Notochord,接收,6,COL3A1_integrin_a1b1_complex,Neural crest,integrin,COL3A1,0.859,0.039
Notochord,接收,7,COL3A1_integrin_a11b1_complex,Neural crest,integrin,COL3A1,0.842,0.043
Notochord,接收,8,COL4A1_integrin_a1b1_complex,Neural crest,integrin,COL4A1,0.794,0.02
Notochord,接收,9,CDH6_CDH6,Neural crest,CDH6,CDH6,0.793,0.0
Notochord,接收,10,NTN1_UNC5C,Neural crest,UNC5C,NTN1,0.79,0.0
Sclerotome,发送,1,MDK_ALK,Neural crest,MDK,ALK,1.318,0.012
Sclerotome,发送,2,APP_SORL1,Neural crest,APP,SORL1,1.04,0.016
Sclerotome,发送,3,SEMA3E_PLXND1,Neural crest,SEMA3E,PLXND1,0.829,0.046
Sclerotome,发送,4,WNT5A_ROR1,Neural crest,WNT5A,ROR1,0.785,0.048
Sclerotome,发送,5,IGFBP3_TMEM219,Neural crest,IGFBP3,TMEM219,0.613,0.047
Sclerotome,发送,6,PTN_ALK,Neural crest,PTN,ALK,0.606,0.015
Sclerotome,发送,7,WNT5A_FZD8_LRP5,Neural crest,WNT5A,FZD8,0.568,0.011
Sclerotome,发送,8,WNT5A_FZD7_LRP5,Neural crest,WNT5A,FZD7,0.568,0.017
Sclerotome,发送,9,SEMA3A_NRP1,Neural crest,SEMA3A,NRP1,0.567,0.044
Sclerotome,发送,10,SEMA3A_PlexinA1_complex3,Neural crest,SEMA3A,PlexinA1,0.567,0.012
Sclerotome,接收,1,IGF2_IGF1R,Neural crest,IGF1R,IGF2,1.871,0.008
Sclerotome,接收,2,IGF2_IGF2R,Neural crest,IGF2R,IGF2,1.862,0.006
Sclerotome,接收,3,DLK1_NOTCH2,Neural crest,NOTCH2,DLK1,1.705,0.01
Sclerotome,接收,4,DLK1_NOTCH1,Neural crest,NOTCH1,DLK1,1.666,0.017
Sclerotome,接收,5,DLK1_NOTCH3,Neural crest,NOTCH3,DLK1,1.618,0.013
Sclerotome,接收,6,FGF2_FGFR2,Neural crest,FGFR2,FGF2,1.428,0.028
Sclerotome,接收,7,EFNA5_EPHA7,Neural crest,EPHA7,EFNA5,1.317,0.002
Sclerotome,接收,8,FN1_integrin_aVb1_complex,Neural crest,integrin,FN1,1.231,0.048
Sclerotome,接收,9,FN1_integrin_aVb5_complex,Neural crest,integrin,FN1,1.218,0.047
Sclerotome,接收,10,EFNA5_EPHA4,Neural crest,EPHA4,EFNA5,1.182,0.011
