邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,125,125,250,54.074999999999996,54.074999999999996,108.14999999999999,0.4326,0.4326,0.4326
Heart,88,134,222,43.58099999999999,60.981,104.56199999999998,0.49523863636363624,0.45508208955223883,0.4709999999999999
Notochord,99,96,195,54.09800000000003,44.022,98.12000000000003,0.5464444444444447,0.4585625,0.5031794871794874
Branchial arch,111,104,215,49.96700000000002,47.61399999999999,97.58100000000002,0.45015315315315335,0.45782692307692296,0.45386511627906984
Neural crest_1_69_Target,88,82,170,44.67099999999999,42.681999999999995,87.35299999999998,0.5076249999999999,0.5205121951219511,0.5138411764705881
AGM,75,123,198,40.478,45.82100000000001,86.299,0.5397066666666667,0.3725284552845529,0.4358535353535354
Brain,100,87,187,49.94100000000001,29.449,79.39000000000001,0.4994100000000001,0.3384942528735632,0.4245454545454546
Sclerotome,74,87,161,34.22600000000001,41.76400000000001,75.99000000000002,0.4625135135135137,0.4800459770114944,0.4719875776397517
Liver,29,57,86,15.017000000000001,21.991000000000003,37.008,0.5178275862068966,0.3858070175438597,0.4303255813953489
Cavity,25,5,30,13.322000000000001,1.8760000000000001,15.198,0.53288,0.37520000000000003,0.5066
