邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,MDK_PTPRZ1,Neural crest,MDK,PTPRZ1,1.329,0.0
Brain,发送,2,DLK1_NOTCH1,Neural crest,DLK1,NOTCH1,0.904,0.0
Brain,发送,3,WNT5A_SFRP1,Neural crest,WNT5A,SFRP1,0.848,0.0
Brain,发送,4,COL1A2_integrin_a11b1_complex,Neural crest,COL1A2,integrin,0.826,0.0
Brain,发送,5,TENM3_ADGRL2,Neural crest,TENM3,ADGRL2,0.812,0.0
Brain,发送,6,CADM1_NECTIN3,Neural crest,CADM1,NECTIN3,0.797,0.0
Brain,发送,7,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,0.796,0.0
Brain,发送,8,COL2A1_integrin_a11b1_complex,Neural crest,COL2A1,integrin,0.784,0.0
Brain,发送,9,CADM1_CADM1,Neural crest,CADM1,CADM1,0.779,0.0
Brain,发送,10,IGF2_IGF1R,Neural crest,IGF2,IGF1R,0.778,0.0
Brain,接收,1,PPIA_BSG,Neural crest,BSG,PPIA,1.178,0.001
Brain,接收,2,DLK1_NOTCH2,Neural crest,NOTCH2,DLK1,0.843,0.012
Brain,接收,3,CADM1_CADM1,Neural crest,CADM1,CADM1,0.779,0.0
Brain,接收,4,FN1_integrin_aVb5_complex,Neural crest,integrin,FN1,0.754,0.035
Brain,接收,5,FN1_integrin_a8b1_complex,Neural crest,integrin,FN1,0.724,0.002
Brain,接收,6,LRRC4C_PTPRF,Neural crest,PTPRF,LRRC4C,0.704,0.013
Brain,接收,7,Cholesterol_byDHCR24_RORA,Neural crest,byDHCR24,Cholesterol,0.667,0.0
Brain,接收,8,MPZL1_MPZL1,Neural crest,MPZL1,MPZL1,0.63,0.025
Brain,接收,9,CDH2_CDH2,Neural crest,CDH2,CDH2,0.613,0.022
Brain,接收,10,EFNB1_EPHA4,Neural crest,EPHA4,EFNB1,0.566,0.0
Cavity,发送,1,EFNA5_EPHA7,Neural crest,EFNA5,EPHA7,0.573,0.048
Cavity,发送,2,TENM3_ADGRL1,Neural crest,TENM3,ADGRL1,0.473,0.013
Cavity,发送,3,CXCL12_CXCR4,Neural crest,CXCL12,CXCR4,0.451,0.0
Cavity,发送,4,EFNA4_EPHA7,Neural crest,EFNA4,EPHA7,0.339,0.043
Cavity,发送,5,FLRT2_ADGRL1,Neural crest,FLRT2,ADGRL1,0.308,0.032
Cavity,接收,1,JAG1_NOTCH2,Neural crest,NOTCH2,JAG1,0.385,0.009
Cavity,接收,2,NRG2_ERBB3,Neural crest,ERBB3,NRG2,0.231,0.0
Cavity,接收,3,JAG1_VASN,Neural crest,VASN,JAG1,0.227,0.027
Neural crest,发送,1,IGF2_IGF2R,Neural crest,IGF2,IGF2R,0.899,0.0
Neural crest,发送,2,IGF2_IGF1R,Neural crest,IGF2,IGF1R,0.871,0.0
Neural crest,发送,3,DLK1_NOTCH2,Neural crest,DLK1,NOTCH2,0.866,0.001
Neural crest,发送,4,CADM1_CADM1,Neural crest,CADM1,CADM1,0.863,0.0
Neural crest,发送,5,FN1_integrin_aVb1_complex,Neural crest,FN1,integrin,0.837,0.003
Neural crest,发送,6,COL1A2_integrin_a1b1_complex,Neural crest,COL1A2,integrin,0.831,0.0
Neural crest,发送,7,COL1A2_integrin_a11b1_complex,Neural crest,COL1A2,integrin,0.825,0.0
Neural crest,发送,8,FN1_integrin_aVb5_complex,Neural crest,FN1,integrin,0.797,0.001
Neural crest,发送,9,COL2A1_integrin_a1b1_complex,Neural crest,COL2A1,integrin,0.789,0.0
Neural crest,发送,10,TENM3_ADGRL2,Neural crest,TENM3,ADGRL2,0.786,0.001
Neural crest,接收,1,IGF2_IGF2R,Neural crest,IGF2R,IGF2,0.899,0.0
Neural crest,接收,2,IGF2_IGF1R,Neural crest,IGF1R,IGF2,0.871,0.0
Neural crest,接收,3,DLK1_NOTCH2,Neural crest,NOTCH2,DLK1,0.866,0.001
Neural crest,接收,4,CADM1_CADM1,Neural crest,CADM1,CADM1,0.863,0.0
Neural crest,接收,5,FN1_integrin_aVb1_complex,Neural crest,integrin,FN1,0.837,0.003
Neural crest,接收,6,COL1A2_integrin_a1b1_complex,Neural crest,integrin,COL1A2,0.831,0.0
Neural crest,接收,7,COL1A2_integrin_a11b1_complex,Neural crest,integrin,COL1A2,0.825,0.0
Neural crest,接收,8,FN1_integrin_aVb5_complex,Neural crest,integrin,FN1,0.797,0.001
Neural crest,接收,9,COL2A1_integrin_a1b1_complex,Neural crest,integrin,COL2A1,0.789,0.0
Neural crest,接收,10,TENM3_ADGRL2,Neural crest,ADGRL2,TENM3,0.786,0.001
Neural crest_1_9_Target,发送,1,DLK1_NOTCH2,Neural crest,DLK1,NOTCH2,0.907,0.009
Neural crest_1_9_Target,发送,2,TENM3_ADGRL2,Neural crest,TENM3,ADGRL2,0.808,0.04
Neural crest_1_9_Target,发送,3,IGF2_IGF1R,Neural crest,IGF2,IGF1R,0.807,0.012
Neural crest_1_9_Target,发送,4,FN1_integrin_aVb5_complex,Neural crest,FN1,integrin,0.772,0.047
Neural crest_1_9_Target,发送,5,COL3A1_ADGRG1,Neural crest,COL3A1,ADGRG1,0.768,0.015
Neural crest_1_9_Target,发送,6,FN1_integrin_a3b1_complex,Neural crest,FN1,integrin,0.744,0.014
