邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,NTN1_UNC5B,Notochord,NTN1,UNC5B,1.17,0.001
AGM,发送,2,FN1_integrin_aVb1_complex,Notochord,FN1,integrin,1.064,0.046
AGM,发送,3,FN1_integrin_aVb5_complex,Notochord,FN1,integrin,1.064,0.004
AGM,发送,4,FN1_integrin_aVb3_complex,Notochord,FN1,integrin,0.977,0.0
AGM,发送,5,APP_FPR2,Notochord,APP,FPR2,0.958,0.022
AGM,发送,6,VTN_integrin_aVb1_complex,Notochord,VTN,integrin,0.814,0.01
AGM,发送,7,CDH6_CDH6,Notochord,CDH6,CDH6,0.763,0.035
AGM,发送,8,VTN_integrin_aVb3_complex,Notochord,VTN,integrin,0.727,0.0
AGM,发送,9,VEGFB_NRP1,Notochord,VEGFB,NRP1,0.727,0.005
AGM,发送,10,VEGFA_NRP1,Notochord,VEGFA,NRP1,0.709,0.005
AGM,接收,1,IGF2_IGF1R,Notochord,IGF1R,IGF2,2.018,0.006
AGM,接收,2,IGF2_IGF2R,Notochord,IGF2R,IGF2,1.937,0.007
AGM,接收,3,COL3A1_ADGRG1,Notochord,ADGRG1,COL3A1,1.506,0.006
AGM,接收,4,COL3A1_integrin_a1b1_complex,Notochord,integrin,COL3A1,1.27,0.014
AGM,接收,5,COL3A1_integrin_a11b1_complex,Notochord,integrin,COL3A1,1.265,0.018
AGM,接收,6,WNT5A_SFRP1,Notochord,SFRP1,WNT5A,1.197,0.01
AGM,接收,7,LRFN4_PTPRF,Notochord,PTPRF,LRFN4,1.116,0.047
AGM,接收,8,NECTIN2_NECTIN3,Notochord,NECTIN3,NECTIN2,0.895,0.04
AGM,接收,9,JAG1_NOTCH1,Notochord,NOTCH1,JAG1,0.81,0.042
AGM,接收,10,CDH6_CDH6,Notochord,CDH6,CDH6,0.763,0.035
Brain,发送,1,NTN1_DCC,Notochord,NTN1,DCC,1.098,0.0
Brain,发送,2,SLIT2_ROBO1,Notochord,SLIT2,ROBO1,1.053,0.0
Brain,发送,3,2arachidonoylglycerol_byDAGLB_CNR1,Notochord,2arachidonoylglycerol,byDAGLB,0.976,0.0
Brain,发送,4,EFNB3_EPHA4,Notochord,EFNB3,EPHA4,0.917,0.0
Brain,发送,5,SHH_PTCH_GAS1_transmembrane_receptor,Notochord,SHH,PTCH,0.904,0.0
Brain,发送,6,CDH2_CDH2,Notochord,CDH2,CDH2,0.887,0.0
