邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,NTN1_DCC,Notochord,NTN1,DCC,1.11,0.0
Brain,发送,2,MDK_PTPRZ1,Notochord,MDK,PTPRZ1,1.08,0.0
Brain,发送,3,NTN1_UNC5C,Notochord,NTN1,UNC5C,0.938,0.0
Brain,发送,4,CDH2_CDH2,Notochord,CDH2,CDH2,0.906,0.0
Brain,发送,5,SLIT2_ROBO1,Notochord,SLIT2,ROBO1,0.904,0.0
Brain,发送,6,FN1_integrin_aVb1_complex,Notochord,FN1,integrin,0.864,0.0
Brain,发送,7,SHH_PTCH_CDON_transmembrane_receptor,Notochord,SHH,PTCH,0.828,0.0
Brain,发送,8,SHH_PTCH_GAS1_transmembrane_receptor,Notochord,SHH,PTCH,0.828,0.0
Brain,发送,9,FN1_integrin_aVb5_complex,Notochord,FN1,integrin,0.797,0.0
Brain,发送,10,EFNB3_EPHB2,Notochord,EFNB3,EPHB2,0.795,0.0
Brain,接收,1,PPIA_BSG,Notochord,BSG,PPIA,1.152,0.024
Brain,接收,2,MDK_PTPRZ1,Notochord,PTPRZ1,MDK,1.013,0.033
Brain,接收,3,WNT5A_SFRP1,Notochord,SFRP1,WNT5A,0.949,0.0
Brain,接收,4,CADM1_NECTIN3,Notochord,NECTIN3,CADM1,0.92,0.0
Brain,接收,5,CDH2_CDH2,Notochord,CDH2,CDH2,0.906,0.0
Brain,接收,6,LRRC4C_PTPRF,Notochord,PTPRF,LRRC4C,0.893,0.0
Brain,接收,7,LRFN4_PTPRF,Notochord,PTPRF,LRFN4,0.876,0.0
Brain,接收,8,TENM3_ADGRL2,Notochord,ADGRL2,TENM3,0.847,0.0
Brain,接收,9,CADM1_CADM1,Notochord,CADM1,CADM1,0.79,0.012
Brain,接收,10,WNT5B_SFRP1,Notochord,SFRP1,WNT5B,0.765,0.0
Branchial arch,发送,1,FN1_integrin_aVb1_complex,Notochord,FN1,integrin,1.223,0.0
Branchial arch,发送,2,LRRC4C_PTPRF,Notochord,LRRC4C,PTPRF,1.102,0.013
Branchial arch,发送,3,LRFN4_PTPRF,Notochord,LRFN4,PTPRF,1.1,0.014
Branchial arch,发送,4,NTN1_UNC5B,Notochord,NTN1,UNC5B,1.1,0.0
Branchial arch,发送,5,MDK_ALK,Notochord,MDK,ALK,1.078,0.022
Branchial arch,发送,6,FN1_integrin_a3b1_complex,Notochord,FN1,integrin,1.015,0.001
Branchial arch,发送,7,FN1_integrin_a4b1_complex,Notochord,FN1,integrin,0.896,0.004
Branchial arch,发送,8,FN1_integrin_a4b7_complex,Notochord,FN1,integrin,0.896,0.0
Branchial arch,发送,9,VTN_integrin_aVb1_complex,Notochord,VTN,integrin,0.867,0.0
Branchial arch,发送,10,NTN1_UNC5C,Notochord,NTN1,UNC5C,0.841,0.032
Branchial arch,接收,1,IGF2_IGF1R,Notochord,IGF1R,IGF2,1.787,0.0
Branchial arch,接收,2,IGF2_IGF2R,Notochord,IGF2R,IGF2,1.635,0.0
Branchial arch,接收,3,DLK1_NOTCH1,Notochord,NOTCH1,DLK1,1.445,0.0
Branchial arch,接收,4,COL2A1_integrin_a1b1_complex,Notochord,integrin,COL2A1,1.44,0.001
Branchial arch,接收,5,COL2A1_integrin_a11b1_complex,Notochord,integrin,COL2A1,1.415,0.001
Branchial arch,接收,6,MDK_PTPRZ1,Notochord,PTPRZ1,MDK,1.338,0.002
