邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,133,61.25800000000002,0.46058646616541365,1.146,0.125
Sclerotome,94,40.54599999999998,0.43134042553191465,1.147,0.12
AGM,66,34.413999999999994,0.5214242424242423,1.056,0.123
Dermomyotome,51,27.024,0.5298823529411765,1.167,0.196
Branchial arch,24,17.691,0.7371249999999999,1.171,0.418
Sclerotome_1_101_Target,29,16.091000000000005,0.5548620689655174,1.12,0.215
Mesenchyme,26,15.134000000000002,0.5820769230769232,1.102,0.162
Brain,17,15.063,0.8860588235294118,1.567,0.453
Liver,21,14.776999999999997,0.7036666666666666,1.323,0.353
Cavity,16,8.699,0.5436875,1.12,0.19
