邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,123,51.216,0.416390243902439,1.818,0.125
Dermomyotome,95,42.81099999999999,0.45064210526315784,1.886,0.107
Sclerotome,94,40.54599999999998,0.43134042553191465,1.147,0.12
AGM,98,35.58300000000001,0.36309183673469403,1.179,0.133
Liver,31,26.481,0.854225806451613,1.25,0.402
Mesenchyme,65,26.088000000000008,0.4013538461538463,1.213,0.109
Sclerotome_1_101_Target,52,24.356999999999992,0.468403846153846,1.023,0.097
Branchial arch,22,17.591,0.7995909090909091,1.533,0.399
Brain,16,17.357,1.0848125,1.465,0.435
Cavity,1,0.34,0.34,0.34,0.34
