邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,DLK1_NOTCH1,Sclerotome,DLK1,NOTCH1,1.056,0.0
AGM,发送,2,DLK1_NOTCH2,Sclerotome,DLK1,NOTCH2,1.051,0.002
AGM,发送,3,DLK1_NOTCH3,Sclerotome,DLK1,NOTCH3,1.045,0.0
AGM,发送,4,COL3A1_integrin_a1b1_complex,Sclerotome,COL3A1,integrin,1.04,0.015
AGM,发送,5,COL3A1_integrin_a11b1_complex,Sclerotome,COL3A1,integrin,1.033,0.004
AGM,发送,6,2arachidonoylglycerol_byDAGLB_CNR1,Sclerotome,2arachidonoylglycerol,byDAGLB,1.02,0.0
AGM,发送,7,TENM3_ADGRL2,Sclerotome,TENM3,ADGRL2,0.988,0.0
AGM,发送,8,FN1_integrin_a8b1_complex,Sclerotome,FN1,integrin,0.929,0.0
AGM,发送,9,FN1_integrin_a4b1_complex,Sclerotome,FN1,integrin,0.842,0.023
AGM,发送,10,FN1_integrin_a3b1_complex,Sclerotome,FN1,integrin,0.818,0.02
AGM,接收,1,PPIA_BSG,Sclerotome,BSG,PPIA,1.179,0.0
AGM,接收,2,FN1_integrin_aVb1_complex,Sclerotome,integrin,FN1,0.936,0.004
AGM,接收,3,FN1_integrin_aVb5_complex,Sclerotome,integrin,FN1,0.936,0.001
AGM,接收,4,FN1_integrin_a4b1_complex,Sclerotome,integrin,FN1,0.842,0.043
AGM,接收,5,FN1_integrin_a3b1_complex,Sclerotome,integrin,FN1,0.842,0.011
AGM,接收,6,FN1_integrin_a8b1_complex,Sclerotome,integrin,FN1,0.838,0.025
AGM,接收,7,PDGFC_PDGFRA,Sclerotome,PDGFRA,PDGFC,0.771,0.042
AGM,接收,8,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Sclerotome,byALDH1A2,atRetinoicAcid,0.637,0.0
AGM,接收,9,GJC1_GJC1,Sclerotome,GJC1,GJC1,0.574,0.001
AGM,接收,10,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Sclerotome,byALDH1A2,atRetinoicAcid,0.556,0.0
Brain,发送,1,2arachidonoylglycerol_byDAGLB_CNR1,Sclerotome,2arachidonoylglycerol,byDAGLB,1.567,0.004
Brain,发送,2,CADM1_CADM1,Sclerotome,CADM1,CADM1,1.465,0.007
Brain,发送,3,SLIT2_ROBO2,Sclerotome,SLIT2,ROBO2,1.362,0.004
Brain,发送,4,FN1_integrin_aVb5_complex,Sclerotome,FN1,integrin,1.128,0.03
Brain,发送,5,APP_PLXNA4,Sclerotome,APP,PLXNA4,1.116,0.008
Brain,发送,6,APLP2_PLXNA4,Sclerotome,APLP2,PLXNA4,1.072,0.009
Brain,发送,7,WNT5A_SFRP1,Sclerotome,WNT5A,SFRP1,1.052,0.028
Brain,发送,8,WNT5B_SFRP1,Sclerotome,WNT5B,SFRP1,0.954,0.028
Brain,发送,9,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Sclerotome,atRetinoicAcid,byALDH1A2,0.884,0.032
Brain,发送,10,Glutamate_byGLS_and_SLC1A3_GRIK2,Sclerotome,Glutamate,byGLS,0.784,0.021
Brain,接收,1,CADM1_CADM1,Sclerotome,CADM1,CADM1,1.465,0.007
Brain,接收,2,CADM1_NECTIN3,Sclerotome,NECTIN3,CADM1,1.431,0.009
Brain,接收,3,DLL3_NOTCH1,Sclerotome,NOTCH1,DLL3,1.367,0.0
Brain,接收,4,DLL3_NOTCH2,Sclerotome,NOTCH2,DLL3,1.36,0.0
Brain,接收,5,APP_FPR2,Sclerotome,FPR2,APP,1.29,0.013
Brain,接收,6,APP_SORL1,Sclerotome,SORL1,APP,1.239,0.006
Brain,接收,7,DLL3_NOTCH3,Sclerotome,NOTCH3,DLL3,1.238,0.002
Brain,接收,8,APP_TNFRSF21,Sclerotome,TNFRSF21,APP,1.221,0.009
Brain,接收,9,SLIT2_ROBO1,Sclerotome,ROBO1,SLIT2,1.178,0.02
Brain,接收,10,APP_PLXNA4,Sclerotome,PLXNA4,APP,1.158,0.013
Branchial arch,发送,1,LRFN4_PTPRF,Sclerotome,LRFN4,PTPRF,1.171,0.034
Branchial arch,发送,2,APP_SORL1,Sclerotome,APP,SORL1,1.144,0.009
Branchial arch,发送,3,NCAM1_AGRN,Sclerotome,NCAM1,AGRN,1.056,0.033
Branchial arch,发送,4,APP_FPR2,Sclerotome,APP,FPR2,1.034,0.05
Branchial arch,发送,5,WNT5A_FZD4_LRP6,Sclerotome,WNT5A,FZD4,0.964,0.002
Branchial arch,发送,6,WNT5B_FZD4_LRP6,Sclerotome,WNT5B,FZD4,0.867,0.001
Branchial arch,发送,7,PTPRS_NTRK3,Sclerotome,PTPRS,NTRK3,0.855,0.02
Branchial arch,发送,8,WNT5A_FZD3_LRP6,Sclerotome,WNT5A,FZD3,0.854,0.015
Branchial arch,发送,9,WNT5B_FZD3_LRP6,Sclerotome,WNT5B,FZD3,0.757,0.015
Branchial arch,发送,10,WNT5A_FZD7_LRP6,Sclerotome,WNT5A,FZD7,0.713,0.015
Branchial arch,接收,1,PPIA_BSG,Sclerotome,BSG,PPIA,1.533,0.03
Branchial arch,接收,2,AGRN_PTPRS,Sclerotome,PTPRS,AGRN,1.197,0.032
Branchial arch,接收,3,COL4A2_ADGRG6,Sclerotome,ADGRG6,COL4A2,1.025,0.037
Branchial arch,接收,4,EFNB1_EPHB4,Sclerotome,EPHB4,EFNB1,0.97,0.048
Branchial arch,接收,5,EFNB1_EPHA4,Sclerotome,EPHA4,EFNB1,0.965,0.044
Branchial arch,接收,6,EFNB1_EPHB2,Sclerotome,EPHB2,EFNB1,0.939,0.047
Branchial arch,接收,7,SEMA4D_PLXNB2,Sclerotome,PLXNB2,SEMA4D,0.937,0.003
Branchial arch,接收,8,EFNB1_EPHB3,Sclerotome,EPHB3,EFNB1,0.936,0.046
Branchial arch,接收,9,SEMA3C_NRP2,Sclerotome,NRP2,SEMA3C,0.88,0.035
Branchial arch,接收,10,SHH_PTCH_GAS1_transmembrane_receptor,Sclerotome,PTCH,SHH,0.869,0.01
Cavity,发送,1,COL3A1_integrin_a1b1_complex,Sclerotome,COL3A1,integrin,1.12,0.002
Cavity,发送,2,COL3A1_ADGRG1,Sclerotome,COL3A1,ADGRG1,1.022,0.011
Cavity,发送,3,COL2A1_integrin_a1b1_complex,Sclerotome,COL2A1,integrin,0.834,0.022
Cavity,发送,4,FN1_integrin_aVb3_complex,Sclerotome,FN1,integrin,0.771,0.002
Cavity,发送,5,COL1A2_integrin_a1b1_complex,Sclerotome,COL1A2,integrin,0.631,0.019
Cavity,发送,6,TENM3_ADGRL1,Sclerotome,TENM3,ADGRL1,0.6,0.048
Cavity,发送,7,COL26A1_integrin_a1b1_complex,Sclerotome,COL26A1,integrin,0.59,0.0
Cavity,发送,8,MMP2_integrin_aVb3_complex,Sclerotome,MMP2,integrin,0.462,0.0
Cavity,发送,9,COL19A1_integrin_a1b1_complex,Sclerotome,COL19A1,integrin,0.456,0.03
Cavity,发送,10,COL5A1_integrin_a1b1_complex,Sclerotome,COL5A1,integrin,0.412,0.01
