邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,133,123,256,61.25800000000002,51.216,112.47400000000002,0.46058646616541365,0.416390243902439,0.43935156250000007
Sclerotome,94,94,188,40.54599999999998,40.54599999999998,81.09199999999996,0.43134042553191465,0.43134042553191465,0.43134042553191465
AGM,66,98,164,34.413999999999994,35.58300000000001,69.99700000000001,0.5214242424242423,0.36309183673469403,0.42681097560975617
Dermomyotome,51,95,146,27.024,42.81099999999999,69.835,0.5298823529411765,0.45064210526315784,0.47832191780821914
Liver,21,31,52,14.776999999999997,26.481,41.257999999999996,0.7036666666666666,0.854225806451613,0.7934230769230768
Mesenchyme,26,65,91,15.134000000000002,26.088000000000008,41.22200000000001,0.5820769230769232,0.4013538461538463,0.45298901098901106
Sclerotome_1_101_Target,29,52,81,16.091000000000005,24.356999999999992,40.44799999999999,0.5548620689655174,0.468403846153846,0.4993580246913579
Branchial arch,24,22,46,17.691,17.591,35.282,0.7371249999999999,0.7995909090909091,0.7669999999999999
Brain,17,16,33,15.063,17.357,32.42,0.8860588235294118,1.0848125,0.9824242424242424
Cavity,16,1,17,8.699,0.34,9.039,0.5436875,0.34,0.5317058823529411
