邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,COL3A1_integrin_a11b1_complex,Sclerotome,COL3A1,integrin,1.069,0.0
AGM,发送,2,COL3A1_ADGRG1,Sclerotome,COL3A1,ADGRG1,1.052,0.0
AGM,发送,3,2arachidonoylglycerol_byDAGLB_CNR1,Sclerotome,2arachidonoylglycerol,byDAGLB,0.987,0.001
AGM,发送,4,FN1_integrin_aVb1_complex,Sclerotome,FN1,integrin,0.916,0.0
AGM,发送,5,MPZL1_MPZL1,Sclerotome,MPZL1,MPZL1,0.887,0.008
AGM,发送,6,TENM3_ADGRL2,Sclerotome,TENM3,ADGRL2,0.869,0.0
AGM,发送,7,FN1_integrin_a8b1_complex,Sclerotome,FN1,integrin,0.865,0.0
AGM,发送,8,FN1_integrin_a3b1_complex,Sclerotome,FN1,integrin,0.837,0.0
AGM,发送,9,FN1_integrin_a4b1_complex,Sclerotome,FN1,integrin,0.827,0.0
AGM,发送,10,COL2A1_integrin_a11b1_complex,Sclerotome,COL2A1,integrin,0.816,0.0
AGM,接收,1,PPIA_BSG,Sclerotome,BSG,PPIA,1.225,0.0
AGM,接收,2,FGF10_FGFR2,Sclerotome,FGFR2,FGF10,1.159,0.0
AGM,接收,3,MPZL1_MPZL1,Sclerotome,MPZL1,MPZL1,0.887,0.008
AGM,接收,4,EFNA5_EPHA7,Sclerotome,EPHA7,EFNA5,0.676,0.0
AGM,接收,5,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Sclerotome,byALDH1A2,atRetinoicAcid,0.637,0.0
AGM,接收,6,GJC1_GJC1,Sclerotome,GJC1,GJC1,0.549,0.001
AGM,接收,7,EFNA5_EPHA3,Sclerotome,EPHA3,EFNA5,0.547,0.0
AGM,接收,8,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Sclerotome,byALDH1A2,atRetinoicAcid,0.539,0.0
AGM,接收,9,LRFN4_PTPRD,Sclerotome,PTPRD,LRFN4,0.539,0.012
AGM,接收,10,EFNA5_EPHA4,Sclerotome,EPHA4,EFNA5,0.526,0.001
Brain,发送,1,2arachidonoylglycerol_byDAGLB_CNR1,Sclerotome,2arachidonoylglycerol,byDAGLB,1.553,0.002
Brain,发送,2,CADM1_CADM1,Sclerotome,CADM1,CADM1,1.444,0.033
Brain,发送,3,SLIT2_ROBO2,Sclerotome,SLIT2,ROBO2,1.338,0.003
Brain,发送,4,FN1_integrin_aVb5_complex,Sclerotome,FN1,integrin,1.142,0.019
Brain,发送,5,APP_PLXNA4,Sclerotome,APP,PLXNA4,1.124,0.003
Brain,发送,6,APLP2_PLXNA4,Sclerotome,APLP2,PLXNA4,1.095,0.004
