cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,35,133.9,183.3,12.6,5.07
Brain,single_cluster,227,143.3,202.4,9.2,9.23
Branchial arch,single_cluster,84,128.1,193.6,13.4,6.19
Cavity,single_cluster,13,141.4,188.0,5.4,18.74
Heart,single_cluster,1,126.0,191.0,15.7,0.0
Liver,single_cluster,6,130.8,186.5,12.7,1.69
Mesenchyme,single_cluster,58,154.6,186.9,14.6,6.72
Neural crest,single_cluster,280,140.8,190.6,2.8,10.79
Neural crest,target,42,141.5,193.4,0.0,0.0
Notochord,single_cluster,32,129.4,204.1,16.2,3.41
Sclerotome,single_cluster,69,147.8,182.0,13.0,6.46
