cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,83,135.5,175.5,8.6,6.4
Brain,single_cluster,1,137.0,168.0,12.2,0.0
Branchial arch,single_cluster,1,134.0,186.0,12.3,0.0
Cavity,single_cluster,31,143.5,176.0,2.3,8.79
Dermomyotome,single_cluster,47,144.5,164.8,13.5,5.63
Liver,single_cluster,1,132.0,179.0,11.6,0.0
Mesenchyme,single_cluster,107,151.1,170.4,10.9,8.77
Neural crest,single_cluster,143,143.7,186.6,8.3,6.91
Sclerotome,single_cluster,182,143.9,172.4,5.9,9.31
Sclerotome,target,17,143.6,178.3,0.0,0.0
