邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,PDGFC_PDGFRA,AGM,PDGFC,PDGFRA,0.722,0.0
AGM,发送,2,TENM3_ADGRL2,AGM,TENM3,ADGRL2,0.666,0.0
AGM,发送,3,TENM4_ADGRL2,AGM,TENM4,ADGRL2,0.579,0.0
AGM,发送,4,FLRT3_ADGRL2,AGM,FLRT3,ADGRL2,0.567,0.001
AGM,发送,5,SLIT2_ROBO1,AGM,SLIT2,ROBO1,0.561,0.0
AGM,发送,6,GJC1_GJC1,AGM,GJC1,GJC1,0.556,0.0
AGM,发送,7,LRFN4_PTPRD,AGM,LRFN4,PTPRD,0.523,0.0
AGM,发送,8,WNT5A_SFRP1,AGM,WNT5A,SFRP1,0.518,0.0
AGM,发送,9,EFNA5_EPHA7,AGM,EFNA5,EPHA7,0.513,0.0
AGM,发送,10,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,AGM,atRetinoicAcid,byALDH1A2,0.512,0.0
AGM,发送,11,PTPRD_IL1RAPL1,AGM,PTPRD,IL1RAPL1,0.496,0.0
AGM,发送,12,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,AGM,atRetinoicAcid,byALDH1A2,0.495,0.0
AGM,发送,13,BMPR1B_BMPR2_BMPR1A,AGM,BMPR1B,BMPR2,0.482,0.023
AGM,发送,14,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.459,0.0
AGM,发送,15,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,AGM,atRetinoicAcid,byALDH1A2,0.459,0.0
AGM,发送,16,EFNA5_EPHA4,AGM,EFNA5,EPHA4,0.459,0.0
AGM,发送,17,EFNA5_EPHB2,AGM,EFNA5,EPHB2,0.45,0.001
AGM,发送,18,TENM3_ADGRL1,AGM,TENM3,ADGRL1,0.442,0.03
AGM,发送,19,PDGFA_PDGFRA,AGM,PDGFA,PDGFRA,0.438,0.041
AGM,发送,20,TENM3_ADGRL3,AGM,TENM3,ADGRL3,0.435,0.01
AGM,发送,21,WNT5B_SFRP1,AGM,WNT5B,SFRP1,0.434,0.0
AGM,发送,22,TENM2_FLRT3_complex_ADGRL2,AGM,TENM2,FLRT3,0.415,0.001
AGM,发送,23,TENM2_ADGRL2,AGM,TENM2,ADGRL2,0.415,0.001
AGM,发送,24,WNT2_SFRP1,AGM,WNT2,SFRP1,0.411,0.03
AGM,发送,25,WNT4_SFRP1,AGM,WNT4,SFRP1,0.41,0.0
AGM,发送,26,EFNB2_EPHA4,AGM,EFNB2,EPHA4,0.368,0.0
AGM,发送,27,SLIT2_ROBO2,AGM,SLIT2,ROBO2,0.362,0.026
AGM,发送,28,CDH6_CDH6,AGM,CDH6,CDH6,0.362,0.0
AGM,发送,29,BMP4_BMPR1A_BMPR2,AGM,BMP4,BMPR1A,0.361,0.039
AGM,发送,30,EFNB2_EPHB4,AGM,EFNB2,EPHB4,0.36,0.0
AGM,发送,31,SDC1_ADGRA2,AGM,SDC1,ADGRA2,0.36,0.021
AGM,发送,32,EFNB2_EPHB2,AGM,EFNB2,EPHB2,0.359,0.001
AGM,发送,33,TENM4_ADGRL1,AGM,TENM4,ADGRL1,0.356,0.006
AGM,发送,34,NTN1_UNC5C,AGM,NTN1,UNC5C,0.354,0.009
AGM,发送,35,COL19A1_integrin_a11b1_complex,AGM,COL19A1,integrin,0.353,0.035
AGM,发送,36,TENM4_ADGRL3,AGM,TENM4,ADGRL3,0.349,0.0
AGM,发送,37,CDH5_CDH5,AGM,CDH5,CDH5,0.346,0.038
AGM,发送,38,TENM4_FLRT3_complex_ADGRL1,AGM,TENM4,FLRT3,0.344,0.013
AGM,发送,39,EFNA4_EPHA7,AGM,EFNA4,EPHA7,0.343,0.004
AGM,发送,40,VEGFA_KDR,AGM,VEGFA,KDR,0.338,0.02
AGM,发送,41,TENM3_FLRT3_complex_ADGRL3,AGM,TENM3,FLRT3,0.336,0.05
AGM,发送,42,FLRT3_ADGRL3,AGM,FLRT3,ADGRL3,0.336,0.05
AGM,发送,43,WNT5A_SFRP2,AGM,WNT5A,SFRP2,0.336,0.0
AGM,发送,44,FLRT2_ADGRL1,AGM,FLRT2,ADGRL1,0.332,0.023
AGM,发送,45,FLRT2_ADGRL3,AGM,FLRT2,ADGRL3,0.325,0.005
AGM,发送,46,EFNB3_EPHA4,AGM,EFNB3,EPHA4,0.323,0.017
AGM,发送,47,ESAM_ESAM,AGM,ESAM,ESAM,0.317,0.002
AGM,发送,48,WNT5A_FZD3_LRP6,AGM,WNT5A,FZD3,0.301,0.004
AGM,发送,49,WNT5A_FZD7_LRP6,AGM,WNT5A,FZD7,0.301,0.004
AGM,发送,50,WNT5A_FZD2_LRP6,AGM,WNT5A,FZD2,0.301,0.004
AGM,发送,51,WNT5A_FZD2_LRP5,AGM,WNT5A,FZD2,0.299,0.009
AGM,发送,52,WNT5A_FZD7_LRP5,AGM,WNT5A,FZD7,0.299,0.009
AGM,发送,53,WNT5A_FZD3_LRP5,AGM,WNT5A,FZD3,0.299,0.009
AGM,发送,54,EFNA2_EPHA7,AGM,EFNA2,EPHA7,0.298,0.0
AGM,发送,55,EFNB1_EPHA4,AGM,EFNB1,EPHA4,0.295,0.003
AGM,发送,56,EFNA4_EPHA4,AGM,EFNA4,EPHA4,0.289,0.011
