邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Neural crest,118,150,268,49.29299999999999,62.90699999999999,112.19999999999999,0.41773728813559313,0.4193799999999999,0.4186567164179104,0.3554067796610169,0.2784915254237288,0.6666666666666666,0.847457627118644,1.5141242937853108
Sclerotome,146,132,278,49.88400000000002,51.310999999999986,101.19500000000001,0.34167123287671247,0.3887196969696969,0.3640107913669065,0.2898926553672316,0.2818305084745764,0.8248587570621468,0.7457627118644068,1.5706214689265536
Connective tissue,82,194,276,27.872,72.05300000000005,99.92500000000005,0.33990243902439027,0.37140721649484565,0.36204710144927554,0.40707909604519804,0.1574689265536723,0.4632768361581921,1.0960451977401129,1.5593220338983051
Heart,108,133,241,38.39799999999999,56.498999999999995,94.89699999999999,0.35553703703703693,0.42480451127819546,0.3937634854771784,0.31920338983050844,0.21693785310734456,0.6101694915254238,0.751412429378531,1.3615819209039548
Branchial arch,68,109,177,30.506000000000007,42.709999999999994,73.21600000000001,0.4486176470588236,0.39183486238532106,0.4136497175141243,0.24129943502824855,0.17235028248587575,0.384180790960452,0.615819209039548,1.0
AGM,106,106,212,33.30499999999999,33.30499999999999,66.60999999999999,0.3141981132075471,0.3141981132075471,0.3141981132075471,0.18816384180790957,0.18816384180790957,0.5988700564971752,0.5988700564971752,1.1977401129943503
Dermomyotome,74,95,169,26.558999999999997,37.22,63.778999999999996,0.3589054054054054,0.3917894736842105,0.37739053254437865,0.21028248587570622,0.15005084745762712,0.4180790960451977,0.536723163841808,0.9548022598870056
AGM_1_29_Target,112,75,187,31.797,29.052,60.849000000000004,0.2839017857142857,0.38736,0.3253957219251337,0.164135593220339,0.17964406779661019,0.632768361581921,0.423728813559322,1.0564971751412429
Liver,80,70,150,24.377999999999993,31.325999999999997,55.70399999999999,0.3047249999999999,0.4475142857142857,0.37135999999999997,0.1769830508474576,0.13772881355932198,0.4519774011299435,0.3954802259887006,0.847457627118644
Mesenchyme,29,98,127,10.165,31.735999999999997,41.900999999999996,0.35051724137931034,0.3238367346938775,0.32992913385826766,0.17929943502824858,0.05742937853107344,0.1638418079096045,0.5536723163841808,0.7175141242937854
Brain,23,16,39,17.599999999999998,16.409,34.009,0.7652173913043477,1.0255625,0.8720256410256411,0.09270621468926553,0.09943502824858756,0.12994350282485875,0.0903954802259887,0.22033898305084745
Cavity,3,3,6,1.136,0.935,2.0709999999999997,0.37866666666666665,0.3116666666666667,0.3451666666666666,0.005282485875706215,0.006418079096045197,0.01694915254237288,0.01694915254237288,0.03389830508474576
