邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,MDK_PTPRZ1,Brain,MDK,PTPRZ1,1.142,0.0
Brain,发送,2,PPIA_BSG,Brain,PPIA,BSG,1.122,0.0
Brain,发送,3,CDH2_CDH2,Brain,CDH2,CDH2,0.825,0.0
Brain,发送,4,LRRC4C_PTPRF,Brain,LRRC4C,PTPRF,0.757,0.0
Brain,发送,5,CADM1_CADM1,Brain,CADM1,CADM1,0.748,0.001
Brain,发送,6,LRFN4_PTPRF,Brain,LRFN4,PTPRF,0.734,0.0
Brain,发送,7,CADM1_NECTIN3,Brain,CADM1,NECTIN3,0.715,0.0
Brain,发送,8,TENM3_ADGRL2,Brain,TENM3,ADGRL2,0.709,0.0
Brain,发送,9,LRRC4B_PTPRF,Brain,LRRC4B,PTPRF,0.699,0.0
Brain,发送,10,PTN_PTPRZ1,Brain,PTN,PTPRZ1,0.696,0.0
Brain,发送,11,DLK1_NOTCH1,Brain,DLK1,NOTCH1,0.637,0.0
Brain,发送,12,TENM4_ADGRL2,Brain,TENM4,ADGRL2,0.605,0.0
Brain,发送,13,JAM3_JAM3,Brain,JAM3,JAM3,0.582,0.0
Brain,发送,14,FN1_integrin_a3b1_complex,Brain,FN1,integrin,0.581,0.02
Brain,发送,15,AGRN_PTPRS,Brain,AGRN,PTPRS,0.569,0.001
Brain,发送,16,NTN1_DCC,Brain,NTN1,DCC,0.565,0.0
Brain,发送,17,EFNA5_EPHB2,Brain,EFNA5,EPHB2,0.547,0.0
Brain,发送,18,EFNB3_EPHB2,Brain,EFNB3,EPHB2,0.544,0.0
Brain,发送,19,TENM3_ADGRL3,Brain,TENM3,ADGRL3,0.536,0.0
Brain,发送,20,Cholesterol_byDHCR24_RORA,Brain,Cholesterol,byDHCR24,0.527,0.007
Brain,发送,21,EFNA5_EPHA4,Brain,EFNA5,EPHA4,0.51,0.0
Brain,发送,22,TENM2_ADGRL2,Brain,TENM2,ADGRL2,0.509,0.0
Brain,发送,23,COL2A1_integrin_a11b1_complex,Brain,COL2A1,integrin,0.509,0.036
Brain,发送,24,EFNB3_EPHA4,Brain,EFNB3,EPHA4,0.507,0.0
Brain,发送,25,EFNB1_EPHB2,Brain,EFNB1,EPHB2,0.506,0.0
