cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,68,132.9,180.3,15.2,4.92
Brain,single_cluster,63,121.3,206.3,13.3,18.08
Branchial arch,single_cluster,123,119.1,198.8,8.5,10.32
Branchial arch,target,77,126.1,193.9,0.0,0.0
Cavity,single_cluster,74,114.5,199.0,12.7,20.8
Heart,single_cluster,219,118.9,187.2,9.8,8.74
Liver,single_cluster,7,131.1,183.1,11.9,5.26
Neural crest,single_cluster,405,122.7,201.7,8.5,19.53
Notochord,single_cluster,84,125.4,207.2,13.3,6.59
Sclerotome,single_cluster,1,108.0,210.0,24.2,0.0
