邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF2R,Branchial arch,IGF2,IGF2R,2.085,0.0
AGM,发送,2,IGF2_IGF1R,Branchial arch,IGF2,IGF1R,1.798,0.015
AGM,发送,3,PPIA_BSG,Branchial arch,PPIA,BSG,1.248,0.0
AGM,发送,4,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.221,0.0
AGM,发送,5,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.198,0.0
AGM,发送,6,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.196,0.0
AGM,发送,7,FN1_integrin_a8b1_complex,Branchial arch,FN1,integrin,0.952,0.001
AGM,发送,8,TENM3_ADGRL2,Branchial arch,TENM3,ADGRL2,0.821,0.0
AGM,发送,9,PDGFC_PDGFRA,Branchial arch,PDGFC,PDGFRA,0.735,0.0
AGM,发送,10,TENM4_ADGRL2,Branchial arch,TENM4,ADGRL2,0.696,0.0
AGM,发送,11,FLRT3_ADGRL2,Branchial arch,FLRT3,ADGRL2,0.687,0.0
AGM,发送,12,GJC1_GJC1,Branchial arch,GJC1,GJC1,0.662,0.0
AGM,发送,13,EFNA5_EPHA7,Branchial arch,EFNA5,EPHA7,0.656,0.001
AGM,发送,14,SLIT2_ROBO1,Branchial arch,SLIT2,ROBO1,0.655,0.001
AGM,发送,15,NTN1_UNC5C,Branchial arch,NTN1,UNC5C,0.636,0.0
AGM,发送,16,LRFN4_PTPRD,Branchial arch,LRFN4,PTPRD,0.629,0.0
AGM,发送,17,TENM3_ADGRL1,Branchial arch,TENM3,ADGRL1,0.568,0.013
AGM,发送,18,EFNA4_EPHA7,Branchial arch,EFNA4,EPHA7,0.546,0.0
AGM,发送,19,PDGFA_PDGFRA,Branchial arch,PDGFA,PDGFRA,0.541,0.0
AGM,发送,20,EFNA5_EPHB2,Branchial arch,EFNA5,EPHB2,0.538,0.002
AGM,发送,21,TENM2_FLRT3_complex_ADGRL2,Branchial arch,TENM2,FLRT3,0.532,0.001
AGM,发送,22,TENM2_ADGRL2,Branchial arch,TENM2,ADGRL2,0.532,0.002
AGM,发送,23,SEMA3A_PlexinA2_complex1,Branchial arch,SEMA3A,PlexinA2,0.505,0.0
AGM,发送,24,SEMA3A_NRP1,Branchial arch,SEMA3A,NRP1,0.505,0.0
AGM,发送,25,TENM1_ADGRL2,Branchial arch,TENM1,ADGRL2,0.501,0.0
AGM,发送,26,SEMA3A_PlexinA1_complex3,Branchial arch,SEMA3A,PlexinA1,0.499,0.0
AGM,发送,27,EFNA2_EPHA7,Branchial arch,EFNA2,EPHA7,0.498,0.0
AGM,发送,28,LRFN4_PTPRS,Branchial arch,LRFN4,PTPRS,0.49,0.003
AGM,发送,29,VEGFA_KDR,Branchial arch,VEGFA,KDR,0.482,0.0
AGM,发送,30,WNT5B_SFRP1,Branchial arch,WNT5B,SFRP1,0.467,0.015
AGM,发送,31,SDC1_ADGRA2,Branchial arch,SDC1,ADGRA2,0.46,0.004
AGM,发送,32,NECTIN1_NECTIN3,Branchial arch,NECTIN1,NECTIN3,0.456,0.023
AGM,发送,33,EFNA1_EPHA7,Branchial arch,EFNA1,EPHA7,0.45,0.003
AGM,发送,34,SLITRK6_PTPRS,Branchial arch,SLITRK6,PTPRS,0.447,0.0
AGM,发送,35,TENM4_ADGRL1,Branchial arch,TENM4,ADGRL1,0.444,0.029
AGM,发送,36,SEMA3A_PlexinA3_complex1,Branchial arch,SEMA3A,PlexinA3,0.44,0.0
AGM,发送,37,EFNA4_EPHA4,Branchial arch,EFNA4,EPHA4,0.436,0.004
AGM,发送,38,NCAM1_FGFR1,Branchial arch,NCAM1,FGFR1,0.435,0.036
AGM,发送,39,TENM4_FLRT3_complex_ADGRL1,Branchial arch,TENM4,FLRT3,0.434,0.001
AGM,发送,40,EFNA5_EPHA3,Branchial arch,EFNA5,EPHA3,0.429,0.032
AGM,发送,41,VEGFC_KDR,Branchial arch,VEGFC,KDR,0.409,0.0
AGM,发送,42,NECTIN3_PVR,Branchial arch,NECTIN3,PVR,0.405,0.005
AGM,发送,43,WNT5A_SFRP2,Branchial arch,WNT5A,SFRP2,0.403,0.04
AGM,发送,44,VEGFA_NRP2,Branchial arch,VEGFA,NRP2,0.389,0.031
AGM,发送,45,EFNA2_EPHA4,Branchial arch,EFNA2,EPHA4,0.388,0.001
AGM,发送,46,EFNA5_EPHA5,Branchial arch,EFNA5,EPHA5,0.377,0.037
AGM,发送,47,GJC1_GJA5,Branchial arch,GJC1,GJA5,0.371,0.003
AGM,发送,48,SEMA6A_PlexinA2_complex1,Branchial arch,SEMA6A,PlexinA2,0.354,0.009
AGM,发送,49,TENM3_FLRT3_complex_ADGRL3,Branchial arch,TENM3,FLRT3,0.353,0.032
AGM,发送,50,FLRT3_ADGRL3,Branchial arch,FLRT3,ADGRL3,0.353,0.032
AGM,发送,51,WNT5B_SFRP2,Branchial arch,WNT5B,SFRP2,0.353,0.0
AGM,发送,52,EFNB1_EPHB2,Branchial arch,EFNB1,EPHB2,0.352,0.007
AGM,发送,53,VEGFA_NRP1,Branchial arch,VEGFA,NRP1,0.349,0.026
AGM,发送,54,DKK1_LRP6,Branchial arch,DKK1,LRP6,0.347,0.001
AGM,发送,55,SEMA4C_PLXNB2,Branchial arch,SEMA4C,PLXNB2,0.329,0.025
AGM,发送,56,EFNA4_EPHA3,Branchial arch,EFNA4,EPHA3,0.319,0.001
AGM,发送,57,ESAM_ESAM,Branchial arch,ESAM,ESAM,0.305,0.046
AGM,发送,58,DKK1_LRP5,Branchial arch,DKK1,LRP5,0.304,0.0
AGM,发送,59,WNT7B_SFRP2,Branchial arch,WNT7B,SFRP2,0.289,0.0
AGM,发送,60,RSPO2_LGR4,Branchial arch,RSPO2,LGR4,0.277,0.025
AGM,发送,61,EFNA2_EPHA3,Branchial arch,EFNA2,EPHA3,0.271,0.0
AGM,发送,62,EFNA4_EPHA5,Branchial arch,EFNA4,EPHA5,0.267,0.0
AGM,发送,63,EDN3_EDNRA,Branchial arch,EDN3,EDNRA,0.262,0.017
AGM,发送,64,GDF6_BMR1A_ACR2A,Branchial arch,GDF6,BMR1A,0.262,0.012
AGM,发送,65,DKK1_Kremen1_LRP6,Branchial arch,DKK1,Kremen1,0.256,0.0
AGM,发送,66,SHH_HHIP,Branchial arch,SHH,HHIP,0.254,0.049
AGM,发送,67,TENM1_ADGRL1,Branchial arch,TENM1,ADGRL1,0.248,0.03
AGM,发送,68,DKK2_LRP6,Branchial arch,DKK2,LRP6,0.242,0.046
AGM,发送,69,GDF6_BMPR1B_BMPR2,Branchial arch,GDF6,BMPR1B,0.227,0.006
AGM,发送,70,GDF6_BMR1B_AVR2A,Branchial arch,GDF6,BMR1B,0.227,0.005
AGM,发送,71,EDN3_EDNRB,Branchial arch,EDN3,EDNRB,0.224,0.029
AGM,发送,72,EFNA2_EPHA5,Branchial arch,EFNA2,EPHA5,0.219,0.0
AGM,发送,73,GDF6_BMR1B_AVR2B,Branchial arch,GDF6,BMR1B,0.213,0.004
AGM,发送,74,VEGFC_FLT4,Branchial arch,VEGFC,FLT4,0.196,0.009
AGM,发送,75,WNT5B_FZD4_LRP6,Branchial arch,WNT5B,FZD4,0.195,0.05
AGM,发送,76,IL34_CSF1R,Branchial arch,IL34,CSF1R,0.146,0.035
AGM,接收,1,MDK_PTPRZ1,Branchial arch,PTPRZ1,MDK,1.432,0.0
AGM,接收,2,FN1_integrin_aVb5_complex,Branchial arch,integrin,FN1,1.046,0.003
AGM,接收,3,FN1_integrin_a3b1_complex,Branchial arch,integrin,FN1,1.04,0.0
AGM,接收,4,COL3A1_ADGRG1,Branchial arch,ADGRG1,COL3A1,0.853,0.045
AGM,接收,5,COL3A1_integrin_a11b1_complex,Branchial arch,integrin,COL3A1,0.842,0.004
AGM,接收,6,TENM3_ADGRL2,Branchial arch,ADGRL2,TENM3,0.756,0.001
AGM,接收,7,PTN_PTPRZ1,Branchial arch,PTPRZ1,PTN,0.723,0.0
AGM,接收,8,PDGFC_PDGFRA,Branchial arch,PDGFRA,PDGFC,0.718,0.0
AGM,接收,9,TENM4_ADGRL2,Branchial arch,ADGRL2,TENM4,0.682,0.0
AGM,接收,10,GJC1_GJC1,Branchial arch,GJC1,GJC1,0.662,0.0
AGM,接收,11,WNT5A_FRZB,Branchial arch,FRZB,WNT5A,0.641,0.0
AGM,接收,12,SLIT2_ROBO1,Branchial arch,ROBO1,SLIT2,0.598,0.037
AGM,接收,13,PTPRD_IL1RAPL1,Branchial arch,IL1RAPL1,PTPRD,0.583,0.0
AGM,接收,14,WNT5A_FZD2_LRP6,Branchial arch,FZD2,WNT5A,0.577,0.0
AGM,接收,15,WNT5A_FZD7_LRP6,Branchial arch,FZD7,WNT5A,0.577,0.0
AGM,接收,16,WNT5A_FZD3_LRP6,Branchial arch,FZD3,WNT5A,0.577,0.0
AGM,接收,17,FLRT3_ADGRL2,Branchial arch,ADGRL2,FLRT3,0.568,0.002
AGM,接收,18,TENM3_ADGRL3,Branchial arch,ADGRL3,TENM3,0.556,0.005
AGM,接收,19,WNT5A_FZD3_LRP5,Branchial arch,FZD3,WNT5A,0.556,0.0
AGM,接收,20,WNT5A_FZD2_LRP5,Branchial arch,FZD2,WNT5A,0.556,0.0
AGM,接收,21,WNT5A_FZD7_LRP5,Branchial arch,FZD7,WNT5A,0.556,0.0
AGM,接收,22,NTN1_UNC5C,Branchial arch,UNC5C,NTN1,0.54,0.028
AGM,接收,23,BMPR1B_BMPR2_BMPR1A,Branchial arch,BMPR2,BMPR1B,0.531,0.042
AGM,接收,24,WNT5A_ROR1,Branchial arch,ROR1,WNT5A,0.508,0.0
AGM,接收,25,WNT5A_ROR2,Branchial arch,ROR2,WNT5A,0.5,0.0
AGM,接收,26,WNT5A_SFRP2,Branchial arch,SFRP2,WNT5A,0.491,0.0
AGM,接收,27,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Branchial arch,byALDH1A2,atRetinoicAcid,0.484,0.0
AGM,接收,28,EFNB2_EPHA4,Branchial arch,EPHA4,EFNB2,0.483,0.04
AGM,接收,29,TENM4_ADGRL3,Branchial arch,ADGRL3,TENM4,0.482,0.0
AGM,接收,30,WNT5A_FZD4_LRP6,Branchial arch,FZD4,WNT5A,0.479,0.0
AGM,接收,31,WNT5A_FZD4_LRP5,Branchial arch,FZD4,WNT5A,0.479,0.0
AGM,接收,32,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Branchial arch,byALDH1A2,atRetinoicAcid,0.467,0.0
AGM,接收,33,WNT5A_FDZ8_RYK,Branchial arch,FDZ8,WNT5A,0.454,0.0
AGM,接收,34,WNT5A_FZD8_LRP6,Branchial arch,FZD8,WNT5A,0.454,0.0
AGM,接收,35,WNT5A_FZD8_LRP5,Branchial arch,FZD8,WNT5A,0.454,0.0
AGM,接收,36,COL19A1_integrin_a11b1_complex,Branchial arch,integrin,COL19A1,0.444,0.047
AGM,接收,37,EFNB1_EPHA4,Branchial arch,EPHA4,EFNB1,0.442,0.002
AGM,接收,38,NECTIN1_NECTIN3,Branchial arch,NECTIN3,NECTIN1,0.439,0.039
AGM,接收,39,atRetinoicAcid_byALDH1A2_RAreceptor_RARG,Branchial arch,byALDH1A2,atRetinoicAcid,0.426,0.0
AGM,接收,40,EFNA4_EPHA4,Branchial arch,EPHA4,EFNA4,0.419,0.02
AGM,接收,41,EFNB2_EPHB4,Branchial arch,EPHB4,EFNB2,0.415,0.048
AGM,接收,42,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,Branchial arch,byALDH1A2,atRetinoicAcid,0.414,0.0
AGM,接收,43,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,Branchial arch,byALDH1A2,atRetinoicAcid,0.414,0.0
AGM,接收,44,SDC1_ADGRA2,Branchial arch,ADGRA2,SDC1,0.411,0.037
AGM,接收,45,EFNB2_EPHB3,Branchial arch,EPHB3,EFNB2,0.41,0.046
AGM,接收,46,Cholesterol_byLIPA_RORA,Branchial arch,byLIPA,Cholesterol,0.407,0.001
AGM,接收,47,JAG1_NOTCH2,Branchial arch,NOTCH2,JAG1,0.379,0.017
AGM,接收,48,EFNB1_EPHB4,Branchial arch,EPHB4,EFNB1,0.375,0.003
AGM,接收,49,TENM3_FLRT3_complex_ADGRL3,Branchial arch,FLRT3,TENM3,0.369,0.008
AGM,接收,50,FLRT3_ADGRL3,Branchial arch,ADGRL3,FLRT3,0.369,0.008
AGM,接收,51,EFNB1_EPHB3,Branchial arch,EPHB3,EFNB1,0.369,0.005
AGM,接收,52,WNT4_FRZB,Branchial arch,FRZB,WNT4,0.361,0.0
AGM,接收,53,RSPO2_LGR4,Branchial arch,LGR4,RSPO2,0.358,0.0
AGM,接收,54,CXCL13_CXCR5,Branchial arch,CXCR5,CXCL13,0.356,0.0
AGM,接收,55,RSPO1_LGR4,Branchial arch,LGR4,RSPO1,0.348,0.0
AGM,接收,56,WNT5B_FRZB,Branchial arch,FRZB,WNT5B,0.341,0.0
AGM,接收,57,PDGFD_PDGFR_complex,Branchial arch,PDGFR,PDGFD,0.338,0.0
AGM,接收,58,PDGFD_PDGFRB,Branchial arch,PDGFRB,PDGFD,0.338,0.0
AGM,接收,59,WNT7B_FRZB,Branchial arch,FRZB,WNT7B,0.326,0.0
AGM,接收,60,WNT2_FRZB,Branchial arch,FRZB,WNT2,0.322,0.0
AGM,接收,61,RSPO1_Kremen1_LRP6,Branchial arch,Kremen1,RSPO1,0.319,0.0
AGM,接收,62,ESAM_ESAM,Branchial arch,ESAM,ESAM,0.305,0.046
AGM,接收,63,WNT4_FZD2_LRP6,Branchial arch,FZD2,WNT4,0.297,0.001
AGM,接收,64,WNT4_FZD3_LRP6,Branchial arch,FZD3,WNT4,0.297,0.001
AGM,接收,65,WNT4_FZD1_LRP6,Branchial arch,FZD1,WNT4,0.297,0.0
AGM,接收,66,WNT4_FZD7_LRP6,Branchial arch,FZD7,WNT4,0.297,0.001
AGM,接收,67,THBS1_integrin_a3b1_complex,Branchial arch,integrin,THBS1,0.297,0.006
AGM,接收,68,EFNA4_EPHA3,Branchial arch,EPHA3,EFNA4,0.281,0.017
AGM,接收,69,WNT4_FZD1_LRP5,Branchial arch,FZD1,WNT4,0.277,0.0
AGM,接收,70,WNT4_FZD3_LRP5,Branchial arch,FZD3,WNT4,0.277,0.0
AGM,接收,71,WNT4_FZD2_LRP5,Branchial arch,FZD2,WNT4,0.277,0.0
AGM,接收,72,WNT5B_FZD1_LRP6,Branchial arch,FZD1,WNT5B,0.277,0.048
AGM,接收,73,WNT4_FZD7_LRP5,Branchial arch,FZD7,WNT4,0.277,0.0
AGM,接收,74,WNT7B_FZD2_LRP6,Branchial arch,FZD2,WNT7B,0.262,0.02
AGM,接收,75,WNT7B_FZD3_LRP6,Branchial arch,FZD3,WNT7B,0.262,0.02
AGM,接收,76,WNT7B_FZD7_LRP6,Branchial arch,FZD7,WNT7B,0.262,0.008
AGM,接收,77,WNT7B_FZD1_LRP6,Branchial arch,FZD1,WNT7B,0.262,0.01
AGM,接收,78,RSPO1_FZD8_LRP6,Branchial arch,FZD8,RSPO1,0.26,0.0
AGM,接收,79,UNC5A_ADGRL3,Branchial arch,ADGRL3,UNC5A,0.259,0.0
AGM,接收,80,WNT2_FZD3_LRP6,Branchial arch,FZD3,WNT2,0.259,0.028
AGM,接收,81,WNT2_FZD2_LRP6,Branchial arch,FZD2,WNT2,0.259,0.028
AGM,接收,82,WNT2_FZD7_LRP6,Branchial arch,FZD7,WNT2,0.259,0.015
AGM,接收,83,WNT2_FZD1_LRP6,Branchial arch,FZD1,WNT2,0.259,0.013
AGM,接收,84,WNT7B_FZD1_LRP5,Branchial arch,FZD1,WNT7B,0.242,0.007
AGM,接收,85,WNT7B_FZD3_LRP5,Branchial arch,FZD3,WNT7B,0.242,0.009
AGM,接收,86,WNT7B_FZD2_LRP5,Branchial arch,FZD2,WNT7B,0.242,0.009
AGM,接收,87,WNT7B_FZD7_LRP5,Branchial arch,FZD7,WNT7B,0.242,0.006
AGM,接收,88,WNT2_FZD1_LRP5,Branchial arch,FZD1,WNT2,0.238,0.009
AGM,接收,89,WNT2_FZD3_LRP5,Branchial arch,FZD3,WNT2,0.238,0.011
AGM,接收,90,WNT2_FZD2_LRP5,Branchial arch,FZD2,WNT2,0.238,0.011
AGM,接收,91,WNT2_FZD7_LRP5,Branchial arch,FZD7,WNT2,0.238,0.008
AGM,接收,92,PGF_NRP2,Branchial arch,NRP2,PGF,0.231,0.032
AGM,接收,93,CD248_IL6R,Branchial arch,IL6R,CD248,0.225,0.022
AGM,接收,94,WNT4_FZD4_LRP5,Branchial arch,FZD4,WNT4,0.199,0.0
AGM,接收,95,WNT4_FZD4_LRP6,Branchial arch,FZD4,WNT4,0.199,0.0
AGM,接收,96,COL4A6_integrin_a11b1_complex,Branchial arch,integrin,COL4A6,0.178,0.024
AGM,接收,97,WNT4_FZD8_LRP6,Branchial arch,FZD8,WNT4,0.174,0.0
AGM,接收,98,WNT4_FZD8_LRP5,Branchial arch,FZD8,WNT4,0.174,0.0
AGM,接收,99,WNT7B_FZD4_LRP5,Branchial arch,FZD4,WNT7B,0.164,0.045
AGM,接收,100,WNT7B_FZD4_LRP6,Branchial arch,FZD4,WNT7B,0.164,0.047
Brain,发送,1,IGF2_IGF1R,Branchial arch,IGF2,IGF1R,1.841,0.001
Brain,发送,2,DLK1_NOTCH1,Branchial arch,DLK1,NOTCH1,1.43,0.0
Brain,发送,3,MDK_PTPRZ1,Branchial arch,MDK,PTPRZ1,1.311,0.0
Brain,发送,4,FGF10_FGFR2,Branchial arch,FGF10,FGFR2,1.208,0.003
Brain,发送,5,DLK1_NOTCH2,Branchial arch,DLK1,NOTCH2,1.204,0.0
Brain,发送,6,DLK1_NOTCH3,Branchial arch,DLK1,NOTCH3,1.169,0.0
Brain,发送,7,2arachidonoylglycerol_byDAGLB_CNR1,Branchial arch,2arachidonoylglycerol,byDAGLB,1.047,0.0
Brain,发送,8,COL3A1_ADGRG1,Branchial arch,COL3A1,ADGRG1,0.881,0.008
Brain,发送,9,LRFN4_PTPRF,Branchial arch,LRFN4,PTPRF,0.871,0.019
Brain,发送,10,MPZL1_MPZL1,Branchial arch,MPZL1,MPZL1,0.817,0.048
Brain,发送,11,WNT5A_SFRP1,Branchial arch,WNT5A,SFRP1,0.777,0.0
Brain,发送,12,WNT5B_SFRP1,Branchial arch,WNT5B,SFRP1,0.727,0.0
Brain,发送,13,WNT7B_SFRP1,Branchial arch,WNT7B,SFRP1,0.663,0.0
Brain,发送,14,APP_TNFRSF21,Branchial arch,APP,TNFRSF21,0.617,0.019
Brain,发送,15,GJC1_GJC1,Branchial arch,GJC1,GJC1,0.604,0.007
Brain,发送,16,PTN_PTPRZ1,Branchial arch,PTN,PTPRZ1,0.541,0.0
Brain,发送,17,FLRT3_ADGRL2,Branchial arch,FLRT3,ADGRL2,0.521,0.039
Brain,发送,18,EFNA5_EPHB2,Branchial arch,EFNA5,EPHB2,0.517,0.011
Brain,发送,19,JAG1_NOTCH1,Branchial arch,JAG1,NOTCH1,0.51,0.0
Brain,发送,20,WNT5A_SFRP2,Branchial arch,WNT5A,SFRP2,0.508,0.0
Brain,发送,21,JAM3_JAM3,Branchial arch,JAM3,JAM3,0.501,0.018
Brain,发送,22,WNT5B_SFRP2,Branchial arch,WNT5B,SFRP2,0.458,0.0
Brain,发送,23,NTN1_DCC,Branchial arch,NTN1,DCC,0.434,0.0
Brain,发送,24,JAG2_NOTCH1,Branchial arch,JAG2,NOTCH1,0.422,0.0
Brain,发送,25,SEMA3A_PlexinA3_complex1,Branchial arch,SEMA3A,PlexinA3,0.403,0.0
