邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Heart,72,138,210,37.620999999999995,63.64000000000001,101.261,0.5225138888888888,0.4611594202898551,0.48219523809523807,0.8264935064935066,0.4885844155844155,0.935064935064935,1.7922077922077921,2.727272727272727
Notochord,85,119,204,45.39,50.33800000000001,95.72800000000001,0.534,0.4230084033613446,0.46925490196078434,0.6537402597402598,0.5894805194805195,1.103896103896104,1.5454545454545454,2.6493506493506493
Branchial arch_1_16_Target,82,93,175,39.551,51.304,90.855,0.48232926829268297,0.5516559139784947,0.5191714285714286,0.6662857142857143,0.5136493506493507,1.0649350649350648,1.2077922077922079,2.272727272727273
AGM,76,110,186,38.245000000000005,42.968,81.21300000000001,0.5032236842105263,0.39061818181818186,0.43662903225806454,0.5580259740259741,0.49668831168831173,0.987012987012987,1.4285714285714286,2.4155844155844157
Branchial arch,69,69,138,33.02700000000001,33.02700000000001,66.05400000000002,0.4786521739130436,0.4786521739130436,0.4786521739130436,0.42892207792207804,0.42892207792207804,0.8961038961038961,0.8961038961038961,1.7922077922077921
Brain,69,79,148,33.335,31.326000000000004,64.661,0.4831159420289855,0.3965316455696203,0.43689864864864864,0.4068311688311689,0.43292207792207793,0.8961038961038961,1.025974025974026,1.922077922077922
Neural crest,59,85,144,26.357000000000003,36.765000000000015,63.122000000000014,0.4467288135593221,0.43252941176470605,0.43834722222222233,0.47746753246753265,0.3422987012987013,0.7662337662337663,1.103896103896104,1.87012987012987
Sclerotome,14,44,58,11.749999999999998,33.033,44.783,0.8392857142857142,0.75075,0.7721206896551724,0.429,0.15259740259740256,0.18181818181818182,0.5714285714285714,0.7532467532467533
Liver,37,42,79,18.953,21.056999999999995,40.00999999999999,0.5122432432432432,0.5013571428571427,0.5064556962025315,0.2734675324675324,0.24614285714285714,0.4805194805194805,0.5454545454545454,1.025974025974026
Cavity,8,4,12,3.848,1.2349999999999999,5.083,0.481,0.30874999999999997,0.42358333333333337,0.016038961038961037,0.04997402597402597,0.1038961038961039,0.05194805194805195,0.15584415584415584
