cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,440,121.9,166.2,13.2,17.63
Brain,single_cluster,80,101.6,214.4,40.9,8.96
Branchial arch,single_cluster,21,121.6,194.7,22.1,18.9
Cavity,target,190,112.0,174.8,0.0,0.0
Cavity,single_cluster,151,105.1,178.4,7.8,30.04
Connective tissue,single_cluster,219,96.8,164.0,18.6,11.7
Dermomyotome,single_cluster,220,119.9,155.5,20.8,20.11
Heart,single_cluster,365,116.4,183.1,9.3,11.01
Liver,single_cluster,96,124.7,170.6,13.4,7.49
Mesenchyme,single_cluster,33,97.1,161.2,20.2,22.23
Neural crest,single_cluster,370,115.9,208.4,33.8,23.54
Notochord,single_cluster,10,113.9,222.6,47.8,3.67
Sclerotome,single_cluster,222,141.7,170.8,30.0,11.08
