邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,31,16.706000000000003,0.5389032258064517,1.892,0.16
Sclerotome,22,7.758000000000001,0.3526363636363637,0.539,0.206
Branchial arch,13,6.162,0.474,0.737,0.346
Liver,6,4.58,0.7633333333333333,1.542,0.258
Brain,12,4.148,0.3456666666666666,0.504,0.251
Connective tissue,8,3.1279999999999997,0.39099999999999996,0.512,0.273
AGM,9,2.742,0.30466666666666664,0.512,0.139
Dermomyotome,5,2.172,0.4344,0.776,0.237
Neural crest,4,1.429,0.35725,0.39,0.318
Mesenchyme,2,0.5680000000000001,0.28400000000000003,0.392,0.176
