邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Heart,31,39,70,16.706000000000003,18.610000000000003,35.316,0.5389032258064517,0.47717948717948727,0.5045142857142858,0.3649019607843138,0.3275686274509805,0.6078431372549019,0.7647058823529411,1.3725490196078431
Connective tissue,8,25,33,3.1279999999999997,16.499,19.627,0.39099999999999996,0.65996,0.5947575757575757,0.3235098039215686,0.06133333333333333,0.1568627450980392,0.49019607843137253,0.6470588235294118
Sclerotome,22,19,41,7.758000000000001,10.17,17.928,0.3526363636363637,0.5352631578947369,0.43726829268292683,0.19941176470588234,0.15211764705882355,0.43137254901960786,0.37254901960784315,0.803921568627451
Branchial arch,13,15,28,6.162,11.337,17.499,0.474,0.7558,0.6249642857142856,0.2222941176470588,0.1208235294117647,0.2549019607843137,0.29411764705882354,0.5490196078431373
Dermomyotome,5,18,23,2.172,11.891000000000002,14.063000000000002,0.4344,0.6606111111111113,0.6114347826086958,0.2331568627450981,0.04258823529411765,0.09803921568627451,0.35294117647058826,0.45098039215686275
Brain,12,23,35,4.148,6.632000000000001,10.780000000000001,0.3456666666666666,0.2883478260869565,0.30800000000000005,0.13003921568627452,0.08133333333333333,0.23529411764705882,0.45098039215686275,0.6862745098039216
AGM,9,9,18,2.742,7.851,10.593,0.30466666666666664,0.8723333333333333,0.5885,0.15394117647058825,0.053764705882352944,0.17647058823529413,0.17647058823529413,0.35294117647058826
Mesenchyme,2,7,9,0.5680000000000001,7.505,8.073,0.28400000000000003,1.072142857142857,0.897,0.14715686274509804,0.011137254901960785,0.0392156862745098,0.13725490196078433,0.17647058823529413
Neural crest,4,14,18,1.429,5.446,6.875,0.35725,0.38899999999999996,0.3819444444444444,0.10678431372549019,0.028019607843137256,0.0784313725490196,0.27450980392156865,0.35294117647058826
Liver,6,3,9,4.58,2.023,6.603,0.7633333333333333,0.6743333333333333,0.7336666666666667,0.03966666666666667,0.08980392156862745,0.11764705882352941,0.058823529411764705,0.17647058823529413
