邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,30,14.996000000000002,0.49986666666666674,2.013,0.115
Connective tissue,13,7.489,0.576076923076923,1.395,0.175
Neural crest,16,7.485,0.4678125,1.224,0.249
Dermomyotome,12,6.324,0.527,1.292,0.188
Branchial arch,14,4.688999999999999,0.33492857142857135,0.547,0.235
Liver,9,3.7669999999999995,0.4185555555555555,0.644,0.31
Sclerotome,7,3.5580000000000003,0.5082857142857143,0.916,0.246
Mesenchyme,4,3.343,0.83575,1.253,0.344
AGM,3,1.691,0.5636666666666666,0.775,0.371
Cavity,1,0.204,0.204,0.204,0.204
