邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.812,0.0
AGM,发送,2,DLK1_NOTCH2,Connective tissue,DLK1,NOTCH2,1.475,0.0
AGM,发送,3,DLK1_NOTCH3,Connective tissue,DLK1,NOTCH3,1.45,0.0
AGM,发送,4,DLK1_NOTCH1,Connective tissue,DLK1,NOTCH1,1.421,0.0
AGM,发送,5,COL3A1_integrin_a1b1_complex,Connective tissue,COL3A1,integrin,1.087,0.0
AGM,发送,6,COL3A1_ADGRG1,Connective tissue,COL3A1,ADGRG1,1.078,0.0
AGM,发送,7,COL3A1_integrin_a11b1_complex,Connective tissue,COL3A1,integrin,1.076,0.0
AGM,发送,8,COL1A1_integrin_a1b1_complex,Connective tissue,COL1A1,integrin,0.849,0.0
AGM,发送,9,COL1A1_integrin_a11b1_complex,Connective tissue,COL1A1,integrin,0.838,0.0
AGM,发送,10,MPZL1_MPZL1,Connective tissue,MPZL1,MPZL1,0.825,0.0
AGM,接收,1,FGF10_FGFR2,Connective tissue,FGFR2,FGF10,1.196,0.0
AGM,接收,2,MPZL1_MPZL1,Connective tissue,MPZL1,MPZL1,0.825,0.0
AGM,接收,3,EFNA5_EPHA3,Connective tissue,EPHA3,EFNA5,0.734,0.0
AGM,接收,4,PDGFC_PDGFRA,Connective tissue,PDGFRA,PDGFC,0.713,0.0
AGM,接收,5,LRFN4_PTPRF,Connective tissue,PTPRF,LRFN4,0.665,0.0
AGM,接收,6,CADM1_CADM1,Connective tissue,CADM1,CADM1,0.64,0.004
AGM,接收,7,CADM1_NECTIN3,Connective tissue,NECTIN3,CADM1,0.615,0.0
AGM,接收,8,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Connective tissue,byALDH1A2,atRetinoicAcid,0.586,0.0
AGM,接收,9,WNT5A_SFRP1,Connective tissue,SFRP1,WNT5A,0.569,0.0
AGM,接收,10,EFNA4_EPHA3,Connective tissue,EPHA3,EFNA4,0.565,0.0
Cavity,发送,1,DLK1_NOTCH2,Connective tissue,DLK1,NOTCH2,1.421,0.0
Cavity,发送,2,DLK1_NOTCH1,Connective tissue,DLK1,NOTCH1,1.412,0.0
Cavity,发送,3,COL3A1_ADGRG1,Connective tissue,COL3A1,ADGRG1,1.1,0.0
Cavity,发送,4,APP_FPR2,Connective tissue,APP,FPR2,0.585,0.0
Cavity,发送,5,APP_TNFRSF21,Connective tissue,APP,TNFRSF21,0.569,0.0
Cavity,发送,6,WNT2_SFRP1,Connective tissue,WNT2,SFRP1,0.475,0.013
Cavity,发送,7,FLRT3_ADGRL3,Connective tissue,FLRT3,ADGRL3,0.441,0.0
Cavity,发送,8,WNT2_SFRP2,Connective tissue,WNT2,SFRP2,0.375,0.0
Cavity,发送,9,WNT2_FZD2_LRP5,Connective tissue,WNT2,FZD2,0.37,0.0
Cavity,发送,10,WNT2_FZD3_LRP5,Connective tissue,WNT2,FZD3,0.37,0.0
Cavity,接收,1,COL1A1_integrin_a11b1_complex,Connective tissue,integrin,COL1A1,0.632,0.004
Cavity,接收,2,COL1A2_integrin_a11b1_complex,Connective tissue,integrin,COL1A2,0.608,0.048
Cavity,接收,3,PDGFC_PDGFRA,Connective tissue,PDGFRA,PDGFC,0.531,0.021
Cavity,接收,4,WNT5A_SFRP1,Connective tissue,SFRP1,WNT5A,0.53,0.0
Cavity,接收,5,PDGFA_PDGFRA,Connective tissue,PDGFRA,PDGFA,0.527,0.0
Cavity,接收,6,EFNA5_EPHA3,Connective tissue,EPHA3,EFNA5,0.525,0.0
Cavity,接收,7,WNT2_SFRP1,Connective tissue,SFRP1,WNT2,0.523,0.0
Cavity,接收,8,EFNA4_EPHA3,Connective tissue,EPHA3,EFNA4,0.46,0.0
Cavity,接收,9,TNC_integrin_a9b1_complex,Connective tissue,integrin,TNC,0.337,0.0
Cavity,接收,10,WNT5A_ROR1,Connective tissue,ROR1,WNT5A,0.267,0.031
Connective tissue,发送,1,IGF2_IGF2R,Connective tissue,IGF2,IGF2R,1.955,0.0
Connective tissue,发送,2,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.786,0.0
Connective tissue,发送,3,DLK1_NOTCH2,Connective tissue,DLK1,NOTCH2,1.576,0.0
Connective tissue,发送,4,DLK1_NOTCH1,Connective tissue,DLK1,NOTCH1,1.478,0.0
Connective tissue,发送,5,DLK1_NOTCH3,Connective tissue,DLK1,NOTCH3,1.401,0.0
Connective tissue,发送,6,COL3A1_integrin_a11b1_complex,Connective tissue,COL3A1,integrin,1.082,0.0
Connective tissue,发送,7,FN1_integrin_a8b1_complex,Connective tissue,FN1,integrin,0.869,0.02
Connective tissue,发送,8,COL1A1_integrin_a11b1_complex,Connective tissue,COL1A1,integrin,0.844,0.0
Connective tissue,发送,9,MPZL1_MPZL1,Connective tissue,MPZL1,MPZL1,0.819,0.003
Connective tissue,发送,10,COL18A1_integrin_a11b1_complex,Connective tissue,COL18A1,integrin,0.803,0.0
Connective tissue,接收,1,IGF2_IGF2R,Connective tissue,IGF2R,IGF2,1.955,0.0
Connective tissue,接收,2,IGF2_IGF1R,Connective tissue,IGF1R,IGF2,1.786,0.0
Connective tissue,接收,3,DLK1_NOTCH2,Connective tissue,NOTCH2,DLK1,1.576,0.0
Connective tissue,接收,4,DLK1_NOTCH1,Connective tissue,NOTCH1,DLK1,1.478,0.0
Connective tissue,接收,5,DLK1_NOTCH3,Connective tissue,NOTCH3,DLK1,1.401,0.0
Connective tissue,接收,6,COL3A1_integrin_a11b1_complex,Connective tissue,integrin,COL3A1,1.082,0.0
Connective tissue,接收,7,FN1_integrin_a8b1_complex,Connective tissue,integrin,FN1,0.869,0.02
Connective tissue,接收,8,COL1A1_integrin_a11b1_complex,Connective tissue,integrin,COL1A1,0.844,0.0
Connective tissue,接收,9,MPZL1_MPZL1,Connective tissue,MPZL1,MPZL1,0.819,0.003
Connective tissue,接收,10,COL18A1_integrin_a11b1_complex,Connective tissue,integrin,COL18A1,0.803,0.0
Connective tissue_1_30_Target,发送,1,IGF2_IGF2R,Connective tissue,IGF2,IGF2R,2.004,0.0
Connective tissue_1_30_Target,发送,2,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.805,0.0
Connective tissue_1_30_Target,发送,3,DLK1_NOTCH2,Connective tissue,DLK1,NOTCH2,1.502,0.0
Connective tissue_1_30_Target,发送,4,DLK1_NOTCH1,Connective tissue,DLK1,NOTCH1,1.409,0.0
Connective tissue_1_30_Target,发送,5,DLK1_NOTCH3,Connective tissue,DLK1,NOTCH3,1.407,0.0
Connective tissue_1_30_Target,发送,6,COL3A1_integrin_a1b1_complex,Connective tissue,COL3A1,integrin,1.075,0.0
Connective tissue_1_30_Target,发送,7,COL1A1_integrin_a1b1_complex,Connective tissue,COL1A1,integrin,0.837,0.0
Connective tissue_1_30_Target,发送,8,COL18A1_integrin_a1b1_complex,Connective tissue,COL18A1,integrin,0.796,0.0
Connective tissue_1_30_Target,发送,9,MPZL1_MPZL1,Connective tissue,MPZL1,MPZL1,0.779,0.007
Connective tissue_1_30_Target,发送,10,COL1A2_integrin_a1b1_complex,Connective tissue,COL1A2,integrin,0.775,0.0
Connective tissue_1_30_Target,接收,1,IGF2_IGF2R,Connective tissue,IGF2R,IGF2,1.909,0.009
Connective tissue_1_30_Target,接收,2,IGF2_IGF1R,Connective tissue,IGF1R,IGF2,1.74,0.0
Connective tissue_1_30_Target,接收,3,DLK1_NOTCH2,Connective tissue,NOTCH2,DLK1,1.423,0.0
Connective tissue_1_30_Target,接收,4,DLK1_NOTCH1,Connective tissue,NOTCH1,DLK1,1.325,0.0
Connective tissue_1_30_Target,接收,5,COL3A1_integrin_a11b1_complex,Connective tissue,integrin,COL3A1,1.284,0.0
Connective tissue_1_30_Target,接收,6,DLK1_NOTCH3,Connective tissue,NOTCH3,DLK1,1.248,0.0
Connective tissue_1_30_Target,接收,7,FGF10_FGFR2,Connective tissue,FGFR2,FGF10,1.175,0.0
Connective tissue_1_30_Target,接收,8,COL1A2_integrin_a11b1_complex,Connective tissue,integrin,COL1A2,1.001,0.0
Connective tissue_1_30_Target,接收,9,FN1_integrin_aVb5_complex,Connective tissue,integrin,FN1,0.976,0.006
Connective tissue_1_30_Target,接收,10,FN1_integrin_aVb1_complex,Connective tissue,integrin,FN1,0.976,0.027
Dermomyotome,发送,1,IGF2_IGF1R,Connective tissue,IGF2,IGF1R,1.738,0.002
