邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Dermomyotome,IGF2,IGF1R,1.724,0.0
AGM,发送,2,CADM1_CADM1,Dermomyotome,CADM1,CADM1,0.944,0.0
AGM,发送,3,MPZL1_MPZL1,Dermomyotome,MPZL1,MPZL1,0.812,0.006
AGM,发送,4,CADM1_NECTIN3,Dermomyotome,CADM1,NECTIN3,0.811,0.0
AGM,发送,5,PDGFC_PDGFRA,Dermomyotome,PDGFC,PDGFRA,0.761,0.0
AGM,发送,6,COL4A1_integrin_a11b1_complex,Dermomyotome,COL4A1,integrin,0.678,0.0
AGM,发送,7,NTN1_UNC5C,Dermomyotome,NTN1,UNC5C,0.612,0.0
AGM,发送,8,NTN1_UNC5B,Dermomyotome,NTN1,UNC5B,0.568,0.0
AGM,发送,9,TENM4_ADGRL2,Dermomyotome,TENM4,ADGRL2,0.543,0.02
AGM,发送,10,BMPR1B_BMPR2_BMPR1A,Dermomyotome,BMPR1B,BMPR2,0.536,0.0
AGM,发送,11,COL2A1_integrin_a11b1_complex,Dermomyotome,COL2A1,integrin,0.526,0.001
AGM,发送,12,IGF1_IGF1R_enhancerComGPC3,Dermomyotome,IGF1,IGF1R,0.524,0.0
AGM,发送,13,IGF1_IGF1R,Dermomyotome,IGF1,IGF1R,0.524,0.0
AGM,发送,14,PTPRD_IL1RAPL1,Dermomyotome,PTPRD,IL1RAPL1,0.513,0.0
AGM,发送,15,EFNA5_EPHA7,Dermomyotome,EFNA5,EPHA7,0.511,0.0
AGM,发送,16,JAM3_JAM3,Dermomyotome,JAM3,JAM3,0.499,0.001
AGM,发送,17,SLIT2_ROBO1,Dermomyotome,SLIT2,ROBO1,0.497,0.027
AGM,发送,18,NCAM1_FGFR1,Dermomyotome,NCAM1,FGFR1,0.486,0.025
AGM,发送,19,EFNA5_EPHB2,Dermomyotome,EFNA5,EPHB2,0.475,0.016
AGM,发送,20,WNT16_SFRP1,Dermomyotome,WNT16,SFRP1,0.472,0.0
AGM,发送,21,SEMA3A_PlexinA2_complex1,Dermomyotome,SEMA3A,PlexinA2,0.464,0.001
AGM,发送,22,SEMA3A_NRP1,Dermomyotome,SEMA3A,NRP1,0.464,0.001
AGM,发送,23,TENM3_ADGRL3,Dermomyotome,TENM3,ADGRL3,0.461,0.007
AGM,发送,24,EFNA5_EPHA4,Dermomyotome,EFNA5,EPHA4,0.449,0.008
AGM,发送,25,MSTN_TGFR_AVR2B,Dermomyotome,MSTN,TGFR,0.443,0.0
AGM,发送,26,WNT5B_SFRP1,Dermomyotome,WNT5B,SFRP1,0.443,0.001
AGM,发送,27,TENM3_ADGRL1,Dermomyotome,TENM3,ADGRL1,0.441,0.046
AGM,发送,28,SEMA3A_PlexinA1_complex3,Dermomyotome,SEMA3A,PlexinA1,0.44,0.001
AGM,发送,29,SLIT1_ROBO1,Dermomyotome,SLIT1,ROBO1,0.438,0.0
AGM,发送,30,NECTIN1_NECTIN3,Dermomyotome,NECTIN1,NECTIN3,0.429,0.01
AGM,发送,31,MSTN_TGFR_AVR2A,Dermomyotome,MSTN,TGFR,0.426,0.0
AGM,发送,32,COL26A1_integrin_a11b1_complex,Dermomyotome,COL26A1,integrin,0.407,0.0
AGM,发送,33,TENM4_ADGRL3,Dermomyotome,TENM4,ADGRL3,0.396,0.001
AGM,发送,34,SEMA3A_PlexinA3_complex1,Dermomyotome,SEMA3A,PlexinA3,0.393,0.002
AGM,发送,35,TENM4_ADGRL1,Dermomyotome,TENM4,ADGRL1,0.376,0.006
AGM,发送,36,VEGFA_NRP2,Dermomyotome,VEGFA,NRP2,0.365,0.013
AGM,发送,37,TGFB2_TGFBR3,Dermomyotome,TGFB2,TGFBR3,0.364,0.0
AGM,发送,38,IGFBP3_TMEM219,Dermomyotome,IGFBP3,TMEM219,0.361,0.0
