邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF1R,Heart,IGF2,IGF1R,2.086,0.003
AGM,发送,2,FGF2_FGFR2,Heart,FGF2,FGFR2,1.192,0.013
AGM,发送,3,COL18A1_integrin_a1b1_complex,Heart,COL18A1,integrin,1.05,0.017
AGM,发送,4,COL18A1_integrin_a11b1_complex,Heart,COL18A1,integrin,1.043,0.004
AGM,发送,5,MPZL1_MPZL1,Heart,MPZL1,MPZL1,0.992,0.005
AGM,发送,6,AGRN_PTPRS,Heart,AGRN,PTPRS,0.777,0.005
AGM,发送,7,CDH5_CDH5,Heart,CDH5,CDH5,0.705,0.001
AGM,发送,8,WNT5B_SFRP1,Heart,WNT5B,SFRP1,0.637,0.0
AGM,发送,9,ESAM_ESAM,Heart,ESAM,ESAM,0.617,0.001
AGM,发送,10,LRFN4_PTPRD,Heart,LRFN4,PTPRD,0.588,0.009
AGM,发送,11,LRFN5_PTPRD,Heart,LRFN5,PTPRD,0.561,0.001
AGM,发送,12,BMP4_BMR1B_AVR2A,Heart,BMP4,BMR1B,0.554,0.038
AGM,发送,13,BMP4_BMPR1B_BMPR2,Heart,BMP4,BMPR1B,0.554,0.038
AGM,发送,14,BMP4_BMR1B_AVR2B,Heart,BMP4,BMR1B,0.554,0.038
AGM,发送,15,NRXN3_ADGRL1,Heart,NRXN3,ADGRL1,0.55,0.004
AGM,发送,16,WNT2_SFRP1,Heart,WNT2,SFRP1,0.539,0.005
AGM,发送,17,TENM2_FLRT3_complex_ADGRL2,Heart,TENM2,FLRT3,0.522,0.01
AGM,发送,18,TENM2_ADGRL2,Heart,TENM2,ADGRL2,0.522,0.03
AGM,发送,19,COL4A2_integrin_a11b1_complex,Heart,COL4A2,integrin,0.503,0.011
AGM,发送,20,WNT6_SFRP1,Heart,WNT6,SFRP1,0.501,0.005
AGM,发送,21,CD93_IFNGR1,Heart,CD93,IFNGR1,0.49,0.001
AGM,发送,22,WNT4_SFRP1,Heart,WNT4,SFRP1,0.479,0.003
AGM,发送,23,WNT7B_SFRP1,Heart,WNT7B,SFRP1,0.47,0.001
AGM,发送,24,WNT5B_SFRP2,Heart,WNT5B,SFRP2,0.414,0.001
AGM,发送,25,FGF2_FGFR1,Heart,FGF2,FGFR1,0.397,0.0
AGM,发送,26,LRFN5_PTPRS,Heart,LRFN5,PTPRS,0.389,0.022
