邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.184,0.014
AGM,发送,2,COL18A1_integrin_a1b1_complex,Mesenchyme,COL18A1,integrin,0.883,0.0
AGM,发送,3,COL18A1_integrin_a11b1_complex,Mesenchyme,COL18A1,integrin,0.865,0.0
AGM,发送,4,TENM2_ADGRL2,Mesenchyme,TENM2,ADGRL2,0.423,0.037
AGM,发送,5,TENM2_FLRT3_complex_ADGRL2,Mesenchyme,TENM2,FLRT3,0.423,0.037
AGM,发送,6,VEGFB_NRP1,Mesenchyme,VEGFB,NRP1,0.422,0.0
AGM,发送,7,WNT7B_SFRP1,Mesenchyme,WNT7B,SFRP1,0.383,0.0
AGM,发送,8,VEGFB_FLT1_complex,Mesenchyme,VEGFB,FLT1,0.374,0.0
AGM,发送,9,VEGFB_FLT1,Mesenchyme,VEGFB,FLT1,0.374,0.0
AGM,发送,10,WNT6_SFRP1,Mesenchyme,WNT6,SFRP1,0.372,0.0
AGM,发送,11,CDH3_CDH3,Mesenchyme,CDH3,CDH3,0.349,0.001
AGM,发送,12,VEGFA_NRP1,Mesenchyme,VEGFA,NRP1,0.308,0.012
AGM,发送,13,BMP4_BMR1B_AVR2B,Mesenchyme,BMP4,BMR1B,0.299,0.05
AGM,发送,14,BMP7_BMR1A_AVR2B,Mesenchyme,BMP7,BMR1A,0.298,0.031
AGM,发送,15,BMP7_BMPR1B_BMPR2,Mesenchyme,BMP7,BMPR1B,0.28,0.03
AGM,发送,16,BMP7_BMR1B_AVR2B,Mesenchyme,BMP7,BMR1B,0.28,0.016
AGM,发送,17,Glutamate_byGLS_and_SLC1A3_GRIK2,Mesenchyme,Glutamate,byGLS,0.276,0.011
AGM,发送,18,WNT7B_SFRP2,Mesenchyme,WNT7B,SFRP2,0.267,0.016
AGM,发送,19,WNT5A_FZD4_LRP6,Mesenchyme,WNT5A,FZD4,0.259,0.013
AGM,发送,20,WNT7B_FZD4_LRP6,Mesenchyme,WNT7B,FZD4,0.252,0.0
AGM,发送,21,WNT7B_FZD1_LRP6,Mesenchyme,WNT7B,FZD1,0.252,0.0
AGM,发送,22,WNT7B_FZD3_LRP6,Mesenchyme,WNT7B,FZD3,0.252,0.0
AGM,发送,23,WNT7B_FZD2_LRP6,Mesenchyme,WNT7B,FZD2,0.252,0.0
AGM,发送,24,WNT6_FZD4_LRP6,Mesenchyme,WNT6,FZD4,0.241,0.0
AGM,发送,25,WNT6_FZD1_LRP6,Mesenchyme,WNT6,FZD1,0.241,0.002
AGM,发送,26,WNT6_FZD2_LRP6,Mesenchyme,WNT6,FZD2,0.241,0.006
AGM,发送,27,WNT6_FZD3_LRP6,Mesenchyme,WNT6,FZD3,0.241,0.006
AGM,发送,28,WNT5A_FZD4_LRP5,Mesenchyme,WNT5A,FZD4,0.24,0.048
AGM,发送,29,WNT7B_FZD4_LRP5,Mesenchyme,WNT7B,FZD4,0.233,0.0
AGM,发送,30,WNT7B_FZD2_LRP5,Mesenchyme,WNT7B,FZD2,0.233,0.007
AGM,发送,31,WNT7B_FZD3_LRP5,Mesenchyme,WNT7B,FZD3,0.233,0.007
AGM,发送,32,WNT7B_FZD1_LRP5,Mesenchyme,WNT7B,FZD1,0.233,0.002
AGM,发送,33,WNT7B_FZD7_LRP5,Mesenchyme,WNT7B,FZD7,0.226,0.013
AGM,发送,34,WNT7B_FZD7_LRP6,Mesenchyme,WNT7B,FZD7,0.226,0.002
AGM,发送,35,WNT6_FZD4_LRP5,Mesenchyme,WNT6,FZD4,0.222,0.0
AGM,发送,36,WNT6_FZD1_LRP5,Mesenchyme,WNT6,FZD1,0.222,0.025
AGM,发送,37,BMP7_ACVR_1A2A_receptor,Mesenchyme,BMP7,ACVR,0.218,0.004
AGM,发送,38,BMP7_ACVR1_BMPR2,Mesenchyme,BMP7,ACVR1,0.218,0.004
AGM,发送,39,BMP7_ACVR_1A2B_receptor,Mesenchyme,BMP7,ACVR,0.218,0.004
AGM,发送,40,WNT6_FZD7_LRP6,Mesenchyme,WNT6,FZD7,0.215,0.029
AGM,发送,41,Glutamate_byGLS_and_SLC1A3_GRIA3,Mesenchyme,Glutamate,byGLS,0.206,0.022
AGM,发送,42,NPPA_NPR1,Mesenchyme,NPPA,NPR1,0.182,0.001
AGM,发送,43,BMP5_ACVR_1A2A_receptor,Mesenchyme,BMP5,ACVR,0.177,0.043
AGM,发送,44,BMP5_ACVR1_BMPR2,Mesenchyme,BMP5,ACVR1,0.177,0.044
AGM,发送,45,BMP5_ACVR_1A2B_receptor,Mesenchyme,BMP5,ACVR,0.177,0.044
AGM,发送,46,WNT7B_FZD6_LRP5,Mesenchyme,WNT7B,FZD6,0.172,0.0
AGM,发送,47,WNT7B_FZD6_LRP6,Mesenchyme,WNT7B,FZD6,0.172,0.0
AGM,发送,48,WNT7B_FRZB,Mesenchyme,WNT7B,FRZB,0.164,0.009
AGM,发送,49,WNT6_FZD6_LRP5,Mesenchyme,WNT6,FZD6,0.161,0.003
AGM,发送,50,WNT6_FZD6_LRP6,Mesenchyme,WNT6,FZD6,0.161,0.003
AGM,发送,51,WNT7B_FZD8_LRP5,Mesenchyme,WNT7B,FZD8,0.151,0.007
AGM,发送,52,WNT7B_FZD8_LRP6,Mesenchyme,WNT7B,FZD8,0.151,0.007
AGM,接收,1,IGF2_IGF2R,Mesenchyme,IGF2R,IGF2,1.735,0.001
AGM,接收,2,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Mesenchyme,byALDH1A2,atRetinoicAcid,0.652,0.0
AGM,接收,3,atRetinoicAcid_byALDH1A2_RAreceptor_RXRA,Mesenchyme,byALDH1A2,atRetinoicAcid,0.635,0.0
AGM,接收,4,atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA,Mesenchyme,byALDH1A2,atRetinoicAcid,0.631,0.0
AGM,接收,5,atRetinoicAcid_byALDH1A2_RAreceptor_RARA,Mesenchyme,byALDH1A2,atRetinoicAcid,0.631,0.0
AGM,接收,6,EFNA5_EPHA7,Mesenchyme,EPHA7,EFNA5,0.576,0.025
AGM,接收,7,DAG1_NRXN3,Mesenchyme,NRXN3,DAG1,0.534,0.006
AGM,接收,8,SLIT2_ROBO1,Mesenchyme,ROBO1,SLIT2,0.512,0.038
AGM,接收,9,NRXN1_DAG1,Mesenchyme,DAG1,NRXN1,0.49,0.05
AGM,接收,10,TENM4_FLRT3_complex_ADGRL1,Mesenchyme,FLRT3,TENM4,0.401,0.004
AGM,接收,11,TENM3_FLRT3_complex_ADGRL3,Mesenchyme,FLRT3,TENM3,0.389,0.009
AGM,接收,12,FLRT3_ADGRL3,Mesenchyme,ADGRL3,FLRT3,0.389,0.009
AGM,接收,13,CDH3_CDH3,Mesenchyme,CDH3,CDH3,0.349,0.001
AGM,接收,14,LRPAP1_SORT1,Mesenchyme,SORT1,LRPAP1,0.319,0.039
AGM,接收,15,KITLG_KIT,Mesenchyme,KIT,KITLG,0.311,0.0
AGM,接收,16,NLGN1_NRXN3,Mesenchyme,NRXN3,NLGN1,0.287,0.037
AGM,接收,17,PDGFD_PDGFRB,Mesenchyme,PDGFRB,PDGFD,0.274,0.004
AGM,接收,18,PDGFD_PDGFR_complex,Mesenchyme,PDGFR,PDGFD,0.25,0.023
AGM,接收,19,DKK1_LRP5,Mesenchyme,LRP5,DKK1,0.2,0.031
AGM,接收,20,JAG1_VASN,Mesenchyme,VASN,JAG1,0.179,0.004
Brain,发送,1,DLK1_NOTCH1,Mesenchyme,DLK1,NOTCH1,1.41,0.0
Brain,发送,2,DLK1_NOTCH2,Mesenchyme,DLK1,NOTCH2,1.269,0.013
Brain,发送,3,DLK1_NOTCH3,Mesenchyme,DLK1,NOTCH3,1.241,0.0
Brain,发送,4,COL3A1_ADGRG1,Mesenchyme,COL3A1,ADGRG1,1.039,0.0
Brain,发送,5,COL18A1_integrin_a1b1_complex,Mesenchyme,COL18A1,integrin,0.927,0.0
Brain,发送,6,COL4A1_integrin_a1b1_complex,Mesenchyme,COL4A1,integrin,0.705,0.008
Brain,发送,7,COL2A1_integrin_a1b1_complex,Mesenchyme,COL2A1,integrin,0.689,0.02
Brain,发送,8,NTN1_DCC,Mesenchyme,NTN1,DCC,0.592,0.0
Brain,发送,9,DAG1_NRXN3,Mesenchyme,DAG1,NRXN3,0.525,0.025
Brain,发送,10,NCAM1_AGRN,Mesenchyme,NCAM1,AGRN,0.506,0.048
Brain,发送,11,COL1A1_integrin_a1b1_complex,Mesenchyme,COL1A1,integrin,0.486,0.022
Brain,发送,12,APP_PLXNA4,Mesenchyme,APP,PLXNA4,0.45,0.05
Brain,发送,13,WNT5A_SFRP1,Mesenchyme,WNT5A,SFRP1,0.444,0.004
Brain,发送,14,WNT7B_SFRP1,Mesenchyme,WNT7B,SFRP1,0.437,0.0
Brain,发送,15,EFNB3_EPHB2,Mesenchyme,EFNB3,EPHB2,0.431,0.004
Brain,发送,16,WNT6_SFRP1,Mesenchyme,WNT6,SFRP1,0.426,0.0
Brain,发送,17,SLITRK5_PTPRS,Mesenchyme,SLITRK5,PTPRS,0.415,0.008
Brain,发送,18,CDH5_CDH5,Mesenchyme,CDH5,CDH5,0.413,0.0
Brain,发送,19,EFNB3_EPHA4,Mesenchyme,EFNB3,EPHA4,0.391,0.012
