邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest_1_17_Target,155,66.082,0.4263354838709677,1.737,0.115
Branchial arch,136,55.454000000000015,0.4077500000000001,1.826,0.124
Notochord,106,53.062,0.5005849056603774,1.718,0.126
Neural crest,126,52.15899999999999,0.4139603174603174,1.653,0.112
Brain,108,49.24300000000001,0.4559537037037038,1.613,0.118
Heart,108,48.361000000000004,0.4477870370370371,2.333,0.114
Sclerotome,102,43.089000000000006,0.42244117647058826,1.701,0.12
AGM,85,40.41599999999999,0.47548235294117636,1.845,0.142
Mesenchyme,50,22.829,0.45658,1.673,0.125
Liver,45,20.369999999999997,0.4526666666666666,1.858,0.162
Cavity,29,14.412999999999997,0.4969999999999999,1.104,0.121
