邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,144,62.75800000000001,0.43581944444444454,2.096,0.136
Neural crest_1_17_Target,122,56.37900000000001,0.46212295081967225,1.839,0.115
Neural crest,126,52.15899999999999,0.4139603174603174,1.653,0.112
AGM,133,49.83499999999998,0.3746992481203006,1.574,0.119
Sclerotome,94,46.03199999999999,0.4897021276595744,1.165,0.12
Branchial arch,102,45.812,0.44913725490196077,1.885,0.119
Notochord,96,44.410999999999994,0.4626145833333333,1.124,0.155
Mesenchyme,74,32.257000000000005,0.43590540540540545,1.135,0.143
Brain,78,26.613999999999997,0.34120512820512816,1.153,0.111
Liver,64,25.216,0.394,1.696,0.137
Cavity,9,3.099,0.3443333333333334,0.497,0.106
