邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest_1_17_Target,155,122,277,66.082,56.37900000000001,122.46100000000001,0.4263354838709677,0.46212295081967225,0.4420974729241878
Heart,108,144,252,48.361000000000004,62.75800000000001,111.11900000000001,0.4477870370370371,0.43581944444444454,0.44094841269841273
Neural crest,126,126,252,52.15899999999999,52.15899999999999,104.31799999999998,0.4139603174603174,0.4139603174603174,0.4139603174603174
Branchial arch,136,102,238,55.454000000000015,45.812,101.26600000000002,0.4077500000000001,0.44913725490196077,0.42548739495798327
Notochord,106,96,202,53.062,44.410999999999994,97.47299999999998,0.5005849056603774,0.4626145833333333,0.48253960396039597
AGM,85,133,218,40.41599999999999,49.83499999999998,90.25099999999998,0.47548235294117636,0.3746992481203006,0.41399541284403657
Sclerotome,102,94,196,43.089000000000006,46.03199999999999,89.121,0.42244117647058826,0.4897021276595744,0.4546989795918367
Brain,108,78,186,49.24300000000001,26.613999999999997,75.857,0.4559537037037038,0.34120512820512816,0.4078333333333333
Mesenchyme,50,74,124,22.829,32.257000000000005,55.086000000000006,0.45658,0.43590540540540545,0.44424193548387103
Liver,45,64,109,20.369999999999997,25.216,45.586,0.4526666666666666,0.394,0.4182201834862385
Cavity,29,9,38,14.412999999999997,3.099,17.511999999999997,0.4969999999999999,0.3443333333333334,0.46084210526315783
