邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,IGF2_IGF2R,Neural crest,IGF2,IGF2R,2.014,0.0
AGM,发送,2,IGF2_IGF1R,Neural crest,IGF2,IGF1R,1.782,0.0
AGM,发送,3,COL3A1_integrin_a1b1_complex,Neural crest,COL3A1,integrin,1.046,0.0
AGM,发送,4,COL3A1_integrin_a11b1_complex,Neural crest,COL3A1,integrin,1.031,0.0
AGM,发送,5,COL2A1_integrin_a1b1_complex,Neural crest,COL2A1,integrin,0.927,0.0
AGM,发送,6,COL2A1_integrin_a11b1_complex,Neural crest,COL2A1,integrin,0.912,0.0
AGM,发送,7,FN1_integrin_a8b1_complex,Neural crest,FN1,integrin,0.909,0.0
AGM,发送,8,FLRT2_ADGRL1,Neural crest,FLRT2,ADGRL1,0.908,0.0
AGM,发送,9,FLRT2_ADGRL3,Neural crest,FLRT2,ADGRL3,0.87,0.0
AGM,发送,10,COL18A1_integrin_a1b1_complex,Neural crest,COL18A1,integrin,0.868,0.001
AGM,发送,11,COL18A1_integrin_a11b1_complex,Neural crest,COL18A1,integrin,0.853,0.0
AGM,发送,12,COL4A1_integrin_a1b1_complex,Neural crest,COL4A1,integrin,0.833,0.0
AGM,发送,13,COL4A1_integrin_a11b1_complex,Neural crest,COL4A1,integrin,0.818,0.0
AGM,发送,14,TENM3_ADGRL2,Neural crest,TENM3,ADGRL2,0.807,0.0
AGM,发送,15,EFNA5_EPHA7,Neural crest,EFNA5,EPHA7,0.752,0.0
AGM,发送,16,CADM1_NECTIN3,Neural crest,CADM1,NECTIN3,0.717,0.032
AGM,发送,17,SLIT2_ROBO1,Neural crest,SLIT2,ROBO1,0.713,0.0
AGM,发送,18,TENM4_ADGRL2,Neural crest,TENM4,ADGRL2,0.706,0.0
AGM,发送,19,TENM2_ADGRL2,Neural crest,TENM2,ADGRL2,0.7,0.0
AGM,发送,20,COL1A2_integrin_a1b1_complex,Neural crest,COL1A2,integrin,0.696,0.0
AGM,发送,21,COL1A2_integrin_a11b1_complex,Neural crest,COL1A2,integrin,0.68,0.0
AGM,发送,22,APP_FPR2,Neural crest,APP,FPR2,0.665,0.002
AGM,发送,23,EFNA5_EPHB2,Neural crest,EFNA5,EPHB2,0.661,0.0
AGM,发送,24,EFNA5_EPHA4,Neural crest,EFNA5,EPHA4,0.661,0.0
AGM,发送,25,TENM2_FLRT3_complex_ADGRL2,Neural crest,TENM2,FLRT3,0.615,0.0
AGM,发送,26,FLRT3_ADGRL2,Neural crest,FLRT3,ADGRL2,0.615,0.0
AGM,发送,27,APP_TNFRSF21,Neural crest,APP,TNFRSF21,0.612,0.004
AGM,发送,28,PDGFC_PDGFRA,Neural crest,PDGFC,PDGFRA,0.599,0.035
AGM,发送,29,NCAM1_FGFR1,Neural crest,NCAM1,FGFR1,0.587,0.0
AGM,发送,30,NTN1_UNC5C,Neural crest,NTN1,UNC5C,0.584,0.003
AGM,发送,31,BMPR1B_BMPR2_BMPR1A,Neural crest,BMPR1B,BMPR2,0.577,0.019
AGM,发送,32,GJC1_GJC1,Neural crest,GJC1,GJC1,0.573,0.008
AGM,发送,33,APP_SORL1,Neural crest,APP,SORL1,0.568,0.04
AGM,发送,34,LRFN4_PTPRD,Neural crest,LRFN4,PTPRD,0.563,0.003
AGM,发送,35,EFNA5_EPHA3,Neural crest,EFNA5,EPHA3,0.539,0.001
AGM,发送,36,COL1A1_integrin_a1b1_complex,Neural crest,COL1A1,integrin,0.521,0.0
AGM,发送,37,PTPRD_IL1RAPL1,Neural crest,PTPRD,IL1RAPL1,0.518,0.001
AGM,发送,38,EFNA5_EPHA5,Neural crest,EFNA5,EPHA5,0.517,0.0
AGM,发送,39,SLIT2_ROBO2,Neural crest,SLIT2,ROBO2,0.509,0.024
AGM,发送,40,COL1A1_integrin_a11b1_complex,Neural crest,COL1A1,integrin,0.506,0.0
AGM,发送,41,SLIT1_ROBO1,Neural crest,SLIT1,ROBO1,0.502,0.0
AGM,发送,42,COL4A2_integrin_a1b1_complex,Neural crest,COL4A2,integrin,0.488,0.0
AGM,发送,43,PDGFA_PDGFRA,Neural crest,PDGFA,PDGFRA,0.474,0.0
AGM,发送,44,COL4A2_integrin_a11b1_complex,Neural crest,COL4A2,integrin,0.473,0.0
AGM,发送,45,WNT5A_SFRP2,Neural crest,WNT5A,SFRP2,0.465,0.025
AGM,发送,46,SDC1_ADGRA2,Neural crest,SDC1,ADGRA2,0.458,0.015
AGM,发送,47,SEMA6A_PlexinA2_complex1,Neural crest,SEMA6A,PlexinA2,0.452,0.0
AGM,发送,48,EFNB2_EPHB2,Neural crest,EFNB2,EPHB2,0.444,0.031
AGM,发送,49,VTN_integrin_aVb1_complex,Neural crest,VTN,integrin,0.443,0.0
