邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Neural crest,139,139,278,69.02899999999998,69.02899999999998,138.05799999999996,0.4966115107913668,0.4966115107913668,0.4966115107913668,0.47936805555555545,0.47936805555555545,0.9652777777777778,0.9652777777777778,1.9305555555555556
Neural crest_1_25_Target,142,144,286,69.217,67.657,136.874,0.487443661971831,0.46984027777777776,0.4785804195804196,0.46984027777777776,0.4806736111111111,0.9861111111111112,1.0,1.9861111111111112
Notochord,116,119,235,66.438,58.687999999999995,125.126,0.5727413793103449,0.49317647058823527,0.5324510638297872,0.4075555555555555,0.46137500000000004,0.8055555555555556,0.8263888888888888,1.6319444444444444
Heart,89,152,241,44.11300000000001,71.77,115.88300000000001,0.4956516853932585,0.47217105263157894,0.4808423236514523,0.49840277777777775,0.30634027777777784,0.6180555555555556,1.0555555555555556,1.6736111111111112
Branchial arch,116,122,238,57.79000000000002,56.447,114.23700000000002,0.498189655172414,0.4626803278688525,0.4799873949579833,0.3919930555555556,0.40131944444444456,0.8055555555555556,0.8472222222222222,1.6527777777777777
AGM,81,137,218,44.59,55.196999999999996,99.787,0.5504938271604939,0.4028978102189781,0.45773853211009174,0.38331249999999994,0.3096527777777778,0.5625,0.9513888888888888,1.5138888888888888
Sclerotome,91,105,196,42.94899999999999,53.82799999999999,96.77699999999999,0.47196703296703285,0.5126476190476189,0.49376020408163257,0.3738055555555555,0.2982569444444444,0.6319444444444444,0.7291666666666666,1.3611111111111112
Brain,91,98,189,44.195000000000014,37.099000000000004,81.29400000000001,0.4856593406593408,0.37856122448979596,0.4301269841269842,0.2576319444444445,0.30690972222222235,0.6319444444444444,0.6805555555555556,1.3125
Mesenchyme,37,84,121,21.167,37.83800000000001,59.00500000000001,0.5720810810810811,0.45045238095238105,0.48764462809917364,0.26276388888888896,0.14699305555555556,0.2569444444444444,0.5833333333333334,0.8402777777777778
Liver,38,53,91,21.718999999999998,23.047,44.766,0.5715526315789473,0.4348490566037736,0.4919340659340659,0.16004861111111113,0.15082638888888888,0.2638888888888889,0.3680555555555556,0.6319444444444444
Dermomyotome,11,28,39,9.988,23.982,33.97,0.9079999999999999,0.8564999999999999,0.871025641025641,0.16654166666666667,0.06936111111111111,0.0763888888888889,0.19444444444444445,0.2708333333333333
Cavity,23,6,29,12.738999999999999,2.9090000000000003,15.648,0.5538695652173913,0.4848333333333334,0.5395862068965517,0.02020138888888889,0.08846527777777777,0.1597222222222222,0.041666666666666664,0.2013888888888889
