邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,124,50.225999999999985,0.4050483870967741,1.234,0.119
Sclerotome,108,40.845,0.37819444444444444,1.132,0.117
Branchial arch,83,39.81,0.4796385542168675,1.965,0.169
Heart,64,25.567000000000004,0.39948437500000006,2.261,0.165
AGM_1_24_Target,58,24.737,0.4265,1.177,0.115
Dermomyotome,42,18.195,0.4332142857142857,1.141,0.13
Liver,34,15.050999999999998,0.4426764705882352,1.35,0.125
Brain,17,13.814,0.8125882352941176,1.421,0.437
Connective tissue,35,13.749,0.39282857142857147,0.673,0.107
AGM,26,10.360999999999999,0.39849999999999997,1.145,0.144
Mesenchyme,19,7.555000000000001,0.39763157894736845,0.811,0.105
Cavity,8,2.889,0.361125,0.508,0.178
