邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Connective tissue,194,72.05300000000005,0.37140721649484565,1.956,0.096
Neural crest,150,62.90699999999999,0.4193799999999999,2.066,0.085
Heart,133,56.498999999999995,0.42480451127819546,2.076,0.112
Sclerotome,132,51.310999999999986,0.3887196969696969,0.967,0.091
Branchial arch,109,42.709999999999994,0.39183486238532106,0.925,0.076
Dermomyotome,95,37.22,0.3917894736842105,1.349,0.099
AGM,106,33.30499999999999,0.3141981132075471,0.722,0.096
Mesenchyme,98,31.735999999999997,0.3238367346938775,1.344,0.12
Liver,70,31.325999999999997,0.4475142857142857,1.681,0.128
AGM_1_29_Target,75,29.052,0.38736,1.135,0.098
Brain,16,16.409,1.0255625,1.416,0.459
Cavity,3,0.935,0.3116666666666667,0.508,0.099
