邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,PPIA_BSG,Brain,PPIA,BSG,1.158,0.0
Brain,发送,2,MDK_PTPRZ1,Brain,MDK,PTPRZ1,1.053,0.0
Brain,发送,3,CDH2_CDH2,Brain,CDH2,CDH2,0.84,0.0
Brain,发送,4,LRRC4C_PTPRF,Brain,LRRC4C,PTPRF,0.785,0.0
Brain,发送,5,CADM1_CADM1,Brain,CADM1,CADM1,0.73,0.034
Brain,发送,6,TENM3_ADGRL2,Brain,TENM3,ADGRL2,0.724,0.0
Brain,发送,7,LRFN4_PTPRF,Brain,LRFN4,PTPRF,0.702,0.006
Brain,发送,8,CADM1_NECTIN3,Brain,CADM1,NECTIN3,0.68,0.019
Brain,发送,9,TENM4_ADGRL2,Brain,TENM4,ADGRL2,0.606,0.039
Brain,发送,10,NTN1_DCC,Brain,NTN1,DCC,0.6,0.0
Brain,接收,1,PPIA_BSG,Brain,BSG,PPIA,1.158,0.0
Brain,接收,2,MDK_PTPRZ1,Brain,PTPRZ1,MDK,1.053,0.0
Brain,接收,3,CDH2_CDH2,Brain,CDH2,CDH2,0.84,0.0
Brain,接收,4,LRRC4C_PTPRF,Brain,PTPRF,LRRC4C,0.785,0.0
Brain,接收,5,CADM1_CADM1,Brain,CADM1,CADM1,0.73,0.034
Brain,接收,6,TENM3_ADGRL2,Brain,ADGRL2,TENM3,0.724,0.0
Brain,接收,7,LRFN4_PTPRF,Brain,PTPRF,LRFN4,0.702,0.006
Brain,接收,8,CADM1_NECTIN3,Brain,NECTIN3,CADM1,0.68,0.019
Brain,接收,9,TENM4_ADGRL2,Brain,ADGRL2,TENM4,0.606,0.039
Brain,接收,10,NTN1_DCC,Brain,DCC,NTN1,0.6,0.0
Brain_1_13_Target,发送,1,MDK_PTPRZ1,Brain,MDK,PTPRZ1,1.033,0.032
Brain_1_13_Target,发送,2,IGF2_IGF1R,Brain,IGF2,IGF1R,0.953,0.044
Brain_1_13_Target,发送,3,CDH2_CDH2,Brain,CDH2,CDH2,0.887,0.0
