邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,85,45.39,0.534,1.89,0.142
Branchial arch_1_16_Target,82,39.551,0.48232926829268297,2.109,0.125
AGM,76,38.245000000000005,0.5032236842105263,2.085,0.146
Heart,72,37.620999999999995,0.5225138888888888,2.515,0.135
Brain,69,33.335,0.4831159420289855,1.841,0.16
Branchial arch,69,33.02700000000001,0.4786521739130436,1.824,0.171
Neural crest,59,26.357000000000003,0.4467288135593221,1.805,0.158
Liver,37,18.953,0.5122432432432432,1.347,0.16
Sclerotome,14,11.749999999999998,0.8392857142857142,1.66,0.434
Cavity,8,3.848,0.481,1.154,0.195
